pid	English	Chinese
662449	PERFECT Lips, 10ml	完美润唇蜜，10ml
588380	Healthy Glow Lip Balm, 5g	健康光泽唇膏，5g
820816	Perfect Neck Cream, 60ml	完美颈霜，60ml
820813	Perfect Balancing Toner, 160ml	完美平衡爽肤水，160ml
820818	Perfect Sunscreen Broad Spectrum SPF50, 60ml 	完美广谱防晒霜 SPF50，60ml
820812	Perfect Cleansing Foam, 125ml	完美泡沫洁面乳，125ml
820811	Perfect Cleansing Scrub, 100ml	完美去角质洁面霜，100ml
820815	WW Cream, 60ml	WW 乳霜，60ml
786462	Anti-Aging Eye Lift, 15ml	抗衰老眼部提拉精华, 15ml
820814	Super Cream, 50ml	超级抗老化面部乳液，50ml
820817	WW Eye Cream, 15ml	WW 眼霜，15ml
511653	Aqua BB SPF40 Broad Spectrum - 01 Light, 28g	SPF40 广谱防晒粉盒式水漾 BB 霜，28g（色号：01 Light）
588383	Perfect Mask, 5 x 140ml	完美面膜，5 x 140ml
662448	PERFECT Body Cream, 200ml	完美身体润肤乳，200ml
341920	Perfect BB SPF40 Tinted Moisturizer - 1 Light, 45ml	完美 BB 效果润色面霜 SPF 40 (色号：1 Light)，45ml
662447	Anti-Aging Cream, 60ml	抗衰老面霜，60ml
548823	Super Eye Treatment, 20ml	超能修护眼霜，20ml
548822	Super H Serum, 35ml	超能延缓老化精华素，35ml
511654	Aqua BB SPF40 Broad Spectrum - 02 Medium, 28g 	SPF40 广谱防晒粉盒式水漾 BB 霜，28g（色号：02 Medium）
588385	Perfect Lite Sunscreen SPF30, 100ml	SPF30 完美轻盈防晒乳，100ml
548824	Super Face Serum, 35ml	超能面部精华露，35ml
588384	Perfect Cream, 60ml	完美乳霜，60ml
588381	Perfect Facial Wash, 200ml	完美洗面奶，200ml
403015	M Cream Ultimate Lift, 60ml	M 提拉紧致乳霜，60ml
511655	Aqua BB SPF40 Broad Spectrum - 03 Dark, 28g	SPF40 广谱防晒粉盒式水漾 BB 霜，28g（色号：03 Dark）
341921	Perfect BB SPF40 Tinted Moisturizer - 2 Medium, 45ml	完美 BB 效果润色面霜 SPF 40 （色号：2 Medium），45ml 
341922	Perfect BB SPF40 Tinted Moisturizer - 3 Dark, 45ml	完美 BB 效果润色面霜 SPF 40 ，45ml（色号：3 Dark）
