pid	English	Chinese
668976	Eau de Parfum Discovery Set - Iris, Œillet and Copal, 3 x 10ml 	Discovery 香水套装（香调：鸢尾花、康乃馨、珂巴脂），3 x 10ml
668977	Signature Eau de Parfum Purse Spray - Rhubarb & Incense, 1 x 10ml	Signature 便携式香水，10ml（香调：大黄、焚香）
668973	Iris Nazarena Eau de Parfum Refills - Iris Flower & Incense, 3 x 10ml	Iris Nazarena 香水补充装，10ml x 3（香调：鸢尾花、焚香）
668971	Signature Eau de Parfum Refills - Rhubarb & Incense, 3 x 10ml	Signature 香水补充装，3 x 10ml （香调：大黄、焚香）
668975	Œillet Bengale Eau de Parfum Refills - Rose & Exotic Spices, 3 x 10ml	Œillet Bengale 香水补充装，3 x 10ml（香调：玫瑰、异域辛香）
668978	Indica scented candle, 190g	Indica 香薰蜡烛，190g
668974	Œillet Bengale Eau de Parfum - Rose & Exotic Spices, 100 ml	Œillet Bengale 香水，100 ml（香调：玫瑰、异域辛香）
668970	Signature Eau de Parfum - Rhubarb & Incense, 100ml	Signature 香水，100ml（香调：大黄、焚香）
668972	Iris Nazarena Eau de Parfum - Iris Flower & Incense, 100ml	Iris Nazarena 香水，100ml（香调：鸢尾花、焚香）
668979	Phoenicis scented candle, 190g	Phoenicis 香薰蜡烛, 190g
