pid	English	Chinese
966825	Revitalizing Therapy Gel, 60ml	焕活理疗啫喱，60ml
966823	Nutritive Molecule Serum, 30ml	营养分子面部精华，30ml
967960	Pure Marula Cleansing Oil, 100ml	精纯马鲁拉卸妆油，100ml
966822	Cloudburst Micro-Emulsion Balancing Moisturizer, 50ml	甘霖平衡保湿水质乳油，50ml
966824	Rose Treatment Essence, 50ml	玫瑰养护精华，50ml
937843	Infinité Resurfacing Mask, 50ml	恒久修复面膜，50ml
888103	Pure Marula Oil - Cell Regenerating Face Oil, 30ml	精纯马鲁拉细胞赋活面部滋养油，30ml
888104	Neroli Infused Marula Oil - Balancing Face Oil, 30ml	橙花马鲁拉果精华平衡护颜油，30ml
666859	Marula Buchu Botanical Enzyme Polish, 100ml	马鲁拉布枯酶面部磨砂膏，100ml
666861	Marula Plantes D'Afrique Shower Cream, 200ml	非洲植物精华马鲁拉果仁沐浴乳，200ml
666864	Kalahari Desert De-Tox Bath Salts, 500g	卡拉哈里沙漠排毒净肤浴盐，500g
738819	Marula Mineral Cleansing Mask, 60ml	马鲁拉矿物清洁面膜，60ml
738820	Firming Botanical Body Oil, 100ml	紧致无痕植物润肤油，100ml
738818	Fleurs d’Afrique Intensive Recovery Oil, 30ml	非洲花卉密集修复精油，30ml
635887	Marula Shimmering Gold Oil, 100ml	马鲁拉闪亮护理油，100ml
635890	Marula Detoxifying Salt and Sugar Body Scrub, 200ml	马鲁拉晶盐蜜糖排毒身体磨砂膏，200ml
738821	Marula Intense Skin Repair Balm, 60ml	马鲁拉深层修复乳霜, 60ml
696005	Wanderlust Travel Set	旅行家护肤套装
666858	Marula Baobab Clay Oxygenating Cleanser, 100ml	马鲁拉猴面包树透气洁颜泥，100ml
666860	Marula Botanical Hand Cream, 60ml	马鲁拉植物护手霜，60ml
666863	Marula Regenerating Body Hydro-Serum, 150ml	马鲁拉再生身体补水精华，150ml
635889	Marula Botanical Body Cream, 200ml	马鲁拉植物身体乳，200ml
666862	Marula Résurrection Cell Recovery Serum, 30ml	马鲁拉焕活细胞修复精华，30ml
