pid	English	Chinese
673967	Sun Protection Stick Broad Spectrum SPF50+	广谱防晒棒 SPF50+
673965	Sun Protection Cushion Broad Spectrum SPF30, 15g	广谱防晒气垫粉饼 SPF30，15g
401144	Moisture Bound Skin Energy Hydration Delivery System, 200ml	Moisture Bound 活肤保湿喷雾，200ml
673966	SPF30 Sun Protection Mist, 200ml	SPF30 防晒喷雾，200ml
401140	SPF50 Color Control Cushion Compact - #204 Tan Gold	SPF50 调色粉底（色号：#204 Tan Gold）
673968	Time Response Targeted Eye Masque x 16	时空焕彩集中修护眼膜（16 片装）
448874	SPF50 Color Control Cushion Compact - #208 Amber Gold	SPF50 气垫粉饼 CC 霜（色号：#208 Amber Gold）
401133	Time Response Skin Renewal Serum, 30ml	时空焕彩活肤再生精华，30ml
401138	SPF50 Color Control Cushion Compact - #104 Tan Blush	SPF50 调色粉底（色号：#104 Tan Blush）
401146	SPF30 Future Response Age Defense Creme, 50ml	SPF30 Future Response 抗衰老乳霜，50ml
401152	Treatment Cleansing Foam, 120ml	纯净洁肤泡沫，120ml
401154	Treatment Enzyme Peel	酵素去角质洁颜粉
401134	Time Response Eye Renewal Creme, 15ml	时空焕彩活肤再生眼霜，15ml
401132	Time Response Skin Renewal Creme, 50ml	时空焕彩活肤再生面霜，50ml
