pid	English	Chinese
821543	Girlie Stuff leather-trimmed shell cosmetics case	Girlie Stuff 皮革边饰轻薄面料化妆包
854263	Circle mini leather shoulder bag	Circle 皮革迷你单肩包
821538	Make Up leather-trimmed shell cosmetics case	Make Up 皮革边饰轻薄面料化妆包
821540	Inflight leather-trimmed Perspex cosmetics case 	Inflight 皮革边饰有机塑胶化妆包
821542	Make Up small leather-trimmed shell cosmetics case	Make Up 小号皮革边饰轻薄面料化妆包
787438	Victory leather-appliquéd canvas bag strap	Victory 皮革贴花帆布包带
821539	Suncreams leather-trimmed shell cosmetics case	Suncreams 皮革边饰轻薄面料化妆包
787436	All Over Wink Stickers embossed leather bag strap	All Over Wink Stickers 压花皮革包带
787437	All Over Wink Stickers embossed leather bag strap	All Over Wink Stickers 压花皮革包带
821537	Textured leather-trimmed shell jewelry case	纹理皮革边饰轻薄面料首饰盒
821541	Lotions and Potions leather-trimmed shell cosmetics case	Lotions and Potions 皮革边饰轻薄面料化妆包
821536	Vanity Kit leather-trimmed cosmetics case	Vanity Kit 皮革边饰化妆包
