pid	English	Chinese
391477	Polishing Body Brush	沐浴按摩刷
832264	Star Jewels Set, 3 x 9ml	星钻沐浴油套装，3 x 9ml
832267	Joyful Aromatherapy Candle Set	闻香悦心香薰蜡烛套装
391479	+ Roland Mouret Final Finish Serum, 50ml	+ Roland Mouret 身体精华素，50ml
667743	Skincare and Body Ritual Set	身心舒缓护肤套装
606218	Nourishing Face Oil, 15ml	滋养面部护理油，15ml
667744	Nourishing Enrich Set	浓郁滋养套装
869074	Rose Infinity Triple Effect Mask, 50ml	玫瑰尊宠三效面膜，50ml
713688	Mattifying Purifying Facial Scrub, 100ml	控油净化面部磨砂膏，100ml
869073	Rose Infinity Eye Cream, 15ml	玫瑰尊宠眼霜，15ml
869072	Rose Infinity Moisturizer, 50ml	玫瑰面霜，50ml
713689	Mattifying Deep Cleanse Face Mask, 100ml	控油深层清洁面膜，100ml
713687	Anti-Ageing Intensive Skin Treatment Oil, 15ml	抗衰老深层面部护理油，15ml
606217	Rose Exfoliating Cleanser, 100ml	玫瑰磨砂洁面乳，100ml
713686	Polishing Essential Enzyme Peel, 50ml	焕颜精华酵素去角质霜，50ml
832262	My Treat: Revive Morning Bath & Shower Oil, 9ml	晨曦赋活沐浴油，9ml
832269	The Ultimate Bath Collection, 10 x 9ml	终极沐浴精油套装，10 x 9ml
713575	Polishing Natural Exfoliating Scrub, 200ml	天然磨砂膏，200ml
719542	Mattifying Skin Serum, 50ml	控油护肤精华，50ml
809929	Deep Relax Roller Ball, 10ml	深度放松滚珠式精油，10ml
718928	Revive Body Lotion, 200ml	赋活身体乳，200ml
809928	Revive Morning Roller Ball, 10ml	晨曦赋活滚珠式精油，10ml
606216	Renewing Rose Body Velvet, 200ml	焕肤玫瑰丝滑身体乳，200ml
606219	Overnight Repair Mask, 50ml	晚间修复面膜，50ml
713574	De-Stress Body Oil, 100ml	舒压解劳身体油，100ml
391474	Deep Relax Bath & Shower Oil, 55ml	深度放松沐浴油，55ml
713577	Relax scented candle, 445g	舒缓香薰蜡烛，445g
718927	Revive Body Scrub, 200ml	赋活身体磨砂膏，200ml
713573	De-Stress Body Wash, 200ml	舒压解劳沐浴露，200ml
667746	Support Equilibrium Bath & Shower Oil	均衡舒压沐浴精油
417526	Revive Body Gel, 200ml	赋活身体凝露，200ml
450057	Support Breathe Essence, 10ml	缓解鼻塞精华油，10ml
450059	Renewing Rose Massage & Body Oil, 100ml	焕肤玫瑰身体按摩油，100ml
450060	Renewing Rose Body Cream, 200ml	焕肤玫瑰身体乳，200ml
606220	De-Stress Muscle Gel, 150ml	舒压解劳肌肉按摩凝露，150ml
391476	Inner Strength Bath & Shower Oil, 55ml	舒压心灵沐浴油，55ml
391475	Revive Morning Bath & Shower Oil, 55ml	晨曦赋活沐浴油，55ml 
480315	Support Lavender & Peppermint Bath & Shower Oil, 55ml	“维持” 系列薰衣草和薄荷沐浴精油，55ml
450056	Revive Body Wash, 200ml	赋活沐浴露，200ml
450055	Relax Body Wash, 200ml	舒缓解乏沐浴露，200ml
