pid	English	Chinese
692674	Elite Smoke Oval 8 Brush	Elite Smoke Oval 8 化妆刷
749702	Elite Smoke Oval 7 Brush	Elite Smoke Oval 7 化妆刷
901164	Elite Smoke Palm Brush	Elite Smoke Palm 化妆刷
903575	Fluenta 5 Brush Set	Fluenta 化妆刷套装（5 支装）
549007	Elite Mirror Linear 3 Brush	Elite Mirror Linear 3 化妆刷
864230	Elite Gold Palm Brush	Elite Gold “掌握”化妆刷
808734	Elite Mirror Palm Brush	Elite Mirror Palm 化妆刷
549010	Elite Mirror 3 Brush Set	Elite Mirror 化妆刷套装（3 支装）
903566	Fluenta Oval 8 Brush	Fluenta Oval 8 化妆刷
678866	Elite Mirror Oval 7 Brush	Elite Mirror Oval 7 化妆刷
692670	Elite Smoke Linear 6 Brush	Elite Smoke Linear 6 化妆刷
692669	Elite Smoke Linear 3 Brush	Elite Smoke Linear 3 化妆刷
903567	Fluenta Oval 7 Brush	Fluenta Oval 7 化妆刷
596467	Linear 6 Brush	Linear 6 化妆刷
903568	Fluenta Oval 6 Brush	Fluenta Oval 6 化妆刷
903577	Fluenta Collection Compact Displayer	Fluenta 化妆刷收纳架
676835	Elite Smoke 5 Brush Set	Elite Smoke 化妆刷套装（5 支装）
549005	Elite Mirror Oval 6 Brush	Elite Mirror Oval 6 化妆刷
903576	Fluenta 9 Brush Set	Fluenta 9 化妆刷套装（9 支装）
903565	Fluenta Oval 10 Brush	Fluenta Oval 10 化妆刷
903573	Fluenta Circle 1R Brush	Fluenta Circle 1R 化妆刷
903570	Fluenta Oval 3 Brush	Fluenta Oval 3 化妆刷
659423	Premier Brush Cleaning Pad 	奢华版化妆刷清洁巾
903571	Fluenta Linear 3 Brush	Fluenta Linear 3 化妆刷
903574	Fluenta Circle 1 Brush	Fluenta Circle 1 化妆刷
903569	Fluenta Oval 4 Brush	Fluenta Oval 4 化妆刷
903572	Fluenta Linear 1 Brush	Fluenta Linear 1 化妆刷
768171	Digit Skincare Brush Set	Digit Skincare 化妆刷套装
549011	Elite Mirror 5 Brush Set	Elite Mirror 5 化妆刷套装（5 支装）
596465	Elite Mirror Oval 8 Brush	Elite Mirror Oval 8 化妆刷
676836	Elite Smoke 10 Brush Set	Elite Smoke 化妆刷套装（10 支装）
692673	Elite Smoke Oval 6 Brush	Elite Smoke Oval 6 化妆刷
692668	Elite Smoke Linear 1 Brush	Elite Smoke Linear 1 化妆刷
692666	Elite Smoke Circle 1 Brush	Elite Smoke Circle 1 化妆刷
808733	Elite Mirror Linear 3 Demi Brush	Elite Mirror Linear 3 Demi 化妆刷
864236	Digit 10 Brush Set	Digit 10 化妆刷套装
864234	Digit 5 Brush Set	Digit 化妆刷套装（五支装）
549009	Elite Mirror Circle 1 Brush	Elite Mirror Circle 1 化妆刷
692672	Elite Smoke Oval 4 Brush	Elite Smoke Oval 4 化妆刷
549008	Elite Mirror Linear 1 Brush	Elite Mirror Linear 1 化妆刷
549012	Elite Mirror 10 Brush Set	Elite Mirror 10 化妆刷套装（10 支装）
659420	Textured-shell brush case	纹理轻薄面料化妆刷软包
549006	Elite Mirror Oval 3 Brush	Elite Mirror Oval 3 化妆刷
808732	Elite Mirror Linear 1 Demi Brush	Elite Mirror Linear 1 Demi 化妆刷
692675	Elite Smoke Collection Oval 10 Brush	Elite Smoke Collection Oval 10 化妆刷
763326	Elite Collection Compact Brush Displayer	Elite Collection 化妆刷专用陈列架
692671	Elite Smoke Oval 3 Brush	Elite Smoke Oval 3 美妆刷
676834	Elite Smoke 3 Brush Set	Elite Smoke 化妆刷套装（3 支装）
692667	Elite Smoke Circle 1R Brush	Elite Smoke Circle 1R 化妆刷
596466	Elite Mirror Oval 4 Brush	Elite Mirror Oval 4 化妆刷
549004	Elite Mirror Oval 10 Brush	Elite Mirror Oval 10 粉刷
596468	Elite Mirror Circle 1R Brush	Elite Mirror Circle 1R 化妆刷
659421	Textured-shell brush case	纹理轻薄面料化妆刷软包
659422	Replacement Microfibre Cloths x 10	微纤维替换清洁巾（10 片装）
724209	Elite Gold 10 Brush Set	Elite Gold 化妆刷套装（10 支装）
549014	Brush Cleansing Foam, 210ml	化妆刷清洁泡沫，210ml
