pid	English	Chinese
680351	Jewel Birthday Cologne Absolue, 3 x 30ml 	钻耀新生精醇古龙套装（3 x 30ml）
680350	Discovery Box, 7 x 7.5ml	旅行套装，7.5ml x 7 瓶
680345	Cologne Absolue - Cédrant Enivrant, 100ml	精醇古龙，100ml（香调：醉心柠香）
680343	Cologne Absolue - Trèfle Pur, 100ml	精醇古龙，100ml（香调：纯沁苜蓿）
680341	Cologne Absolue - Grand Néroli, 100ml	精醇古龙，100ml（香调：香浓橙花）
680346	Cologne Absolue - Pomélo Paradis, 100ml	精醇古龙，100ml （香调：情柚独钟）
680340	Cologne Absolue - Orange Sanguine, 100ml	精醇古龙，100ml（香调：赤霞橘光）
680342	Cologne Absolue - Bois Blonds, 100ml	精醇古龙，100ml（香调：流金木香）
680348	 Cédrat Enivrant scented candle, 190g	醉心柠香香氛蜡烛，190g
680347	Grand Néroli scented candle	Grand Néroli 香浓橙花香薰蜡烛
680344	Cologne Absolue - Oolang Infini, 100ml	精醇古龙，100ml（香调：无极乌龙）
680349	Pomélo Paradis scented candle	Pomélo Paradis 情柚独钟香薰蜡烛
