pid	English	Chinese
382391	Monday to Sunday Bamboo Muslins	星期竹纤维洁面布(七片装)

927813	Botanical Cream Deodorant, 50g	植物香体霜，50g
849596	Miracle Cleanser Set	奇迹洁面套装
927812	Brightening Botanical Essence, 50ml	植物精萃亮颜喷雾, 50ml
859276	Primed Perfection Duo, 30ml and 60ml	焕颜赋活套装，30ml 和 60ml
393393	Cell Revitalize Night Moisturizer, 60ml	细胞赋活晚霜，60ml
393391	Cell Revitalize Day Moisturizer, 60ml	细胞赋活日霜，60ml
382388	Cell Repair Night Oil, 50ml	晚间细胞修复精华油，50ml
382389	Miracle Cleanser, 120ml	奇迹洁面霜，120ml
743275	Aromatic Repair & Brighten Hand Cream, 75ml	修复亮泽芳香手霜，75ml
821416	Miracle Cleanser, 240ml	奇迹洁面霜，240ml
382390	Revitalize & Glow Serum, 30ml	焕颜亮肤精华露，30ml
479092	Firm and Revitalise Dry Body Oil, 100ml	紧致赋活身体油，100ml
672664	Refine and Glow Miracle Collection	焕颜奇迹套装
424039	Eye Revitalising Duo, 10ml and 15ml	眼部赋活组合（两件套，10ml 和 15ml）
479091	Refine and Polish Miracle Balm, 75ml	焕颜奇迹去角质膏，75ml
672665	Signature printed cotton-canvas cosmetics case	Signature 印花棉质帆布化妆包
