pid	English	Chinese
913819	SPF50+ Hydrating Sunscreen Balm, 7g	SPF50+ 水润防晒膏，7g
903542	Hydrance Optimale Rich Hydrating Cream, 40ml	活泉恒温滋养保湿霜
913816	High Protection Complexion Correcting Shield SPF50 - Light, 40ml	SPF50 防护饰色乳（色号：Light），40ml
913817	High Protection Complexion Correcting Shield SPF50 - Medium, 40ml	SPF50 防护饰色乳（色号：Medium），40ml
913818	High Protection Complexion Correcting Shield SPF50 - Dark, 40ml	SPF50 防护饰色乳（色号：Dark），40ml
879223	Cold Cream Hand Cream, 50ml	冷霜润手霜，50ml
879222	Cold Cream Lip Cream	凝乳修护润唇蜜
842994	Cold Cream Nourishing Body Lotion, 400ml	冷霜滋养身体乳，400ml
895332	Cleanance Cleansing Gel, 400ml	控油清爽洁肤凝胶，400ml
341698	Thermal Spring Water Spray, 300ml	舒护活泉喷雾，300ml
842995	Cold Cream Ultra Rich Cleansing Gel, 400ml	冷霜极致丰润洁面乳，400ml
832601	Body Oil, 200ml	身体润肤油，200ml
767993	SPF50+ Mineral Ultra-Light Hydrating Sunscreen Lotion, 38.5ml	SPF50+ 极致轻盈水润矿物防晒乳，38.5ml
767995	Hydrance Optimale Hydrating Serum, 30ml	活泉恒润保湿精华乳，30ml
767996	Antirougeurs Day Redness Relief Soothing Cream SPF25, 40ml	修红舒润日间防晒乳 SPF25，40ml
767998	Moisturizing Self-Tanning Silky Gel, 100ml	保湿美黑丝滑啫喱，100ml
767992	Micellar Lotion Cleanser and Makeup Remover, 200ml	舒润净颜卸妆水，200ml
767997	Gentle Purifying Scrub, 50ml	去角质净柔磨砂凝胶，50ml
753704	Cleanance EXPERT, 40ml	专业祛痘调理乳，40ml
767994	SPF25+ Hydrance Optimale Hydrating Cream, 40ml	SPF 25+ 活泉恒润隔离保湿乳，40ml
779250	Gentle Body Scrub, 200ml	温和身体磨砂膏，200ml
779252	Soothing Moisture Mask, 50ml	舒缓保湿面膜，50ml
341697	Thermal Spring Water Spray, 150ml	舒护活泉喷雾，150ml
753701	Cleanance MAT Mattifying Toner, 200ml	祛脂控油化妆水，200ml
753702	Cleanance MAT Mattifying Emulsion, 40ml	抗痘清爽控油保湿乳，40ml
753703	Cleanance Mask, 50ml	深层粉刺去角质洁净面膜, 50ml
724205	Thermal Spring Water Spray, 3 x 50mL	舒护活泉喷雾，50mL x 3 瓶
779251	PhysioLift Eyes, 15ml	去皱眼霜，15ml
615175	SPF50+ Mineral Light Hydrating Sunscreen Lotion, 125ml	SPF50+ 轻盈水润矿物防晒乳，125ml
615178	SPF50+ Ultra-Light Hydrating Sunscreen Lotion Spray, 141.7ml	SPF50+ 极致轻盈水润防晒喷雾，141.7ml
615177	SPF50 Hydrating Sunscreen Lotion, 150ml	SPF50 水润防晒霜，150ml
