pid	English	Chinese
848149	Get Started Eyebrow Gift Set	基础眉妆礼品组合
857741	Brow Sculpt - Indian Chocolate	塑形眉蜡（色号：Indian Chocolate）
857742	Brow Sculpt - Cardamom Pod	塑形眉蜡（色号：Cardamom Pod）
857740	Brow Sculpt - Cinnamon Spice	塑形眉蜡（色号：Cinnamon Spice）
857738	Brow Build - Cinnamon Spice 	塑形染眉膏（色号：Cinnamon Spice）
867178	Brow Definer - Cardamom Pod	持久匀色眉笔（色号：Cardamom Pod）
736637	Drama Mascara - Black 	梦幻睫毛膏（色号：Black）
867179	Brow Sculpter Brush	斜角眉刷
857739	Brow Build - Indian Chocolate	塑形染眉膏（色号：Indian Chocolate）
509254	Intense Kajal Eyeliner - Brown	魅惑眼线笔（色号：Brown）
615180	Eyelash curler	睫毛夹
682781	Exfoliating Rose Scrub, 100ml	玫瑰去角质磨砂膏，100ml
809778	Waterproof Brow Kit - Blonde to Dark Blonde	防水眉妆组合（色号：Blonde to Dark Blonde）
509253	Intense Kajal Eyeliner - Black	魅惑眼线笔（色号：Black）
809779	Waterproof Brow Kit - Brown to Dark Brown	防水眉妆组合（色号：Brown to Dark Brown）
650897	Eyebrow Highlighter 	高光眉笔
776652	Micellar Eye Cleanser, 150ml	眼部卸妆水，150ml
558923	Eyebrow Gel - Cardamom Pod 	眉胶（色号：Cardamom Pod）
682780	Brow Conditioning Duo - Day Cream and Night Balm	眉毛日夜滋养套装（两瓶装）
776653	Brow Exfoliator	眉部磨砂膏
736638	Eyebrow Tamer	零死角眉梳
447444	Nourishing Brow Oil, 11ml	眉毛滋养护理油，11ml
558924	Eyebrow Powder - Cardamom Pod	眉粉（色号：Cardamom Pod）
509251	Eyebrow Pencil - Mysore Sandalwood	眉笔（色号：Mysore Sandalwood）
447445	Luscious Lash Oil, 8ml	丰盈美睫护理油，8ml
660252	Brow Kit	眉妆组合
509252	Eyebrow Gel - Clear	眉胶（色号：Clear）
682782	Aloe Vera Gel, 50ml	芦荟护肤胶，50ml
447448	Eyebrow Gel - Indian Chocolate	眉胶（色号：Indian Chocolate）
447449	Eyebrow Gel - Cinnamon Spice	眉胶（色号：Cinnamon Spice）
447451	Eyebrow Powder - Cinnamon Spice	眉粉（色号：Cinnamon Spice）
558925	Brow Definer - Cinnamon Spice	持久匀色眉笔（色号：Cinnamon Spice）
650898	Angled tweezers	斜角眉钳
558922	Eyebrow Pencil - Cardamom Pod	眉笔（色号：Cardamom Pod）
447450	Eyebrow Powder - Indian Chocolate	眉粉（色号：Indian Chocolate）
447446	Eyebrow Pencil - Indian Chocolate	眉笔（色号：Indian Chocolate）
447447	Eyebrow Pencil - Cinnamon Spice	眉笔（色号：Cinnamon Spice）
558926	Brow Definer - Indian Chocolate	持久匀色眉笔（色号：Indian Chocolate）
