pid	English	Chinese
875466	Spring/ Summer '17 Cosmetics Bag 	2017 春夏美发礼品包
824091	The Travel and Styling Kit	秀发造型护理旅行套装
871408	Styling Powder, 11g	秀发造型粉，11g
871409	Curl Cream, 150ml	卷发造型乳，150ml
668800	Session Spray Strong, 300ml	特强定型喷雾，300ml
668801	Session Spray Medium, 300ml	中强定型喷雾，300ml
668802	Volume Mousse Strong, 300ml	强效空气感摩丝，300ml
737652	Moisturizing Travel Set	滋养秀发旅行套装
668884	Nail Couture Gift Set - 2	定制指甲油礼盒（色号：2）
626175	Dry Shampoo, 300ml	头发干洗喷雾，300ml
871410	Gold-plated Styling Comb	镀金定型发梳
871413	Gold-plated Pocket Comb	镀金便携式发梳
787512	Fall/Winter '16 Cosmetics Bag	2016 秋冬系列美发套装
668883	Nail Couture Gift Set - 1	高级定制美甲礼盒（色号：1）
825816	Infrared Blow Dryer - US 2-pin plug	红外线吹风机（美国标准两脚插头）
737818	Boar Hair Brush	野猪鬃毛发刷
866980	Hair Perfume, 100ml	秀发香水，100ml
691183	Luxury Styling Bag	奢华造型礼包
737816	Revitalizing Conditioner, 300ml	赋活护发素，300ml
871411	Gold-plated cutting comb	镀金剪发梳
626173	Volume Conditioner, 300ml	丰盈护发素，300ml
626176	Texturizing Salt Spray, 200ml	海盐造型喷雾，200ml
691185	Volumizing Care Set	发丝丰盈护理套装
737819	Spa Brush	按摩发刷
668882	Pre-Styling Cream, 150ml	造型前发霜，150ml
691186	Moisturizing Care Set	滋养护理套装
626171	Repair Mask, 200ml	修护发膜，200ml
626172	Volume Shampoo, 300ml	丰盈洗发露，300ml
668881	Gold boar bristle brush & haircare set	黄金野猪鬃发刷和护发套装
626170	Moisturizing Conditioner, 300ml	保湿护发素，300ml
737815	Revitalizing Shampoo, 300ml 	赋活洗发露，300ml
737817	Revitalizing Mask, 200ml	赋活发膜，200ml
691184	Luxury Care Cosmetics Bag	奢华护理化妆包
668803	Small Round Ionic Brush 35mm	小号圆筒发刷，35mm
668804	Large Round Ionic Brush 55mm	大号圆筒负离子发刷，55mm
626169	Moisturizing Shampoo, 300ml	保湿洗发露，300ml
626174	Leave-In Conditioning Spray, 200ml	免洗护发喷雾，200ml
626177	Argan Moisturizing Elixir, 100ml	摩洛哥坚果油润发精华，100ml
632216	Silk Hair Perfume, 200ml	丝滑秀发香水，200ml
