pid	English	Chinese
629119	Jasmine Hand & Body Wash, 250ml	茉莉花香洗手沐浴露，250ml
629123	Rose Hand & Body Wash, 250ml	玫瑰花香洗手沐浴露，250ml
629124	Rose Hand & Body Lotion, 250ml	玫瑰花香手部和身体乳液，250ml
705248	Restore Elixir, 15ml	修复精华液，15ml
705243	Cleansing Balm, 100ml	洁面乳霜，100ml
441275	Jasmine Pebble Soap, 250g	茉莉花香鹅卵石形洁肤皂，250g
705244	Facial Oil, 30ml	面部精油，30ml
705245	Serum, 30ml	保湿精华，30ml
705247	Exfoliating Mask, 45ml	去角质面膜，45ml
705246	Moisturizing Lotion, 50ml	保湿乳液，50ml
629118	Jasmine Bath Oil, 250ml	茉莉沐浴油，250ml
441274	Fig Leaf, Coriander and Basil scented candle, 190g	无花果叶、芫荽、罗勒香薰蜡烛，190g
629120	Jasmine Hand & Body Lotion, 250ml	茉莉花香手部和身体乳液，250ml
441267	Rose Bath Oil, 250ml	玫瑰沐浴油，250ml
629122	Geranium Hand & Body Lotion, 250ml	天竺葵清芬手部和身体乳液，250ml
441272	Botanic Bath Salts, 250ml	植物浴盐，250ml
441271	Botanic Sugar Polish, 200ml	植物黄糖磨砂膏，200ml
441273	3-wick scented candle, 390g	三芯香薰蜡烛，390g
