pid	English	Chinese
973718	Night Music scented candle, 190g	入梦夜曲香薰蜡烛，190g
858666	Art scented candle, 190g	Art 香熏蜡烛，190g
545117	Ginsberg Is God Eau de Parfum - Fresh, Woody & Incense, 50ml 	Ginsberg Is God 香水，50ml
858663	Close to my Heart Eau de Parfum, 50ml	Close to my Heart 香水，50ml
719320	Loving Mini set of four candles, 4 x 70g 	Loving 迷你香薰蜡烛（四瓶装），4 x 70g
560202	Ginsberg Is God scented candle, 180g 	Ginsberg Is God 香薰蜡烛，180g
570655	Loving Tuberose and Sandalwood scented candle, 190g	Loving 晚香玉檀香木香熏蜡烛，190g
645537	Signature Eau de Parfum - Amber Resin, Palmarosa & Black Musk, 50ml	Signature 香水，50ml（香调：琥珀树脂、玫瑰草、黑麝香）
545118	1970 Eau de Parfum - Floriental, Provocative & Exotic, 50ml	1970 香水，50ml
489048	Je T'aime Jane scented candle, 180g	Je T'aime Jane 香薰蜡烛，180g
489047	Signature scented candle, 180g	Signature 香熏蜡烛，180g
545116	Je T’aime Jane Eau de Parfum - Floral, Sensual & Chypre, 50ml	Je T’aime Jane 香水，50ml
489049	1970 Black Musk and Patchouli scented candle, 190g	1970 黑麝香和广藿香香熏蜡烛，190g
645538	Mini Votive set of four candles, 4 x 70g	Mini Votive 迷你香薰蜡烛（四支装），4 x 70g
543424	Lion scented candle, 180g	Lion 香薰蜡烛，180g
