pid	English	Chinese
897146	Saddle small intrecciato leather shoulder bag	Saddle Intrecciato 皮革小号单肩包
893477	Ruffled wool-crepe dress	荷叶边羊毛绉纱连衣裙
791648	Intrecciato leather slippers 	Intrecciato 皮革拖鞋
893487	Stretch silk-blend turtleneck sweater	弹力真丝混纺高领毛衣
894060	Oxidized sterling silver hoop earrings	氧化纯银耳环
893491	Printed silk crepe de chine pants	印花真丝双绉长裤
897138	Nodini small embroidered intrecciato leather shoulder bag	Nodini 刺绣 Intrecciato 皮革小号单肩包
893480	Wool-crepe midi dress	羊毛绉纱中长连衣裙
894860	Intrecciato patent-leather pumps	Intrecciato 漆皮高跟鞋
893485	Ribbed cashmere turtleneck sweater	罗纹羊绒高领毛衣
852959	Metallic intrecciato leather slides	金属感 Intrecciato 皮革拖鞋
893490	Wool-crepe wide-leg pants	羊毛绉纱阔腿裤
853304	The Knot crocodile clutch	Knot 鳄鱼皮手拿包
897127	The Knot watersnake-trimmed intrecciato satin clutch	The Knot 水蛇皮边饰 Intrecciato 缎布手拿包
897128	The Knot watersnake-trimmed intrecciato satin clutch	The Knot 水蛇皮边饰 Intrecciato 缎布手拿包
792400	Saddle small intrecciato leather  shoulder bag	Saddle Intrecciato 皮革小号单肩包
893481	Belted stretch-cotton poplin dress	配腰带弹力棉质府绸连衣裙
893479	Color-block wool-crepe dress	拼色羊毛绉纱连衣裙
894850	Metallic intrecciato leather slides	金属感 Intrecciato 皮革拖鞋
894061	Oxidized sterling silver bracelet 	氧化纯银手镯
893494	Wool-crepe skirt	羊毛绉纱半身裙
897137	Nodini small embroidered intrecciato leather shoulder bag	Nodini 刺绣 Intrecciato 皮革小号单肩包
893482	Wool-crepe jacket	羊毛绉纱夹克
894851	Suede-trimmed metallic textured and intrecciato leather sneakers	绒面革边饰金属感纹理皮革 Intrecciato 皮革运动鞋
893496	Printed silk crepe de chine shirt	印花真丝双绉衬衫
897136	Nodini small intrecciato leather shoulder bag	Nodini 编织皮革小号单肩包
893493	Stretch-cotton poplin midi skirt	弹力棉质府绸中长半身裙
897133	Messenger mini intrecciato leather shoulder bag	Messenger Intrecciato 皮革迷你单肩包
893476	Belted crepe dress	配腰带绉纱连衣裙
791657	Ravello metallic intrecciato leather mules	Ravello  Intrecciato 金属感皮革穆勒鞋
