pid	English	Chinese
831397	Pommade Concrète balm, 75ml	Pommade Concrète 护肤膏，75ml
831415	Handle Comb	带柄梳
831400	Opiat Dentaire Toothpaste, 75ml - Mint, Coriander and Cucumber 	Opiat Dentaire 牙膏，75ml（香型：薄荷、芫荽和黄瓜）
831398	Pommade Virginale face cream, 75ml	Pommade Virginale 强效保湿面霜，75ml
831402	Opiat Dentaire Toothpaste, 75ml - Orange, Ginger and Clove	Opiat Dentaire 牙膏，75ml（香型：蜜橙、生姜、丁香）
869265	Generaux d'Empire scented candle	Generaux d'Empire 香氛蜡烛
831413	Dressing Comb	Dressing 发梳
869266	Retour d’Egypte scented candle	Retour d’Egypte 香薰蜡烛
869264	Campagne d'Italie scented candle	Campagne d'Italie 香薰蜡烛
831399	Crème Pogonotomienne Shaving Cream, 75ml	刮毛霜，75ml
831417	Needle Tail Comb 	Needle 尖尾梳
831416	Pocket Comb	Pocket 发梳
831401	Opiat Dentaire Toothpaste, 75ml - Apple of Montauban 	Opiat Dentaire 牙膏，75ml （香型：Montauban 苹果）
831411	Handle Comb	带柄梳
831404	Retour d'Egypte home fragrance set	Retour d'Egypte 家居香氛套装
831408	Retour d'Egypte scented candle	Retour d'Egypte 香氛蜡烛
831405	Généraux d’Empire home fragrance set	Généraux d’Empire 室内香氛套装
831403	Alabastron home fragrance set 	Alabastron 室内香氛套装
831414	Rake Comb 	Rake 发梳
831407	Campagne d'Italie scented candle 	Campagne d'Italie 香薰蜡烛
831406	Généraux d’Empire scented candle	Généraux d’Empire 香薰蜡烛
831412	Afro Comb	插梳
831409	Officine Universelle Buly Toothbrush	Officine Universelle Buly 牙刷
831410	Oub Toothbrush	Oub 牙刷
