pid	English	Chinese
745352	Thickening Creme Contour, 47ml	致密丰盈定型发乳，47ml
745338	Spray de Mode, 300ml	护发造型喷雾，300ml
745334	Grooming Creme, 150ml	造型发乳，150ml
745336	Semisumo Hi-shine Low-hold Pomade, 50ml	Semisumo 温和定型柔光发蜡，50ml
745340	Styling Creme, 250ml	造型乳，250ml
745344	Straight Shampoo, 250ml	顺直洗发露，250ml
745348	Straight Blow Dry, 150ml	顺直防热护发霜
745345	Straight Conditioner, 250ml	顺直护发素，250ml
745347	Repair Blow Dry, 150ml	修护防热护发素，150ml
745332	Prep Primer, 250ml	造型前护发喷雾，250ml
745351	Thickening Full Form Mousse, 150ml	致密丰盈慕斯，150ml
745346	All-Style Blow Dry Creme, 150ml	全效热吹护发乳，150ml
745328	Gentle Shampoo, 250ml	温和洗发露，250ml
745331	Tonic Lotion Primer, 250ml	造型前滋养喷雾，250ml
745335	Sumotech, 50ml	塑型发泥，50ml
745329	Super Rich Conditioner, 250ml	丰润护发素，250ml
745333	Brilliantine, 50ml	润发膏，50ml
745354	Thickening Hairspray, 250ml	致密丰盈喷雾，250ml
745343	Color Minded Conditioner, 150ml	护色护发素，150ml
745339	Texture Hair(un)dressing Creme, 150ml	润丝塑形发乳，150ml
745357	Surf Creme Rinse Conditioner, 250ml 	冲浪系列护发乳，250ml
745330	Sunday Shampoo, 250ml	周末洗发露，250ml
745363	Hairdresser's Invisible Oil, 100ml	“发型师的秘密”护发精油，100ml
745350	Thickening Conditioner, 250ml	致密护发素，250ml
745353	Thickening DrySpun Finish, 150ml	致密丰盈干发喷雾，150ml
745361	Hairdresser's Invisible Oil Conditioner, 200ml 	“发型师的秘密”护发素 ，200ml
745355	Cityswept Finish, 150ml	“城市飓风特效”造型喷雾，150ml
745360	Hairdresser's Invisible Oil Shampoo, 250ml	“发型师的秘密”洗发露 , 250ml
745362	Hairdresser's Invisible Oil Primer, 250ml	“发型师的秘密”护发打底喷雾 ，250ml
832399	Hairdresser's Invisible Oil UV Protective Dry Oil Finishing Spray, 150ml	“发型师的秘密”防紫外线干发油定型喷雾
745342	Color Minded Shampoo, 250ml	护色洗发露，250ml
866982	Strong Finish Hairspray, 300ml	强效定型喷雾，300ml
866981	Does It All Light Hold Hairspray, 300ml	全能轻盈定型喷雾，300ml
745359	Surf Infusion, 100ml	冲浪系列造型精华，100ml
745356	Surf Foam Wash Shampoo, 250ml	冲浪系列泡沫洗发露, 250ml
777902	Surf Foam Spray Blow Dry, 150ml	冲浪系列热感定型喷雾，150ml
832398	Hairdresser's Invisible Oil Pre-Shampoo Masque, 100ml	“发型师的秘密”洗前发膜，100ml
789010	The Height of (Holiday) Chic thickening set 	有型假日致密护发套装
789009	Wishes 'Do Come True Invisible Oil Set	“美梦成真”护发套装
745337	Don't Blow It (H)air Styler, 150ml	“告别吹风机”轻盈造型乳，150ml
789011	Favorites Set	畅销美发套装
745358	Surf Spray, 125ml	冲浪系列喷雾，125ml
745367	Curl Defining Creme, 250ml 	卷发定型乳，250ml
745366	Curl Pre-Style/ Re-Style Primer, 250ml	造型前/再造型卷发滋养乳，250ml
745364	Curl Sulfate Free Shampoo, 250ml	卷发无硫酸盐洗发露，250ml
745341	Prêt-à-Powder, 56g	干洗蓬松粉，56g
745349	Thickening Shampoo, 250ml	致密洗发露，250ml
745369	Curl Conditioning Mousse, 146ml	卷曲定型慕斯，146ml
745368	Curl Anti-Humidity Gel-Oil, 190ml	卷发清爽发蜡，190ml
745365	Curl Custom Conditioner, 200ml	卷发定制护发素，200ml
