pid	English	Chinese
638664	Burberry Kisses Sheer - 305 Military Red	Burberry 之吻轻润亮彩唇膏（色号：305 Military Red）
638660	Burberry Kisses Sheer - Sweet Pea No.245	Burberry 之吻轻润亮彩唇膏（色号：245 Sweet Pea）
941937	Fresh Glow Highlighter - Rose Gold No.04	亮彩高光粉（色号：Rose Gold No.04）
941925	Full Kisses - Nude No.505	Burberry 之吻丰盈凝彩唇膏（色号：Nude No.505）
941927	Light Glow Blush - Dark Earthy No.11	亮色腮红（色号：Dark Earthy No.11）
941926	Full Kisses - Nude Blush No.501	Burberry 之吻丰盈凝彩唇膏（色号：501 Nude Blush）
941924	Eye Color Contour Smoke & Sculpt Pen -  Pale Nude No.102	烟熏立体双效眼影笔（色号：Pale Nude No.102）
941922	Eye Color Contour Smoke & Sculpt Pen - Rosewood No.112	烟熏立体双效眼影笔（色号：Rosewood No.112）
941923	Eye Color Contour Smoke & Sculpt Pen -  Stone Grey No.124	烟熏立体双效眼影笔（色号：Stone Grey No.124）
941932	Lip Color Contour - Light No.02	自然光影修饰唇笔（色号：04 Dark）
638661	Burberry Kisses Sheer - Coral Pink No.265	Burberry 之吻轻润亮彩唇膏（色号：265 Coral Pink）
941930	Nail Polish - Stone Green No.433	指甲油（色号：Stone Green No.433）
941929	Nail Polish - Tea Rose No.403	指甲油（色号：Tea Rose No.403）
907626	Wet & Dry Silk Eye Shadow - Stone Blue No.307	干湿两用丝滑眼影（色号：307 Stone Blue）
941928	Nail Polish - Nude Pink No.101	指甲油（色号：Nude Pink No.101）
568399	Burberry Kisses - Bright Plum No.101	Burberry 之吻晶润凝彩唇膏（色号：101 Bright Plum）
531465	Bold Lash Mascara - Ebony No.01	醒目炫密睫毛膏（色号：01 Ebony）
907628	Lip Velvet - Bright Plum No.426	丝绒雾感凝彩唇膏（色号：Bright Plum No.426）
638676	First Kiss - Rose Blush No.03	Burberry 之吻丰盈凝彩唇膏（色号：03 Rose Blush）
843595	Festive Mini Beauty Box	节庆美妆精巧礼盒
941933	Lip Color Contour - Dark No.04	自然光影修饰唇笔（色号：04 Dark）
907621	Eye Color Cream - Sheer Gold No.96	凝眸魅彩眼影霜（色号：Sheer Gold No.96）
907623	Effortless Kohl Eyeliner - Stone No.00	持久防水眼线笔（色号：Stone No.00）
907624	Eye Color Contour Smoke & Sculpt Pen - Navy No.120	烟熏立体双效眼影笔（色号：Navy No.120）
754301	Full Kisses - Military Red No.553	Burberry 之吻丰盈凝彩唇膏（色号：553 Military Red）
907625	Wet & Dry Silk Eye Shadow - Nickel No.304	干湿两用丝滑眼影（色号：Nickel No.304）
917911	Lip Velvet - Dusky Pink No.406	丝绒雾感凝彩唇膏（色号：406 Dusky Pink）
907622	Effortless Blendable Kohl Eyeliner - Pearl Gray No.04	持色晕染眼线笔（色号：01 Jet Black）
907627	Full Kisses - Nude Beige No.500	Burberry 之吻丰盈凝彩唇膏（色号：Nude Beige No.500）
907619	Lip Color Contour - Fair No.01	唇妆笔（色号：Fair No.01）
638659	Burberry Kisses Sheer - Bright Pink No.233	Burberry 之吻轻润亮彩唇膏（色号：233 Bright Pink）
577427	Burberry Kisses - Union Red No.113	Burberry 之吻唇膏（色号：113 Union Red）
568396	Burberry Kisses - Peach Delight No.57	Burberry 之吻晶润凝彩唇膏（色号：57 Peach Delight）
638655	Burberry Kisses Gloss - Bright Rose No.61	Burberry 之吻水凝清漾唇蜜（色号：61 Bright Rose）
638677	First Kiss - Crushed Red No.04 	Burberry 之吻丰盈凝彩唇膏（色号：04 Crushed Red）
868683	Liquid Lip Velvet - Light Nude No. 01	丝绒雾彩奶油唇膏（色号：Light Nude No. 01）
790352	Complete Eye Palette - Gold Shimmer No.28	丝光绚色眼影盘（色号：28 Gold Shimmer）
754299	Full Kisses - English Rose No.529	Burberry 之吻丰盈凝彩唇膏（色号：529 English Rose）
868686	Liquid Lip Velvet - Primrose No.21	丝绒雾彩奶油唇膏（色号：21 Primrose）
790350	Burberry Kisses Gloss - Parade Red No.117	Burberry 之吻唇蜜（色号：117 Parade Red）
790348	Nail Polish - Parade Red No.305	指甲油（色号：305 Parade Red）
638674	First Kiss - Soft Peach No.01	Burberry 之吻丰盈凝彩唇膏（色号：Soft Peach No.01）
638662	Burberry Kisses Sheer - Tea Rose No.277	Burberry 之吻轻润亮彩唇膏（色号：277 Tea Rose）
907629	Nail Polish Set	指甲油套装
790356	My Burberry Shimmering Body Oil, 30ml	My Burberry 亮彩身体油，30ml
907620	Lip Color Contour - Medium No.03	唇妆笔（色号：Medium No.03）
868687	Liquid Lip Velvet - Military Red No. 41	丝绒雾彩奶油唇膏（色号 ：41 Military Red）
790339	Runway Palette - Fall/ Winter 2016	2016 年秋冬时装秀眼影提亮两用蜜粉饼
754410	Lip Velvet - Fuchsia Pink No.418 	丝绒唇膏（色号：418 Fuchsia Pink）
638667	Lip Velvet - Damson No.425	丝绒雾感凝彩唇膏（色号：425 Damson）
638663	Burberry Kisses Sheer - 289 Boyzenberry	Burberry 之吻轻润亮彩唇膏（色号：289 Boyzenberry）
790351	Gold Shimmer - Fragranced Luminising Powder	亮彩香氛粉饼（色号：Gold Shimmer）
444575	Lip Definer - Brick Red No.05	唇线笔（色号：05 Brick Red）
843597	Purple Hyacinth scented candle, 240g	Purple Hyacinth 香薰蜡烛，240g
843598	Highland Berry scented candle, 240g	高地莓果香薰蜡烛，240g
843599	English Rose scented candle, 240g	英格兰玫瑰香薰蜡烛，240g
843602	Black Amber scented candle, 240g	Black Amber 香氛蜡烛，240g
790345	Nail Polish - Gold Glitter No.451	指甲油（色号：451 Gold Glitter）
843601	Cedarwood scented candle, 240g	雪松香氛蜡烛，240g
444604	Sheer Powder - Porcelain No.01	薄透蜜粉（色号：01 Porcelain）
638656	Burberry Kisses Gloss - Rose Blush No.89	Burberry 之吻水凝清漾唇蜜（色号：89 Rose Blush）
500842	Complete Eye Palette - Slate Blue No.20	丝光绚色眼影盘（色号：20 Slate Blue）
444605	Sheer Powder - Porcelain No.02	薄透蜜粉（色号：02 Porcelain）
843600	Dewy Grass scented candle, 240g	Dewy Grass 香薰蜡烛，240g
843603	Purple Hyacinth, Highland Berry and English Rose set of three scented candles, 3 x 65g 	紫色风信子、高地浆果、英伦玫瑰香氛蜡烛，3 x 65g（三支装）
790347	Burberry Kisses - Parade Red No.117	Burberry 之吻唇膏（色号：117 Parade Red）
553008	Wet & Dry Silk Eye Shadow - Aqua Green No.309	干湿两用丝滑眼影（色号：309 Aqua Green）
638652	Burberry Kisses Gloss - Trench Kiss No.05	Burberry 之吻水凝清漾唇蜜（色号：05 Trench Kiss）
638675	First Kiss - Coral Glow No.02	Burberry 之吻丰盈凝彩唇膏 （色号：02 Coral Glow）
638657	Burberry Kisses Gloss - Military Red No.109	Burberry 之吻水凝清漾唇蜜（色号：109 Military Red）
568395	Burberry Kisses - Rose Pink No.33	Burberry 之吻晶润凝彩唇膏（色号： 33 Rose Pink）
868684	Liquid Lip Velvet - Fawn No. 05	丝绒雾彩奶油唇膏（色号：05 Fawn ）
754296	Full Kisses - Nude Blush No.501	Burberry 之吻丰盈凝彩唇膏（色号：501 Nude Blush）
641716	Eye Color Cream - Charcoal  No.114	眼影霜（色号：114 Charcoal）
638678	First Kiss - Sweet Plum No.05	Burberry 之吻丰盈凝彩唇膏（色号：05 Sweet Plum）
568394	Burberry Kisses - Nude Pink No.05	Burberry 之吻晶润凝彩唇膏（色号：05 Nude Pink）
568398	Burberry Kisses - Oxblood No.97	Burberry 之吻晶润凝彩唇膏（色号：97 Oxblood）
790358	My Burberry Black Roll-On - Jasmine Flower, 7.5ml	My Burberry Black 滚珠式香氛油，7.5ml（香型：Jasmine Flower）
785919	Cat Lashes Mascara - Jet Black No.01	猫眼魅惑睫毛膏（色号：Jet Black No.01）
638687	Effortless Kohl Eyeliner - 06 Storm Green	持久防水眼线笔（色号：06 Storm Green）
843596	Festive Makeup Beauty Box	节庆美妆礼盒
500852	My Burberry Soap Set, 3 x 100g 	My Burberry 沐浴皂套装（3 x 100g）
641730	Burberry Kisses Gloss - Fondant Pink No.33	Burberry 之吻水凝清漾唇蜜（色号：33 Fondant Pink）
755775	Nail Polish - Coral Pink No.220	指甲油（色号：220 Coral Pink）
638672	Lip Definer - Military Red No.09	唇线笔（色号：09 Military Red）
638688	Effortless Kohl Eyeliner - 07 Antique Gold	持久防水眼线笔（色号：07 Antique Gold）
843604	Cedar Wood, Black Amber and Dewy Grass set of three scented candles, 3 x 65g	Cedar Wood、Black Amber 和 Dewy Grass 香薰蜡烛（三支装），3 x 65g
638654	Burberry Kisses Gloss - Pink Mist No.53	Burberry 之吻水凝清漾唇蜜（色号：53 Pink Mist）
843945	Fresh Glow Foundation - Camel No.42, 30ml	丝柔珠光亮彩粉底液, 30ml（色号：42 Camel)
641718	Wet & Dry Silk Eye Shadow - Gold Pearl No.001	干湿两用丝滑眼影（色号：001 Gold Pearl）
641727	Warm Glow Bronzer - Warm Glow No.01	暖色修容粉饼（色号：01 Warm Glow）
577424	Burberry Kisses - Light Crimson No.49	Burberry 之吻晶润凝彩唇膏（色号：49 Light Crimson）
