pid	English	Chinese
943536	Sun Designer Palette - Tropical Break 3	日光定制彩妆盘（色号：Tropical Break 3）
907003	Baume de Rose Face, Hand & Body Creams	玫瑰护肤套装
943535	Tea to Tan Face & Body - 1 Summer Bronze, 30ml	脸部和身体茶方古铜喷雾，30ml（色号：1 Summer Bronze）
943531	Stylo Blackstar – Marron Glace 5	闪耀星眸多功能眼线笔 （色号：Marron Glace 5）
943532	Stylo Blackstar – Midnight Ombre 6	闪耀星眸多功能眼线笔（色号：Midnight Ombre 6）
943528	Stylo Blackstar - Purpulyn Gem 2	闪耀星眸多功能眼线笔（色号：Purpulyn Gem 2）
943534	Stylo Blackstar - Aqua Mint 8	闪耀星眸多功能眼线笔 （色号：Aqua Mint 8）
943527	Stylo Blackstar - Smoky Black 1	闪耀星眸多功能眼线笔（色号：Smoky Black 1）
943533	Stylo Blackstar – Bronze Green 7	闪耀星眸多功能眼线笔（色号：Bronze Green 7）
943529	Stylo Blackstar - Tasty Truffle 3	闪耀星眸多功能眼线笔（色号：Tasty Truffle 3）
943530	Stylo Blackstar - Copper Crush 4	闪耀星眸多功能眼线笔（色号：Copper Crush 4）
888892	Baume De Rose Hand Cream, 75g	玫瑰护手霜，75g
888893	Baume De Rose Body Cream, 200ml	玫瑰身体乳，200ml
888891	Baume De Rose Face Cream, 50ml	玫瑰面霜，50ml 
888102	Eye Designer Palette - Techno Aura 3	设计师定制六色眼影盘（色号：3 Techno Aura）
888100	Glow-Expert Duo Stick - Terra Rosa 2	亮颜双色高光修容笔（色号：Terra Rosa 2）
888101	Glow-Expert Duo Stick - Peachy Petal 2	亮颜双色高光修容笔（色号：Peachy Petal 2）
681276	Gold - Jewel Lip Kiss Palette	Gold 系列珠光蜜吻唇彩色盘
888099	Glow-Expert Duo Stick - Amber Light 1	亮颜双色高光修容笔（色号：Amber Light 1）
614772	Eye Designer Palette - Color Design 2	设计师定制十色眼影盘（色号：2 Color Design）
658545	Terrybly Densiliss Blush Contouring - Peachy Sculpt 300 	高效嫩肤修容腮红（色号：Peachy Sculpt 300）
658546	Terrybly Densiliss Blush Contouring - Rosy Shape 400 	高效嫩肤修容腮红（色号：Rosy Shape 400）

658543	Terrybly Densiliss Contour Compact - Fresh Contrast 100 	高效嫩肤修容粉饼（色号：Fresh Contrast 100）
658544	Terrybly Densiliss Contour Compact - Beige Contrast 200 	高效嫩肤修容粉饼（色号：Beige Contrast 200）
824384	Eye Designer Palette - Gem Experience 2	设计师定制六色眼影盘（色号：2 Gem Experience）
549875	Terrybly Densiliss Blush - 2 Flash Fiesta	活肌透亮腮红（色号：2 Flash Fiesta）
824383	Eye Designer Palette – Forest Desire 1	设计师定制六色眼影盘（色号：1 Forest Desire）
576052	Terrybly Velvet Rouge Liquid Velvet Lipstick -  Bohemian Plum 4	时尚焦点丝绒唇釉（色号：4 Bohemian Plum）
549871	Rouge Terrybly - Hot Cranberry 302	光彩丰润唇膏（色号：302 Hot Cranberry）
658547	Terrybly Velvet Rouge Liquid Velvet Lipstick - My Red 9	时尚焦点丝绒唇釉（色号：9 My Red）
527440	Baume De Rose Nutri-Couleur - Mandarina Pulp	玫瑰幻彩润唇霜（色号：Mandarina Pulp）
549870	Rouge Terrybly - Terrific Rouge 201	光彩丰润唇膏（色号：201 Terrific Rouge）
824243	Rouge-Expert Click Stick Hybrid Lipstick - Rosy Flush 6	红唇专家按压笔混合唇膏（色号：6 Rosy Flush）
658548	Terrybly Velvet Rouge Liquid Velvet Lipstick - Palace Garnet 10	时尚焦点丝绒唇釉（色号：10 Palace Garnet）
754368	Hyaluronic Sheer Rouge - Rose Bloom 16	透明质酸薄透裸色唇膏（色号：16 Rose Bloom）
614764	Crayon Sourcils Terrybly Eyebrow Pencil - Ash Brown 2 	丝绒粉彩眉笔（色号：Ash Brown 2）
824248	Rouge-Expert Click Stick Hybrid Lipstick - Palace Wine 21	红唇专家按压式唇膏笔（色号：21 Palace Wine）
754370	Hyaluronic Sheer Rouge -  Pink Up 18	透明质酸薄透裸色唇膏（色号：18 Pink Up）
527443	Baume De Rose Nutri-Couleur - Fig Fiction	玫瑰幻彩润唇霜（色号：Fig Fiction）
342755	Baume de Rose Flaconnette Lip Protectant, 7ml	玫瑰润唇蜜，7ml
614768	All Over Powder Brush - Dome 1	Dome 1 多功能粉刷 
549873	Eye Powder Kajal - Oriental Black	长效眼影粉（色号：Oriental Black）
646991	Aqua Tint Lip & Cheek Color Touch Duo - Splash Tonic 1 	水漾唇颊两用润色液（色号：1 Splash Tonic）

唇彩和腮红两用液体（色号：1 Splash Tonic）
614758	Hyaluronic Sheer Rouge - Dragon Pink 5	透明质酸薄透红唇唇膏（色号：5 Dragon Pink）
754364	Line Designer - Brown Glaze 2	眼线液（色号：2 Brown Glaze）
754357	Cellularose® Dual Exfoliation Scrub, 100g	野生白玫瑰双效去角质磨砂膏，100g
576055	Crayon Levres Terrybly Perfect Lip Liner - 7 Red Alert	丝绒釉彩防水唇线笔（色号：7 Red Alert）
576056	Crayon Levres Terrybly Perfect Lip Liner - 8 Wine Delice	丝绒釉彩防水唇线笔（色号：8 Wine Delice）
614769	Foundation Brush - Precision 6	Precision 6 粉底刷 
754366	Line Designer - Blue Fix 4	眼线液（色号：4 Blue Fix）
824245	Rouge-Expert Click Stick Hybrid Lipstick - Baby Brick 11	红唇专家按压式唇膏笔（色号：11 Baby Brick）
658549	Eye Designer Palette - Magnet Eyes 3	设计师定制十色眼影盘（色号：3 Magnet Eyes）
733025	Ombre Blackstar 	闪耀星眸锁色膏状眼影笔（色号：16 Nude Milky Way）
824249	Rouge-Expert Click Stick Hybrid Lipstick - Orchid Alert 24	红唇专家按压式唇膏笔（色号：24 Orchid Alert）
576051	Terrybly Velvet Rouge Liquid Velvet Lipstick - Dream Bloom 3 	时尚焦点丝绒唇釉（色号：Dream Bloom 3）
342756	SPF15 Baume De Rose Lip Protectant	SPF15 玫瑰润唇膏 
824242	Rouge-Expert Click Stick Hybrid Lipstick - Rose Ease 4	红唇专家按压式唇膏笔（色号：4 Rose Ease）
824247	Rouge Expert Click Stick Hybrid Lipstick - My Red 17	红唇专家按压式唇膏笔（色号：17 My Red）
576053	Terrybly Velvet Rouge Liquid Velvet Lipstick - INGU Rouge 8	时尚焦点丝绒唇釉（色号：8 INGU Rouge）
840308	Terryfic Oud Eau de Parfum, 100ml	Terryfic Oud 香水，100ml
614766	Eyebrow Mascara Tint Brush Fix-Up Gel - Medium Ash 2	修复染眉胶（色号：2 Medium Ash）
707134	Cellularose® Liftessence® Global Serum, 30ml	野生白玫瑰提升精华，30ml
549874	Terrybly Densiliss Blush - Platonic Blonde 1	活肌透亮腮红（色号：1 Platonic Blonde）
824246	Rouge-Expert Click Stick Hybrid Lipstick - Naked Nectar 12	红唇专家按压式唇膏笔（色号：12 Naked Nectar）
449210	Ombre Blackstar 	闪耀星眸锁色膏状眼影笔（色号：04 Bronze Moon）
733026	Ombre Blackstar 	闪耀星眸锁色膏状眼影笔（色号：17 Bubble Glow）
614750	Hyaluronic Sheer Nude - Innocent Kiss 2	透明质酸薄透裸色唇膏（色号：2 Innocent Kiss）
840309	Terryfic Oud Eau de Toilette, 100ml	Terryfic Oud 淡香水，100ml
733024	Baume De Rose Nutri-Couleur - Mauve Moon	玫瑰幻彩润唇霜（色号：Mauve Moon）
449213	Hyaluronic Hydra-Powder	透明质酸水润散粉
549876	Terrybly Densiliss Blush - 4 Nude Dance	高效嫩肤腮红（色号：4 Nude Dance）
754363	Line Designer - Black Ink 1	眼线液（色号：1 Black Ink）
824241	Rouge-Expert Click Stick Hybrid Lipstick - Bloom Nude 2	红唇专家按压式唇膏笔（色号：2 Bloom Nude）
