pid	English	Chinese
943356	Kabuki Perfume - Gypsy Water, 7g	Kabuki 香氛笔，7g（香调：Gypsy Water）
943354	Kabuki Perfume - Bal d'Afrique, 7g	Kabuki 香氛笔，7g（香调：Bal d'Afrique）
943355	Kabuki Perfume - Blanche, 7g	Kabuki 香氛笔，7g（香调：Blanche）
935194	La Sélection Nomade Set Eau de Parfum - Bal d'Afrique, Blanche & Gypsy Water, 3 x 12ml	La Sélection Nomade 香水套装，3 x 12ml（香调：Bal d'Afrique、Blanche、Gypsy Water）
935195	La Sélection Boisée Set Eau de Parfum - Mojave Ghost, Super Cedar & Black Saffron, 3 x 12ml	La Sélection Boisée 香水套装，3 x 12ml（含 Mojave Ghost, Super Cedar 和 Black Saffron 香水）
898407	Safran scented candle, 240g	Saffron 香薰蜡烛，240g
898411	1996 Eau de Parfum - Juniper Berries, Orris, Violet, Leather & Patchouli, 100ml	1996 香水，100ml（香调：杜松子、鸢尾草、紫罗兰、皮革、广藿香）
577974	Ambre Japonais scented candle, 240g	Ambre Japonais 香薰蜡烛，240g
585595	Burning Rose scented candle, 240g	Burning Rose 香薰蜡烛，240g
821911	Mojave Ghost Hand Cream, 30ml	Mojave Ghost 护手霜，30ml
460257	Gypsy Water Perfumed Oil Roll-On - Bergamot & Pine Needles, 7.5ml	Gypsy Water 滚珠式香氛油，7.5ml（香调：佛手柑 & 松针）
594874	Cotton Poplin scented candle, 240g	Cotton Poplin 香薰蜡烛，240g
821910	Mojave Ghost Perfumed Oil Roll-On - Violet & Sandalwood, 7.5ml	滚珠式香氛油，7.5ml（香调：紫罗兰、檀香木）
821913	Mojave Ghost Body Wash, 225ml	Mojave Ghost 沐浴乳，225ml
610342	Gypsy Water Hair Perfume - Bergamot & Pine Needles, 75ml	Gypsy Water 发丝香氛露，75ml（香调：佛手柑&松针）
460268	Gypsy Water Body Wash, 225ml	Gypsy Water 沐浴乳，225ml
743609	Gypsy Water Hand Cream, 30ml	Gypsy Water 护手霜，30ml
577970	Bibliothèque scented candle, 240g	Bibliothèque 香薰蜡烛，240g
