pid	English	Chinese
901161	Eye Basic Brush	多用途眼影扫
941257	Lip Sleek - Grenadine	细管唇膏笔（色号：Grenadine）
901160	Eye Liner Brush	眼线刷
941260	Lip Sleek - Tango	细管唇膏笔（色号：Tango）
941259	Lip Sleek - Orchid	细管唇膏笔（色号：Orchid）
941264	Poudre Lumière - Sunlight	高光修容粉（色号：Sunlight）
941261	Lip Sleek - Flamingo	细管唇膏笔（色号：Flamingo）
941263	Radiance Gel Bronzer, 20ml	熠采生辉古铜啫喱，20ml
941258	Lip Sleek - Calypso	细管唇膏笔（色号：Calypso）
941256	Seashell Eye and Cheek Trio	贝壳眼颊三色彩妆盘
901155	Matte Chic Liquid Lipstick - Marisa	花妍哑光液态唇膏（色号：Marisa）
901159	Lip Chic - Petunia	花妍香颂唇膏（色号：Petunia）
901156	Matte Chic Liquid Lipstick - Jerry	花妍哑光液态唇膏（色号：Jerry）
901158	Lip Chic - Tuberose	花妍香颂唇膏（色号：Tuberose）
901153	Mermaid Eye Matte Set	哑光版美人鱼眼影霜套装
901157	Lip Chic - Lily	花妍香颂唇膏（色号：Lily）
901154	Brightening Eye Kajal - Nude	明眸眼线笔（色号：Nude）
901163	Rose de Mai Body Oil, 50ml	五月玫瑰花妍身体精华油，50ml
338317	Lip Chic - Violetta	花妍香颂唇膏（色号：Violetta）
799613	Lip Definer - Nuance	唇线笔（色号：Nuance）
682516	Lip Definer - Daring	花妍长效唇线笔（色号：Daring）
803045	Matte Chic Liquid Lipstick - Carmen	花妍哑光液态唇膏（色号：Carmen）
616215	Lip Chic - Moroccan Rose 	花妍香颂唇膏（色号：Moroccan Rose）
682511	Lipstick - Nirvana	花妍润泽唇膏（色号：Nirvana）
799620	Luster Glide Eyeliner - Amethyst	丝滑光感眼线笔（色号：Amethyst）
682515	Lip Definer - Vibrant	花妍长效唇线笔（色号：Vibrant）
803047	Mermaid Eye Color - Copper	美人鱼眼影霜（色号：Copper）
616212	Le Chrome Luxe Eye Duo – Gardens of Marrakech	闪烁奢华双色眼影（色号：Gardens of Marrakech）
799626	Blanc Gardenia Brightening Emulsion, 50ml	栀子花亮白乳液，50ml
682512	Lipstick - Larkspur	花妍润泽唇膏（色号：Larkspur）
735789	Lip Chic – Wild Poppy	花妍唇泽（色号： Wild Poppy）
542242	Brilliant Gloss - Lucky	花妍晶莹唇彩（色号：Lucky）
682508	Le Chrome Luxe Eye Duo - Tibet	闪烁奢华双色眼影（色号：Tibet）
682510	Lipstick - Hollyhock	花妍润泽唇膏（色号：Hollyhock）
523229	Luminous Gloss - Guava	花妍釉彩唇蜜（色号：Guava）
