pid	English	Chinese
418007	Charlotte's Magic Cream, 50ml	奇迹乳霜，50ml
418006	Multi-Miracle Glow Cleanser, Mask & Balm, 100ml	多功效奇迹亮颜乳霜（洁面、面膜、乳霜），100ml
702766	Magic Night Rescue Cream	奇迹晚霜
976037	Unisex Healthy Glow Tinted Moisturizer, 40ml	男女通用健康光泽润色面霜，40ml
955030	Instant Look In A Palette - Beauty Glow	瞬彩亮颜彩妆盘（色号：Beauty Glow）
955032	Overnight Bronze & Glow Mask, 50ml	美黑亮彩睡眠面膜，50ml
910542	Instant Magic Facial Dry Sheet Mask x 4	瞬间美颜无水面膜（4 片装）
595882	Goddess Skin Clay Mask, 75ml	臻美焕颜陶土面膜，75ml
910541	Instant Magic Facial Dry Sheet Mask	瞬间美颜无水面膜
503987	Beach Stick - Formentera	海滩度假唇颊两用膏（色号：Formentera）
418026	Filmstar Bronze & Glow - Fair/Medium, 16g	荧幕女神二合一粉盒（色号：Fair/Medium），16g
418008	Wonder Glow Instant Soft-Focus Beauty Flash, 40ml	极速柔光亮颜霜，40ml
418000	The Bombshell	“红毯女神”彩妆套装
417999	The Dolce Vita	“甜蜜人生”彩妆套装
417998	The Rock Chick	“摇滚女郎”彩妆套装
418003	The Rebel	“叛逆芭比”彩妆套装
417996	The Uptown Girl	“上城女孩”彩妆套装
418002	The Glamour Muse	“魅惑缪斯”彩妆套装
436855	Cheek to Chic Swish & Pop Blusher - Love Glow	彤彩嫣然腮红（色号：Love Glow）
484805	Cheek To Chic Swish & Pop Blusher - Love is the Drug	彤彩嫣然腮红（色号：Love is the Drug）
484807	Cheek to Chic Swish & Pop Blusher - The Climax	彤彩嫣然腮红（色号：The Climax）
532656	Matte Revolution Lipstick - Red Carpet Red	传奇哑光唇膏（色号：Red Carpet Red）
962147	Luxury Beauty Wardrobe Makeup Kit	奢华护肤美妆套装
532652	Matte Revolution Lipstick - Amazing Grace	传奇哑光唇膏（色号：Amazing Grace）
444504	K.I.S.S.I.N.G  Fallen From The Lipstick Tree - Coachella Coral	凝润轻吻唇膏（色号：Coachella Coral）
784605	Hot Lips Lipstick - Super Cindy	女神热吻唇膏（色号：Super Cindy）
784604	Hot Lips Lipstick - Kidman's Kiss 	女神热吻唇膏（色号：Kidman's Kiss）
455960	Lip Cheat Lip Liner - Pink Venus	魔法换颜唇线笔（色号：Pink Venus）
662069	Lip Cheat Lip Liner - Foxy Brown	魔法换颜唇线笔（色号：Foxy Brown）
662068	Lip Cheat Lip Liner - Crazy in Love	魔法换颜唇线笔 （色号：Crazy in Love）
901236	Legendary Brows - Clear	焕采染眉膏（色号：Clear）
901234	Legendary Brows Super Model 	焕采染眉膏
901235	Legendary Brows - Linda	焕采染眉膏（色号：Linda）
677619	Light Wonder Youth-Boosting Foundation – Fair 1, 40ml	光线奇迹焕美新生粉底 SPF15，40ml（色号：1 Fair）
901233	Legendary Brows - Brigitte	焕采染眉膏（色号：Brigitte）
677620	Light Wonder Youth-Boosting Foundation – Fair 2, 40ml	光线奇迹焕美新生粉底 SPF15，40ml（色号：2 Fair）
901231	Brow Lift - Rita	神采飞扬三合一眉笔 (色号：Rita)
677621	Light Wonder Youth-Boosting Foundation – Fair 3, 40ml	光线奇迹焕美新生粉底，40ml （色号：3 Fair）
