pid	English	Chinese
778122	Loubilaque Lip Lacquer - Rouge Louboutin	亮泽漆面唇彩（色号：Rouge Louboutin）
778129	Loubilaque Lip Lacquer - Akenana	亮泽漆面唇彩（色号：Akenana）
778128	Loubilaque Lip Lacquer - Altareva	亮泽漆面唇彩（色号：Altareva）


778127	Loubilaque Lip Lacquer - Altressa	亮泽漆面唇彩（色号：Altressa）
778124	Loubilaque Lip Lacquer - Bikini	亮泽漆面唇彩（色号：Bikini）
950048	Metalinude Nail Color - Irisa	金属光感指甲油（色号：Irisa）
778125	Loubilaque Lip Lacquer - Colibretta	亮泽漆面唇彩（色号：Colibretta）

950049	Metalinude Nail Color - Goldissima	金属光感指甲油（色号：Goldissima）
950050	Metalinude Nail Color - Preciosa	金属光感指甲油（色号：Preciosa）
950053	Metalinude Loubilaque Lip Lacquer - Preciosa	亮泽漆面唇彩（色号：Preciosa）
950051	Metalinude Loubilaque Lip Lacquer - Bronzissima	亮泽漆面唇彩（色号：Bronzissima）
950052	Metalinude Loubilaque Lip Lacquer - Goldissima	亮泽漆面唇彩（色号：Goldissima）
664611	Silky Satin Lip Colour - Rouge Louboutin	丝滑柔缎唇膏（色号：Rouge Louboutin）
778123	Loubilaque Lip Lacquer - Bengali	亮泽漆面唇彩（色号：Bengali）
778126	Loubilaque Lip Lacquer - Casanovella	亮泽漆面唇彩（色号：Casanovella）

904505	Oeil Velours Velvet Eye Definer - Khol	丝滑眼线笔（色号：Khol） 
904496	Les Yeux Noirs Lash Amplifying Lacquer - Khol	黑眼睛睫毛膏（色号：Khol）
664639	Sheer Voile Lip Colour - Rouge Louboutin	轻透薄纱唇膏（色号：Rouge Louboutin）
904499	Oeil Vinyle Luminous Ink Liner - Khol	晶钻眼线笔（色号：Kohl）
904498	Oeil Vinyle Luminous Ink Liner - Rouge Louboutin	晶钻眼线笔（色号：Rouge Louboutin）
904501	Brow Definer - Blonde	眉笔（色号：Blonde）
904500	Oeil Vinyle Luminous Ink Liner - Lady Twist	晶钻眼线笔（色号：Lady Twist）
904497	Les Yeux Noirs Lash Amplifying Lacquer - Sevillana	黑眼睛睫毛膏（色号：Sevillana）
904509	Oeil Velours Velvet Eye Definer - Hot Chick	丝滑眼线笔（色号：Hot Chick） 
904502	Brow Definer - Taupe	眉笔（色号：Taupe）
904507	Oeil Velours Velvet Eye Definer - Fierce	丝滑眼线笔（色号：Fierce） 
904508	Eye Oeil Velours Velvet Eye Definer - Deep Teal	丝滑眼线笔（色号：Deep Teal）
904504	Brow Definer - Brunette	塑形眉笔（色号：Brunette）
664642	Sheer Voile Lip Colour - Rose du Desert	轻透薄纱唇膏（色号：Rose du Desert）
904506	Oeil Velours Velvet Eye Definer - Zoulou	丝滑眼线笔（色号：Zoulou）
904503	Brow Definer - Auburn	塑形眉笔（色号：Auburn）
664617	Silky Satin Lip Colour - Let Me Tell You	丝滑柔缎唇膏（色号：Let Me Tell You）
664630	Velvet Matte Lip Colour - Rouge Louboutin	丝绒哑光唇膏（色号：Rouge Louboutin）
664644	Sheer Voile Lip Colour - You You	轻透薄纱唇膏（色号：You You）
822107	Bikini Questa Sera, 80ml	Bikini Questa Sera 香水，80ml
664640	Sheer Voile Lip Colour - Loubiminette	轻透薄纱唇膏（色号：Loubiminette）
664615	Silky Satin Lip Colour - Très Décolleté	丝滑柔缎唇膏（色号：Très Décolleté）
822108	Trouble in Heaven, 80ml	Trouble in Heaven 香水，80ml
822106	Tornade Blonde, 80ml	Tornade Blonde 香氛，80ml
831750	Trouble in Heaven Perfume Oil, 30ml	Trouble in Heaven 香氛油，30ml
664641	Sheer Voile Lip Colour - Très Béa	轻透薄纱唇膏（色号：Très Béa）
664647	Sheer Voile Lip Colour - Private Number	轻透薄纱唇膏（色号：Private Number）
664623	Silky Satin Lip Colour - Torerra	丝滑柔缎唇膏（色号：Torerra）
809529	Velvet Matte Lip Colour - Miss Loubi	丝绒哑光唇膏（色号：Miss Loubi）
831748	Tornade Blonde Perfume Oil, 30ml	Tornade Blonde 香氛油，30ml
809528	Velvet Matte Lip Colour - Altressa	丝绒哑光唇膏（色号：Altressa）
831749	Bikini Questa Sera Perfume Oil, 30ml	Bikini Questa Sera 香氛油，30ml
664618	Silky Satin Lip Colour - Impera	丝滑柔缎唇膏（色号：Impera）
831751	Eau de Parfum Collection, 3 x 5ml	香水套装，3 x 5ml
809527	Velvet Matte Lip Colour -  So Tango	丝绒哑光唇膏（色号：So Tango）
664620	Silky Satin Lip Colour - Miss Clichy	丝滑柔缎唇膏（色号：Miss Clichy）
664631	Velvet Matte Lip Colour - Bengali	丝绒哑光唇膏（色号：Bengali）
664654	Nail Color - Loubi Under Red 	指甲油（色号：Loubi Under Red）
750881	Nail Color - Lady Peep	指甲油（色号：Lady Peep）
664628	Silky Satin Lip Colour - Me Nude	丝滑柔缎唇膏（色号：Me Nude）
750882	Nail Color - Jazzy Doll	指甲油（色号：Jazzy Doll）
664622	Silky Satin Lip Colour - Very Prive	丝滑柔缎唇膏（色号：Very Prive）
664625	Silky Satin Lip Colour - Miss Loubi	丝滑柔缎唇膏（色号：Miss Loubi）
664648	Lip Definer - Leanue	唇线笔（色号：Leanue）
664629	Silky Satin Lip Colour - Farida	丝滑柔缎唇膏（色号：Farida）
750883	Nail Color - Edgypopi	指甲油（色号：Edgypopi）
664643	Sheer Voile Lip Colour - Petal Rose	轻透薄纱唇膏（色号：Petal Rose）
664645	Sheer Voile Lip Colour - Mexicatchy	轻透薄纱唇膏（色号：Mexicatchy）
664626	Silky Satin Lip Colour - Delicanodo	丝滑柔缎唇膏（色号：Delicanodo）
664635	Velvet Matte Lip Colour - Survivita	丝绒哑光唇膏（色号：Survivita）
664650	Lip Definer - Safki	唇线笔（色号：Safki）
664624	Silky Satin Lip Colour - Youpiyou	丝滑柔缎唇膏（色号：Youpiyou）
664636	Velvet Matte Lip Colour - Diva	丝绒哑光唇膏（色号：Diva）
664621	Silky Satin Lip Colour - Sevillana	丝滑柔缎唇膏（色号：Sevillana）
664646	Sheer Voile Lip Colour - Escatin	轻透薄纱唇膏（色号：Escatin）
664649	Lip Definer  - Nats	唇线笔（色号：Nats）
664613	Silky Satin Lip Colour - Pluminette	丝滑柔缎唇膏（色号：Pluminette）
664627	Silky Satin Lip Colour - Tutulle	丝滑柔缎唇膏（色号：Tutulle）
664632	Velvet Matte Lip Colour - Rococotte	丝绒哑光唇膏（色号：Rococotte）
664652	Nail Color - Rouge Louboutin	指甲油（色号：Rouge Louboutin）
668049	Lip Definer - Maya	唇线笔（色号：Maya）
809524	Velvet Matte Lip Colour - Very Prive	丝绒哑光唇膏（色号：Very Prive）
664612	Silky Satin Lip Colour - Bengali	丝滑柔缎唇膏（色号：Bengali）
664634	Velvet Matte Lip Colour - Djalouzi	丝绒哑光唇膏（色号：Djalouzi）
664651	Lip Definer - Ada	唇线笔（色号：Ada）
664614	Silky Satin Lip Colour - Bikini	丝滑柔缎唇膏（色号：Bikini）
664616	Silky Satin Lip Colour - Belly Bloom	丝滑柔缎唇膏（色号：Belly Bloom）
668048	Silky Satin Lip Colour - Loubeach	丝滑柔缎唇膏（色号：Loubeach）
664633	Velvet Matte Lip Colour - Eton Moi	丝绒哑光唇膏（色号：Eton Moi）
664637	Velvet Matte Lip Colour - Just Nothing	丝绒哑光唇膏（色号：Just Nothing）
664653	Loubi Nail Primer and Loubi Nail Gloss	Loubi 指甲底油和表层油套装
664619	Silky Satin Lip Colour - Ronron	丝滑柔缎唇膏（色号：Ronron）
664638	Velvet Matte Lip Colour - Zoulou	丝绒哑光唇膏（色号：Zoulou）
