pid	English	Chinese
961632	Cleansing Purifying Scrub, 75ml	洁发磨砂膏，75ml
961631	Cleansing Volumizing Paste, 250ml	清洁丰盈发泥，250ml
885157	Regenerating Hair Ritual Travel Kit	焕活护发旅行套装
885156	Detox Hair Ritual Travel Kit	深层排毒护发旅游套装
805700	Essentials Kit	必备套装
514417	Cleansing Purifying Scrub With Sea Salt, 250ml	海盐洁净磨砂膏，250ml
860209	Detangling Boar Bristle Hairbrush	野猪鬃毛顺发发刷

809852	Purifying Shampoo, 250ml 	澄净清透洗发露, 250ml
860212	Pre-curved Blowdry Boar Bristle Hairbrush - 12 rows	弯曲猪鬃毛吹干造型发梳（12 排刷毛）
860211	Pre-curved Blowdry Boar Bristle Hairbrush - 10 rows	弯曲猪鬃毛吹干造型发梳（10 排刷毛）
860210	Travel Boar Bristle Hairbrush	野猪鬃毛旅行发刷
613942	Delicate Volumizing Shampoo, 250ml	炫色丰盈洗发露，250ml
514419	Regenerating Mask, 250ml	赋活发膜，250ml
514422	Shade Variation Care - Baby Blond, 250ml	炫魅色彩护理发膜，250ml（色号：Baby Blond）
702770	Color Fixator Wheat Germ Shampoo, 250ml	小麦胚芽护色亮发洗发露，250ml
702768	Regenerating Shampoo, 250ml	焕活修复洗发露，250ml
532948	Antioxidant Conditioner, 250ml	抗氧化护发素，250ml
613943	Volumizing Conditioner, 250ml	丰盈护发素，250ml
514421	Clarifying Shampoo, 250ml	改善发色洗发露，250ml
702773	Shade Variation Care - Ash Brown, 250ml	炫魅色彩护理发膜，250ml（色号：Ash Brown）
613944	Volumizing Mist, 150ml	丰盈蓬发喷雾，150ml
514420	Moisturizing Hair Oil With Lavender, 150ml	薰衣草精华滋润护发油，150ml
702772	Moisturizing Hair Cream, 100ml	滋润护发乳，100ml
638036	Regenerating Hair Finish Lotion, 200ml	秀发焕活修复乳液，200ml
514418	Cleansing Mask with Lemon, 250ml	柠檬清洁发膜，250ml
702771	Color Fixator Wheat Germ Mask, 250ml	小麦胚芽护色亮发发膜，250ml
702769	Regenerating Plant Oil, 125ml	焕活修复植物精油，125ml
532946	Intense Regenerating Balm with Rare Prickly Pear Oil, 120ml	珍贵梨果仙人掌油深层焕活护发霜，120ml
638038	Brightening Hair Finish Lotion, 200ml	秀发亮泽修复乳液, 200ml
532947	Antioxidant Cleansing Milk, 250ml	抗氧化洗发乳，250ml
514423	Shade Variation Care - Golden Blond, 250ml	炫魅色彩护理发膜，250ml（色号：Golden Blond）
514424	Shade Variation Care - Chic Copper, 250ml	炫魅色彩护理发膜，250ml（色号：Chic Copper）
514425	Shade Variation Care - Warm Chestnut, 250ml	炫魅色彩护理发膜，250ml（色号：Warm Chestnut）
