pid	English	Chinese
931047	Reggio scented candle, 270g 	Reggio 香薰蜡烛，270g
931048	Tadine scented candle, 270g 	Tadine 香薰蜡烛，270g
931050	L'Éteignoir - Cylindrical	圆柱形熄烛器
931049	L'Éteignoir - Sphere	球形熄烛器
931046	Madurai scented candle, 270g	Madurai 香薰蜡烛，270g
906692	Joséphine scented candle, 270g 	Joséphine 香薰蜡烛，270g
812559	Marie-Antoinette decorative candle	Marie-Antoinette 装饰蜡烛
467806	+ Giambattista Valli Positano scented candle, 270g	x Giambattista Valli “Positano” 香薰蜡烛，270g
467804	Odeurs Royales set of three scented candles, 3 x 100g	Odeurs Royales 香薰蜡烛（三支装），3 x 100g
812556	Solis Rex scented candle, 270g	Solis Rex 香薰蜡烛，270g
665485	Ernesto scented candle, 270g	Ernesto 香薰蜡烛，270g
812558	Trianon scented candle, 270g	Trianon 香薰蜡烛，270g
812554	Ottoman scented candle, 270g	Ottoman 香薰蜡烛, 270g
812557	Spiritus Sancti scented candle, 270g	Spiritus Sancti 香薰蜡烛，270g
534100	Bethléem scented candle, 270g	Bethléem 香熏蜡烛，270g
812552	Carmélite scented candle, 270g	Carmélite 香薰蜡烛，270g
812553	Madeleine scented candle, 270g	Madeleine 香薰蜡烛，270g
727467	Cyrnos scented candle, 270g	Cyrnos 香薰蜡烛，270g
467805	+ Giambattista Valli Rose Poivrée scented candle, 270g	x Giambattista Valli “Rose Poivrée” 香薰蜡烛，270g
812555	Prolétaire scented candle, 270g	Prolétaire 香薰蜡烛, 270g
467801	Abd el Kader scented candle, 270g	Abd el Kader 香薰蜡烛，270g
467802	Odalisque scented candle, 270g	Odalisque 香薰蜡烛，270g
467803	Bartolomé scented candle, 270g	Bartolomé 香薰蜡烛，270g
