pid	English	Chinese
816718	Eau de Parfum - Comme des Garçons Dot, 100ml	Dot 香水，100ml
816717	Eau de Parfum Pocket Collection, 4 x 25ml	便携式香水套装，4 x 25ml
816715	Play Green Eau de Toilette - Mint & Lime, 100ml	Play Green 淡香水，100ml（香调：薄荷、酸橙）
816716	Eau de Parfum - Wonderwood, 50ml	Wonderwood 香水，50ml
671536	Incense Kyoto Eau de Toilette - Cypress Oil, 50ml	Incense Kyoto 淡香水，50ml（香调：丝柏精油）
671537	Monocle Hinoki Eau de Toilette - Cypress & Térébenthine, 50ml	Monocle Hinoki 淡香水，50ml（香调：丝柏、松节油）
671538	Odeur 71 Eau de Toilette - Wood & Bamboo, 200ml	Odeur 71 淡香水，200ml（香调：林木、竹子）
671535	Comme des Garçons 2 Eau de Parfum - Ink, Incense & Amber, 50ml	Comme des Garçons 2 香水，50ml（香调：墨香、焚香、琥珀）
671534	Play Red Eau de Toilette - Red Mandarin & Safraleine,100ml	Play Red 香水，100ml（香调：红桔、藏花茚）
671540	Bougie EDP scented candle, 0.3 kilos	Bougie EDP 香薰蜡烛，0.3 千克
671539	Comme des Garçons 2 scented candle, 0.3 kilos	Comme des Garçons 2 香薰蜡烛，0.3 千克
816714	Amazingreen Eau de Parfum, 50ml	Amazingreen 香水，50ml
