pid	English	Chinese
815630	Mosquito Repellent, 2 x 55ml	驱蚊水，2 x 55ml
815628	Coco Amenities Set	醉人椰香套装
620989	Tabaco scented candle, 227g	Tabaco 香薰蜡烛，227g
815629	Fragrance Discovery Set For Her, 7 x 15ml	女士香水探索套装，7 x 15ml
620986	Coco Coco scented candle 	Coco Coco 香薰蜡烛
502940	Eau de Cologne - Tabaco, 100ml	Tabaco 古龙水，108ml
620985	Eau de Parfum - Coco Coco, 100ml	Coco Coco 香水，100ml
502939	Eau de Parfum - Flor de Mayo, 100ml	Flor de Mayo 香水，108ml
502943	Coco Coco Bath Oil, 100ml	Coco Coco 沐浴精油，100ml
620990	Floplum scented candle, 227g	Floplum 香薰蜡烛，227g
502941	Eau de Cologne - Orange Blossom, 100ml	Orange Blossom 古龙水，108ml
502938	Eau de Parfum - Rosas Frescas, 100ml	Rosas Frescas 香水，100ml
682798	Coco Amenities Set	醉人椰香套装
620984	Orange Blossom Linen Spray, 100ml	Orange Blossom 除螨喷雾，100ml
620982	Coco Coco Linen Spray, 100ml	Coco Coco 家居织物喷雾，100ml
620988	Orange Blossom scented candle, 227g 	Orange Blossom 香薰蜡烛，227g
620980	Rosas Frescas Bath Oil, 100ml	清新玫瑰沐浴精油，100ml
620983	Rosas Frescas Linen Spray, 100ml	Rosas Frescas 家居织物喷雾，100ml
682797	Shampoo & Conditioner Set, 2 x 50ml	洗发露和护发素套装，2 x 50ml
