pid	English	Chinese
935332	Hologram Girl Nail Polish Set	全息幻彩指甲油套装
897458	Sunrise, Sunset Nail Polish Set	日出日落指甲油套装
935329	Gel Lab Pro Nail Polish - Hot Child In The City	专业凝胶指甲油（色号：Hot Child In The City）
935330	Gel Lab Pro Nail Polish - Stargasm	专业凝胶指甲油（色号：Stargasm）
935331	Gel Lab Pro Nail Polish - Shut Up and Dance	专业凝胶指甲油（色号：Shut Up and Dance）
935328	Gel Lab Pro Nail Polish - I'm Too Sexy	专业凝胶指甲油（色号：I'm Too Sexy）
838745	Purple Rain Nail Polish Set	紫雨指甲油套装
840405	Nail Polish - Purple Rain	指甲油（色号：Purple Rain）
903327	Nail Polish - Sea of Love	指甲油（色号：Sea of Love）
903328	Nail Polish - Message In A Bottle	指甲油（色号：Message In A Bottle）
903325	Nail Polish - Cake By The Ocean	指甲油（色号：Cake By The Ocean）
802790	Gel Lab Pro Nail Polish - After Midnight	专业凝胶指甲油（色号：After Midnight）
802792	Gel Lab Pro Nail Polish - Love Hangover	专业凝胶指甲油（色号：Love Hangover）
802789	Very Berry Nail Polish Set	热情夏日指甲油套装
802791	Gel Lab Pro Nail Polish - Wild Thing	专业凝胶指甲油（色号：Wild Thing）
843810	+ (RED) Gel Lab Pro Nail Polish - Cranberry Kiss	x (RED) 专业凝胶指甲油（色号：Cranberry Kiss）
802796	Her Majesty Nail Polish Set	女王陛下指甲油套装
712625	Gel Lab Pro Nail Polish - Happy Days	专业凝胶指甲油（色号：Happy Days）
802793	Gel Lab Pro Nail Polish - Smoke Gets In Your Eyes	专业凝胶指甲油（色号：Smoke Gets In Your Eyes）
712624	Gel Lab Pro Nail Polish - Splish Splash	专业凝胶指甲油（色号：Splish Splash）
712740	Gel Lab Pro Nail Polish - Get Lucky	专业凝胶指甲油（色号：Get Lucky）
712621	Gel Lab Pro Nail Polish - Beauty School Dropout	专业凝胶指甲油（色号：Beauty School Dropout）
789806	Nail Polish - All Day Sucker	指甲油（色号：All Day Sucker）
552318	Nail Polish - Between The Sheets	指甲油（色号：Between The Sheets）
712623	Gel Lab Pro Nail Polish - My Boyfriend's Back	专业凝胶指甲油（色号：My Boyfriend's Back）
897457	Marshmallow Whipped Hand & Cuticle Scrub, 57g	棉花糖润手护甲磨砂霜，57g
712618	Gel Lab Pro Nail Polish - The Pleasure Principle	专业凝胶指甲油（色号：The Pleasure Principle）
712626	Pretty in Pink Nail Polish Set	娇红俏粉指甲油套装
661885	Nail Polish - Respect	指甲油（色号：Respect）
712617	Gel Lab Pro Nail Polish - Peaches & Cream	专业凝胶指甲油（色号：Peaches & Cream）
661887	Nail Polish - Can't Be Tamed	指甲油（色号：Can't Be Tamed）
349323	Cuticle Remover	死皮软化剂
661884	Nail Polish - Miss Independent	指甲油（色号：Miss Independent）
626210	Nail Polish - Shifting Sands	指甲油（色号：Shifting Sands）
530278	Nail Polish - I'll Take Manhattan	指甲油（色号：I'll Take Manhattan）
552325	Nail Polish - Stormy Weather	指甲油（色号：Stormy Weather）
661886	Nail Polish - She Wolf	指甲油（色号：She Wolf）
552320	Nail Polish - Good Girl Gone Bad	指甲油 （色号：Good Girl Gone Bad）
626211	Nail Polish - Terra Nova	指甲油（色号：Terra Nova）
530279	Nail Polish - Lullaby Of Broadway	指甲油（色号：Lullaby of Broadway）
552317	Nail Polish - Across The Universe	指甲油（色号：Across The Universe）
661890	Gel Lab Pro	专业凝胶美甲套装
552323	Nail Polish - Naked	指甲油（色号：Naked）
712619	Undressed Nail Polish Set	花漾裸光指甲油套装
626213	Nail Polish - Love in the Dunes	指甲油（色号：Love in the Dunes）
645001	Genie In A Bottle Illuminating Nail Tone Perfector	瓶中精灵亮泽衡色饰甲油
604538	Nail Polish - Sexyback	指甲油（色号：Sexyback）
565486	Flat Top The Matte Maker Top Coat	奢华修护哑光表层油
552319	Nail Polish - Fade To Black	指甲油（色号：Fade To Black）
552324	Nail Polish - P.Y.T. (Pretty Young Thing)	指甲油（色号：P.Y.T. (Pretty Young Thing)）
418178	Call Me Irresponsible - Nail Polish, 15ml	指甲油，15ml（色号：Call Me Irresponsible）
565485	Hard Rock Top and Base Coat	奢华奥古曼硬甲油
349326	Cuticle Oil	甲缘油
552322	Nail Polish - My Old Flame	指甲油（色号：My Old Flame）
604537	Nail Polish - Chantilly Lace	指甲油（色号：Chantilly Lace）
547365	Nail Polish - Dream Weaver	指甲油（色号：Dream Weaver）
349328	Sarah Smile - Nail Polish, 15ml	指甲油，15ml （色号：Sarah Smile）
436919	Nail Polish - Inez van Lamsweerde Break 4 Love	Inez van Lamsweerde 指甲油（色号：Break 4 Love）
444963	Nail Polish - Lady Is A Tramp	指甲油（色号：Lady Is A Tramp）
789807	Nail Polish - Baby Love	指甲油（色号：Baby Love）
645002	Cuticle Lab Set	甲缘护理套装
552326	The Cure, 10ml	指甲修护霜，10ml
565484	The Stripper To Go Lavender Nail Lacquer Remover Finger Mitts x 6	性感裸甲薰衣草卸甲手指套（六包装）
604539	CC Base Coat - All About That Base	CC 指甲修饰底油（色号：All About That Base）
349324	Rejuvenating Base Coat - Turn Back Time	时间逆转修护底油
349325	SPF25 Rich Girl Anti-Aging Hand and Cuticle Cream, 85g	SPF 25 Rich Girl™ 抗衰老润手护甲霜，88ml
349327	Quick-Dry Top Coat - Addicted To Speed	Addicted To Speed 速干表层油
349333	Nail Polish - Shape of My Heart	指甲油（色号：Shape of My Heart）
