pid	English	Chinese
794541	Fragrance Collection, 10 x 7.5ml	香水套装，7.5ml x 10 瓶
794531	Drunk On Youth Eau de Parfum - Honeysuckle & Apple, 50ml	Drunk On Youth 香水，50ml（香调：金银花、苹果）
794533	Silent St. Eau de Parfum, 50ml	Silent St. 香水，50ml
794534	2am Kiss Eau de Parfum, 50ml	2am Kiss 香水，50ml
794536	Something Wild Eau de Parfum, 50ml	Something Wild 香水，50ml
794538	Afloat Eau de Parfum, 50ml 	Afloat 香水，50ml
794540	Looking Glass Eau de Parfum, 50ml	Looking Glass 香水，50ml
794537	Blackout Eau de Parfum, 50ml	Blackout 香水，50ml
794539	Rain Day Eau de Parfum, 50ml	Rain Day 香水，50ml
794532	Hi-Fi Eau de Parfum, 50ml	Hi-Fi 香水，50ml 
794535	Ellipsis Eau de Parfum, 50ml	Ellipsis 香水，50ml
794521	Drunk On Youth Eau de Parfum - Honeysuckle & Apple, 175ml	Drunk On Youth 香水，175ml（香型：金银花 & 苹果）
794523	Silent St. Eau de Parfum - White Musk, 175ml	Silent St. 香水，175ml（香型：黑麝香）
794524	2am Kiss Eau de Parfum, 175ml	2am Kiss 香水，175ml
794526	Something Wild Eau de Parfum, 175ml	Something Wild 香水，175ml
794527	Blackout Eau de Parfum, 175ml	Blackout 香水，175ml
794528	Afloat Eau de Parfum, 175ml 	Afloat 香水，175ml
794530	Looking Glass Eau de Parfum, 175ml	Looking Glass 香水，175ml
794529	Rain Day Eau de Parfum - Haitian Vetiver & Tunisian Neroli ,175ml	Rain Day 香水，175ml（香调：海地岩兰草、突尼斯橙花）
794522	Hi-Fi Eau de Parfum, 175ml	Hi-Fi 香水，175ml
794525	Ellipsis Eau de Parfum, 175ml	Ellipsis 香水，175ml
