pid	English	Chinese
535376	Extravagance Russe Eau de Parfum - Rich Ambers & Rare Resins, 50ml	Extravagance Russe 香水，50ml
535373	Perfectly Marvelous Eau de Parfum - Jasmine & Cashmere Woods, 50ml	Perfectly Marvelous 香水，50ml
596317	Smashingly Brilliant Eau de Parfum - Citrus & Bergamot Oils, 50ml 	Smashingly Brilliant 香水, 50ml（香调：柑橘精油、佛手柑精油）
535375	Absolutely Vital Eau de Parfum - Precious Woods & Rose Absolute, 50ml	Absolutely Vital 香水，50ml
535377	Simply Divine Eau de Parfum - Tuberose Flower, 50ml	Simply Divine 香水，50ml（香调：晚香玉）
626672	Daringly Different Eau de Parfum - Iris & Oud Accord, 50ml	Daringly Different 香水，50ml（香调：鸢尾花 & 乌木）
535374	Outrageously Vibrant Eau de Parfum - Cassis, Rose & Patchouli, 50ml	Outrageously Vibrant 香水，50ml
537708	Extravagance Russe Eau de Parfum - Rich Ambers & Rare Resins, 100ml	Extravagance Russe 香水，100ml
537709	Simply Divine Eau de Parfum - Tuberose Flower, 100ml	Simply Divine 香水，100ml
537707	Perfectly Marvelous Eau de Parfum - Jasmine & Cashmere Woods, 100ml	Perfectly Marvelous 香水，100ml
535381	Extravagance Russe scented candle, 275g	Extravagance Russe 香薰蜡烛，275g
