pid	English	Chinese
898728	Small gingham textured-leather wallet	方格纹理皮革小号钱包
898298	Cutout polka-dot silk crepe de chine maxi dress	挖剪波点真丝双绉超长连衣裙
898729	Medium gingham textured-leather wallet	方格纹理皮革中号钱包
898310	Polka-dot silk crepe de chine blouse	波点真丝双绉女衫
898724	Circle gingham leather pouch	Circle 方格皮革小袋
898291	Polka-dot washed-silk maxi skirt	波点水洗真丝超长半身裙
898726	Two-tone leather cosmetics case	双色皮革化妆包
851829	Printed cotton and silk-blend jumpsuit	印花棉丝混纺连身裤
898727	Gingham textured-leather pouch	方格纹理皮革小袋
929943	Striped ribbed-knit top	条纹罗纹针织上衣
929945	Striped linen-blend kimono	条纹亚麻混纺和服式罩衫
929942	Striped linen-blend pants	条纹亚麻混纺裤
898284	Floral-print silk crepe de chine maxi dress	花卉印花真丝双绉超长连衣裙
929944	Striped linen-blend wrap dress	条纹亚麻混纺裹身连衣裙
898294	One-shoulder printed silk crepe de chine maxi dress 	单肩印花真丝双绉超长连衣裙
898293	Floral-print silk halterneck jumpsuit	花卉印花真丝挂脖连身裤
898286	Crocheted lace midi dress	钩编蕾丝中长连衣裙
898282	Asymmetric wrap-effect floral-print maxi dress	不对称围裹效果花卉印花超长连衣裙
898311	Printed silk crepe de chine shirt	印花真丝双绉衬衫
898303	Celeste floral-print silk-jersey playsuit	Celeste 花卉印花真丝平纹针织连身短裤
851830	Pleated cotton and silk-blend gauze dress	褶裥棉丝混纺薄纱连衣裙
898295	Layered ribbed-knit midi dress 	分层式罗纹针织中长连衣裙  
855277	Printed silk crepe de chine wrap dress	印花真丝双绉裹身连衣裙
851827	Printed cotton and silk-blend gauze wrap dress	印花棉丝混纺薄纱裹身连衣裙
898713	Circle two-tone leather shoulder bag	Circle 双色皮革单肩包
898719	Origami gingham coated-canvas clutch	Origami 方格涂层帆布手拿包
898712	Circle gingham leather shoulder bag	Circle 方格皮革单肩包
898718	Soirée leather shoulder bag	Soirée 皮革单肩包
898715	Circle leather and suede clutch	Circle 皮革绒面革手拿包
898721	Circle mirrored and smooth leather pouch	Circle 镜面光滑皮革手袋
855283	Ruffled wrap-effect printed silk crepe de chine playsuit	荷叶边印花真丝双绉围裹效果连身短裤
851818	Color-block cotton and silk-blend maxi dress	拼色棉丝混纺超长连衣裙
855278	One-shoulder striped silk top	单肩条纹真丝上衣
855284	Grosgrain-trimmed stretch linen-blend wide-leg pants	罗缎边饰弹力亚麻混纺阔腿裤
855279	Striped stretch-knit dress	条纹弹力针织连衣裙
855285	Pleated grosgrain-trimmed linen-blend and georgette skirt	褶裥罗缎边饰亚麻混纺面料乔其纱中长半身裙
855275	Plaid belted silk-twill midi dress	配腰带方格真丝斜纹布中长连衣裙
855281	Cotton-poplin wrap top	纯棉府绸围裹式上衣
855274	Silk satin-paneled printed crepe midi dress 	丝缎拼接印花绉纱中长连衣裙
851825	Striped cotton and silk-blend wrap top	棉质真丝混纺条纹围裹式上衣
855273	Ruffled polka-dot silk crepe de chine wrap top	荷叶边波点真丝双绉围裹式上衣
851826	Striped cotton and silk-blend shorts	条纹棉质真丝混纺短裤
851814	Floral-print bandeau bikini top	花卉印花抹胸式比基尼上装
851821	Striped stretch-knit dress	条纹弹力针织连衣裙
851819	Racer-back bikini top	挖背式比基尼上装
851815	Floral-print bikini briefs	花卉印花比基尼三角裤
851824	Striped cotton and silk-blend maxi dress	条纹棉质真丝混纺超长连衣裙
851820	High-rise bikini briefs	Swim 高腰比基尼三角裤
851831	Printed halterneck swimsuit	印花挂脖泳衣
929385	Striped triangle bikini	条纹三角比基尼
855276	Satin jumpsuit	缎布连身裤
855420	Ribbed-knit peplum sweater	罗纹针织褶饰下摆毛衣
855282	Stretch linen-blend culottes	弹力亚麻混纺裙裤
848197	Origami leather clutch	Origami 皮革手拿包
855425	Jersey bodysuit 	平纹针织连体紧身衣
848198	Origami paneled leather clutch	Origami 拼接皮革手拿包
848200	Soirée mirrored-leather shoulder bag	Soirée 镜面皮革单肩包
848203	Metallic leather pouch	金属感皮革小袋
848202	Uptown suede and patent-leather clutch 	Uptown 绒面革漆皮手拿包
848195	Circle leather shoulder bag	Circle 皮革单肩包
848196	Circle smooth and patent-leather shoulder bag	Circle 光滑皮革漆皮单肩包
801032	Bullseye Mini suede-paneled leather shoulder bag 	Bullseye Mini 绒面革拼接皮革单肩包
801034	Love Power mini leather-trimmed satin bucket bag	Love Power 皮革边饰缎布迷你水桶包
801033	Love Power mini leather-trimmed satin bucket bag	Love Power 皮革边饰缎布迷你水桶包
848199	Soirée leather shoulder bag	Soirée 皮革单肩包
848201	Soirée leather shoulder bag	Soirée 皮革单肩包
801040	Set of three satin pouches	缎布小袋套装（三只装）
801041	Set of three satin pouches	缎布小袋套装（三件装）
