pid	English	Chinese
958527	Gingembre Hourglass Diffuser, 75ml	Gingembre 沙漏型扩香精，75ml
958525	Hourglass Diffuser Roses, 75ml	沙漏型扩香精，75ml
958528	34 Boulevard Saint Germain Hourglass Diffuser, 75ml	34 Boulevard Saint Germain 沙漏扩香瓶，75ml
958526	Orange Blossom Hourglass Diffuser, 75ml	橙花沙漏扩香瓶，75ml
958524	Baies Hourglass Diffuser, 75ml	Baies 沙漏扩香瓶，75ml
958523	Baies scented candle, 600g	Baies 香氛蜡烛，600g
572287	Baies scented candle, 190g	Baies 浆果香香氛蜡烛，190g
667961	Roses scented candle, 70g	玫瑰迷你香氛蜡烛，70g
895337	Eau Dominotée Multi-Use Fragrance - Rose & Patchouli, 200ml	Eau Dominotée 多用途香水，200ml（香调：玫瑰、广藿香）
667966	Feu De Bois scented candle, 1500g	Feu De Bois 香氛蜡烛，1500g
572288	Black Baies scented candle, 300g	Black Baies 黑色浆果香香氛蜡烛，300g
572462	Ambre scented candle, 190g	Ambre 琥珀香氛蜡烛，190g
572292	Baies, Roses and Figuier set of three candles, 3 x 70g	浆果香、玫瑰和无花果迷你香薰蜡烛套装，3 x 70g
608738	Roses scented candle, 190g	Roses 香氛蜡烛，190g
658538	Gardenia scented candle, 190g 	Gardenia 栀子花香氛蜡烛，300g
667962	Tubéreuse scented candle, 70g	晚香玉迷你香氛蜡烛，70g
572293	Wick trimmer and candle snuffer set	烛芯修剪器和熄灭器套装
682082	Figuier Electric Diffuser Capsule	Figuier 电子扩香器希腊无花果香氛补充包
667959	Figuier scented candle, 190g 	Figuier 香薰蜡烛，190g
645676	Baies indoor & outdoor scented candle, 1500g	Baies 浆果香大瓶装室内、户外两用香薰蜡烛，1500g
753898	Eau Des Sens Soap, 150g	Eau Des Sens 香皂，150g
658536	Jasmin scented candle, 190g 	Jasmin 茉莉香薰蜡烛，190g
667968	Ambre Room Spray, 150ml	Ambre 室内喷雾，150ml
572464	Feu de Bois scented candle, 190g	Feu De Bois 炭木香香氛蜡烛，190g
682080	Un Air de Diptyque Electric Diffuser	电子扩香器
682081	Baies Electric Diffuser Capsule	Baies 电子扩香器浆果香香氛补充包 
572635	Eau Rose Eau de Toilette Roll-On - Bergamot, Lychee, Rose, Cedar & Musks, 20ml	Eau Rose 滚珠香氛油，20ml（香调：佛手柑、荔枝、玫瑰、雪松和麝香）
610707	Multi-Use Exfoliating Clay, 100ml	双效去角质石洁面膜，100ml
610710	Nourishing Cleansing Balm, 100g	深层卸妆膏，100g
667960	Green Figuier scented candle, 300g 	Green Figuier 香薰蜡烛，300g
658535	Mimosa scented candle, 190g 	Mimosa 含羞草香氛蜡烛，190g
753900	Olène Eau de Toilette - Wisteria, Narcissus, Jasmine & Honeysuckle, 50ml	Olène 奥利恩淡香水，50ml（香调：紫藤、水仙、茉莉和忍冬）
658541	Feu De Bois scented candle, 300g 	Feu De Bois 香氛蜡烛，300g
753901	Fleur D' Oranger Room Spray, 150ml	Fleur D' Oranger 室内喷雾，150ml
610705	Florabellio Eau de Toilette - Apple Blossom, Marine Accord & Coffee, 50ml		Florabellio 淡香水，50ml（香调：苹果花、清新海洋和咖啡）
895338	Eau Rose Eau de Toilette, 100ml	Eau Rose 淡香水，100ml
895339	Eau Rose Eau de Toilette Roll-On, 20ml	Eau Rose 滚珠香氛油，20ml
895341	Eau Rose Solid Perfume - Bergamot, Lychee, Rose, Cedar & Musks, 3.6g	Eau Rose 香膏，3.6g（香调：佛手柑、荔枝、玫瑰、雪松、麝香）
667963	Figuier scented candle, 70g	Figuier 香氛蜡烛，70g
572299	Philosykos Solid Perfume - Fig Leaf, Fruit & Wood, 3.6g	Philosykos 希腊无花果香调香膏，3.6g（香调：无花果叶、果香和木香）
658542	Ambre scented candle, 300g 	Ambre 香氛蜡烛，300g
572463	Tubéreuse scented candle, 190g	Tubéreuse 香氛蜡烛，190g
753897	Eau des Sens Eau de Toilette - Orange Blossom, Juniper Berries & Patchouli, 50ml	Eau des Sens 感官之水淡香精，50ml（香调：橙花、杜松子和广藿香）
667964	Figuier Room Spray, 150ml	Figuier 室内喷雾，150ml
572461	The Art of Body Care Travel Kit	“身体保养艺术”旅行套装

667965	Figuier scented candle, 1500g 	Figuier 香氛蜡烛，1500g
572296	L'Ombre Dans L'Eau Solid Perfume - Blackcurrant & Damask Rose, 3.6g	'Ombre Dans L'Eau 影中之水香膏，3.6g（香调：黑醋栗叶和大马士革玫瑰）
610704	Florabellio Eau de Toilette - Apple Blossom, Marine Accord & Coffee, 100ml	Florabellio 淡香水，100ml（香调：苹果花、清新海洋和咖啡）
610708	Protective Moisturizing Lotion SPF15, 50ml	防护滋润乳液 SPF15，50ml
658539	Red Tubéreuse scented candle, 300g 	Red Tubéreuse 红色晚香玉香氛蜡烛，300g
572457	Eau Plurielle Multi-use Fragrance - Rose & Ivory, 200ml	Eau Plurielle 多用途香水，200ml（香型：玫瑰和常春藤）
572289	Baies scented candle, 70g	Baies 浆果香迷你香氛蜡烛，70g
658540	Tubéreuse scented candle, 1500g 	Tubéreuse 晚玉香大号香氛蜡烛，1500g
572297	L'Ombre Dans L'Eau Perfumed Oil Roll-On - Blackcurrant & Damask Rose, 7.5ml	L'Ombre Dans L'Eau 影中之水滚珠式香氛油，7.5ml（香型：黑醋栗叶和大马士革玫瑰）
572295	L'Ombre Dans L'Eau Eau de Parfum - Blackcurrant & Damask Rose, 75ml	L'Ombre Dans L'Eau 影中之水淡香精，75ml（香调：黑醋栗叶和大马士革玫瑰）
610706	Radiance Boosting Powder, 40g	纯净亮肌洁面粉，40g
572298	Philosykos Eau de Parfum - Fig Leaf, Fruit & Wood, 75ml	Philosykos 希腊无花果香浓香水，75ml（香调：无花果叶、果香和木香）
608742	Perfumed Oil Roll-On Set - L'Ombre Dans L'Eau & Do Son, 2 x 7.5ml	L'Ombre Dans L'Eau & Do Son 滚珠香氛油两件套，2 x 7.5ml
572300	Philosykos Perfumed Oil Roll-On - Fig Leaf, Fruit & Wood, 7.5ml	Philosykos 希腊无花果香型滚珠式香氛油，7.5ml（香调：无花果叶、果香和木香）
753899	Do Son Eau de Toilette - Tuberose, Orange Leaves, Pink Peppercorns & Musk, 50ml	Do Son 杜桑淡香水，50ml（香调：晚香玉、橙叶、粉红胡椒和麝香）
667969	Precious Oils for Body and Bath, 125ml	润肤油，125ml
610709	Infused Facial Water, 150ml	多效融合化妆水， 150ml
572291	Baies Room Spray, 150ml	Baies 室内喷雾，150ml
