pid	English	Chinese
339494	Pure Vitamin C Powder Cream, 5 x 1.95g	精纯维他命 C 粉霜，5 x 1.95g
448559	Supreme Eye Serum, 15ml	无龄极致眼部精华，15ml
842335	Rose de Vie Hydrating Mask, 100ml	玫瑰特效水嫩面膜，100ml
604911	Serum Repair, 20ml	高效保湿除纹精华，20ml
365352	Deep Exfoliating Mask, 50ml	深层去角质面膜，50ml
842336	Rose de Vie Cream Cleanser, 100ml	玫瑰特效洁面霜
842337	Gold Christmas Box	金色圣诞套装
760028	Supreme Day Cream, 50ml	超凡抗老日霜，50ml
339489	Breakout Cream & Antibacterial Powder,  5 x 1.95g + 50ml	祛痘霜和抗菌粉，- 5 x 1.95g + 50ml
339492	Luminous Glow Cream Complexion Perfector, 50ml	极致光灿精华亮泽霜，50ml
608456	Supreme Body Restructuring & Firming Cream, 200ml	臻颜极致重塑紧致身体乳，200ml
604908	Eye Primer Lift, 15ml	眼部紧致打底霜，15ml
410818	Breakout Foaming Cleanser, 100ml	净肤光洁颜慕丝，100ml

644992	Deep Exfoliating Mask Sensitive Skin, 50ml	微整形焕肤面膜（适合敏感肤质)，50ml
604909	Foaming Cleanser, 150ml 	洁颜慕丝，150ml
365354	Rose de Vie - Sérum Délicat, 30ml	玫瑰特效活妍精露，30ml
604910	High Maintenance Cream, 50ml	微整型速效保养面霜，50ml
448560	Skin Perfecting Mask, 150ml	微整形磁化面膜，150ml
604907	Extreme Maintenance Cream, 50ml	微整型速效保养面霜，50ml
604912	Instant V Lift, 30ml	V 字区速效紧肤精华，30ml
339495	Supreme Maintenance Youth Serum, 60ml	臻颜极致精萃， 60ml
365353	Supréme Night Secret Cream, 50ml	超凡面颈部晚霜，50ml
507374	Signature Serum, 30ml	极钻赋活能量精萃精华，30ml
339493	Natural Replenishing Cream, 50ml	天然柔润保湿霜，50ml
459328	Platinum Gold Elixir, 4 x 10ml	铂金胶肽奇肌安瓶，4 x 10ml
339490	Breakout Spot-On, 15ml	粉刺针对护理露
