pid	English	Chinese
956994	Quad Royale Palette - Monte Carlo 02	皇室四色眼颊彩妆盘（色号：Monte Carlo 02）
956995	Quad Royale Palette - Summer in Capri 03	皇室四色眼颊彩妆盘（色号：Summer in Capri 03）
956993	Quad Royale Palette - South of France 01	皇室四色眼颊彩妆盘（色号：South of France 01）
875336	Meta Powder	美颜蜜粉
875334	Natural Enhancing Eyeshadow Palette - Sunlit Sands	天然润色眼影彩盘（色号：Sunlit Sands）
875335	Perfect Line Everytime Eyeliner - Deep Truffle	完美无瑕眼线笔（色号：Deep Truffle）
908649	Ultra Slick Lipstick - Endless Dream	极致润滑唇膏（色号：Endless Dream）
908650	Ultra Slick Lipstick - Midnight Bloom	极致润滑唇膏（色号：Midnight Bloom）
908648	Ultra Slick Lipstick - Blushed Orchid	极致润滑唇膏（色号：Blushed Orchid）
779131	Ultra Slick Lipstick - Demi Buff	极致润滑唇膏（色号：Demi Buff）
823624	Big Wow Full Brow Pomade - Light Taupe	眉力十足眉蜡（色号：Light Taupe）
823625	Big Wow Full Brow Pomade - Medium Taupe	眉力十足眉蜡（色号：Medium Taupe）
908647	La Femme Bohème Eau de Parfum - Amber, Honey & Jasmine Absolute, 100ml	La Femme Bohème 香水，100ml（香调：琥珀、蜂蜜、茉莉原精）
908645	Genre Eau de Parfum - Frankincense, Leather & Suede, 100ml	Genre 香水，100ml（香调：乳香、皮革、绒面革）
823626	Big Wow Full Brow Pomade - Rich Deep	眉力十足眉蜡（色号：Rich Deep）
908646	Spanish Veil Eau de Parfum - Sandalwood, Tonka Bean & Guaiac Wood, 100ml	Spanish Veil 香水，100ml（香调：檀香、零陵香豆、愈创木）
823627	Perfect Line Everytime Eyeliner - Deep Black	完美无瑕眼线笔（色号：Deep Black）
785015	Black Sea Precious Pearl Perfector, 47ml	黑海名贵珍珠多功能修护面霜，47ml
779139	Fully Defined Brow Duo - Rich	完美塑型双头眉笔（色号：Rich）
823628	Wish Granted Magic In A Bottle Mascara - Onyx	美梦成真魔法睫毛膏（色号：Onyx）
823629	Magic Powder	奇迹蜜粉
779138	Fully Defined Brow Duo - Neutral	完美塑型双头眉笔（色号：Neutral）
779123	Defining Lip Liner - Natural	立体唇线笔（色号：Natural）
823631	Dual Ended Brow Brush	双头眉刷
779122	Deep Shine Lip Gloss - Nude Satin	高亮唇彩（色号：Nude Satin）
779120	Deep Shine Lip Gloss - Amor	高亮唇彩（色号：Amor）
779134	Bess-Lash Mascara - Deep Black	经典睫毛膏（色号：Deep Black）
779130	Glossy Rouge - Candid Rose	光彩唇颊两用润色膏（色号：Candid Rose）
779132	Ultra Slick Lipstick - Tender Love	极致润滑唇膏（色号：Tender Love）
823630	Natural Enhancing Eyeshadow Palette - Earth Tones	天然润色眼影彩盘（色号：Earth Tones）
779143	All Over Seduction - Paradise	八面玲珑高光粉（色号：Paradise）
779146	Hair Hero Infinite Style Cream, 200ml	无边无忌护发造型乳，200ml
779135	Defining Eyeliner - Deep Black	浓郁眼线笔（色号：Deep Black）
779124	Defining Lip Liner - Barely	立体唇线笔（色号：Barely）
779141	All Over Seduction - Sunlight	八面玲珑高光粉（色号：Sunlight）
779121	Deep Shine Lip Gloss - Lover's Desire	高亮唇彩（色号：Lover's Desire）
785013	Threads of Silk Multi-Use Powder - Bellissima	丝纤维多用粉饼（色号：Bellissima）
785014	Threads of Silk Multi-Use Powder - Ciao	丝纤维多用粉饼（色号：Ciao）
779149	Black Sea® Extreme Cover Cream - Tan	黑海超凡遮瑕膏（色号：Tan）
779142	All Over Seduction - Afterglow	八面玲珑高光粉（色号：Afterglow）
779147	Black Sea® Extreme Cover Cream - Light	黑海超凡遮瑕膏（色号：Light）
779148	Black Sea® Extreme Cover Cream - Medium	黑海超凡遮瑕膏（色号：Medium）
779133	Ultra Slick Lipstick - Rose Demure	极致润滑唇膏（色号：Rose Demure）
779129	Glossy Rouge - Naked Rose	光彩唇颊两用润色膏（色号：Naked Rose）
779136	Defining Eyeliner - Deep Brown	浓郁眼线笔（色号：Deep Brown）
