pid	English	Chinese
669370	SUPERSTART Skin Renewal Booster, 30ml	超级焕颜新生醒肤露，30ml
433117	Eight Hour® Cream Intensive Lip Repair Balm, 11.6ml	8 小时经典润泽密集修护唇霜，11.6ml
906083	Advanced Ceramide Capsules Daily Youth Restoring Serum (90 capsules)	金致胶囊精华液（90 粒装）
722481	Eight Hour® Cream All-Over Miracle Oil, 100ml 	8 小时轻感平衡油，100ml
722480	Eight Hour® Cream Lip Protectant Stick SPF15	8 小时经典润泽唇膏 SPF15
820048	PREVAGE® City Smart SPF50 Hydrating Shield, 40ml	铂粹御肤城市智能保湿防晒乳 SPF50，40ml
417420	Eight Hour® Cream Skin Protectant The Original, 50ml	8 小时经典润泽霜，50ml
777018	Skin Illuminating Retexturizing Pads - 50 Pads	光采亮颜净肤棉（50 片装）
433118	Eight Hour® Cream Skin Protectant Fragrance Free, 50g	8 小时经典润泽霜，50g（无香型）
777019	Grand Entrance Dramatic Volume Mascara	华美丰盈睫毛膏
722482	Eight Hour® Cream Intensive Moisturizing Hand Treatment, 75ml	8 小时经典润泽手部护肤霜，75ml
417428	Eight Hour® Cream Lip Protectant Stick Sheer Tint SPF15 - Blush	8 小时润唇膏 SPF15（色号：Blush）
417422	PREVAGE® Anti-Aging Daily Serum, 50ml	铂粹御肤精华露，50ml
417427	Eight Hour® Cream Lip Protectant Stick Sheer Tint SPF15 - Plum	8 小时润唇膏 SPF15（色号：Plum）
433116	Eight Hour® Cream Lip Protectant - Honey	8 小时护唇膏（色号：Honey）
417424	PREVAGE® Anti-Aging Overnight Cream, 50ml	铂粹御肤滋养晚霜，50ml
417421	PREVAGE® Clinical Lash + Brow Enhancing Serum, 4ml	铂粹御肤睫毛眉毛强效精华液，4ml
417419	PREVAGE® Anti-Aging + Intensive Repair Daily Serum, 30ml	铂粹御肤奢养精华液，30ml
