pid	English	Chinese
922020	Creamy Lips - L109 Pale Coffee	霜状唇彩（色号：L109 Pale Coffee）
922018	Creamy Lips - L106 Rusty Pink	霜状唇彩（色号：L106 Rusty Pink）
922019	Creamy Lips - L107 Chocolate Caramel	霜状唇彩（色号：L107 Chocolate Caramel）
922017	Creamy Lips - L105 Hazelnut	霜状唇彩（色号：L105 Hazelnut）
922016	Creamy Lips - L103 Bright Red	霜状唇彩（色号：L103 Bright Red）
848194	Festive Makeup Set	节庆彩妆套装
554745	Lights - E303 Bronze	闪亮高光眼影（色号：E303 Bronze）
554750	Milky Lips - L208 Soft Peach	柔润唇彩（色号：L208 Soft Peach）
554754	Glow Up - S503 Deep Glow	亮采粉（色号：503 Deep Glow）
554753	Glow Up - S502 Satin Glow	亮采粉（色号：S502 Satin Glow）
459318	Blush S302 - Fresh Coral	腮红（色号：S302 - Fresh Coral）
554744	Glazed Lips - L303 Sheer Berry	亮彩唇蜜（色号：L303 Sheer Berry)
554751	Glazed Lips - L308 Sheer Soft Pink	亮彩唇蜜（色号：L308 Sheer Soft Pink）
459317	Blush S301 - Warm Dusty Pink	腮红（色号：S301 - Warm Dusty Pink）
554748	Milky Lips - L203 Plum	乳状唇蜜（色号：L203 Plum）
500390	Essential Set Of Three Lip Colors	夏季唇膏唇蜜套装（3 件套）
554747	Creamy Lips - L102 Deep Plum Wine	柔滑唇彩（色号：L102 Plum Wine）
554746	Eyeliner E501 - Black	眼线笔（色号：E501 - Black）
459323	Concealer - S205 Medium/Tan, 2.8ml	遮瑕乳，2.8ml（色号：S205 Medium/Tan）
459324	Concealer - S206 Tan, 2.5ml	遮瑕乳，2.5ml（色号：S206 Tan）
430051	Hot Lips L405 - Bright Coral	浓情绚彩唇膏（色号：L405，Bright Coral）
430053	Hot Lips L407 - Deep Pink	浓情绚彩唇膏（色号：L407，Deep Pink）
348925	Creamy Lips - L108 Pale Peach	霜状唇彩（色号：L108 Pale Peach）
554752	Glow Up - S501 Porcelain Glow	亮采粉（色号：S501 Porcelain Glow）
600129	Natural Glow Kit 	自然红润套装
554743	Ellis Red Set	Ellis Red 唇彩唇膏唇蜜 3 件套
554749	Milky Lips - L207 Nude Pink	乳状唇蜜（色号：L207 Nude Pink）
430050	Hot Lips L404 - Fluorescent Pink	浓情绚彩唇膏（色号：L404，Fluorescent Pink）
459325	Concealer S207- Medium/Dark, 2.5ml	遮瑕乳，2.5ml（色号：S207- Medium/Dark）
348926	Creamy Lips - L104 Deep Fuchsia	霜状唇彩（色号：L104 Deep Fuchsia）
430049	Hot Lips L403 - Bright Fuchsia	浓情绚彩唇膏（色号：L403，Bright Fuchsia）
459326	Concealer - S208 Dark, 2.5ml	遮瑕乳，2.5ml（色号：S208 Dark）
419023	Skin Veil Foundation Pen - S108 Dark, 2 x 7ml	裸肤柔纱笔刷式粉底液，2 x 7ml（色号：S108 Dark）
430052	Hot Lips L406 - Rose Violet	浓情绚彩唇膏（色号：L406，Rose Violet）
430055	Hot Lips L409 - Pink Nude	浓情绚彩唇膏（色号：L409，Pink Nude）
459319	Concealer - S201 Light/Fair, 2.5ml	遮瑕乳，2.5ml（色号：S201 Light/Fair）
348927	Creamy Eyes - E104 Gray-Brown	霜状眼影（色号：E104 Gray-Brown）
348929	Creamy Eyes - E107 Taupe	霜状眼影（色号：E107 Taupe）
430054	Hot Lips L408 - Baby Pink	浓情绚彩唇膏（色号：L408，Baby Pink）
419022	Skin Veil Foundation Pen - S107 Medium/Dark, 2 x 7ml	裸肤柔纱笔刷式粉底液，2 x 7ml（色号：S107 Medium/Dark）
403450	Mascara E401 - Black	睫毛膏（色号：E401 - Black）
348924	Creamy Lips - L101 Ellis Red	霜状唇彩（色号：L101 Ellis Red）
348928	Creamy Eyes - E105 Deep Warm Taupe	霜状眼影（色号：E105 Deep Warm Taupe）
419021	Skin Veil Foundation Pen - S106Tan, 2 x 7ml	裸肤柔纱笔刷式粉底液，2 x 7ml（色号：S106LTan）
419016	Skin Veil Foundation Pen - S101 Light/Fair, 2 x 7ml	裸肤柔纱笔刷式粉底液，2 x 7ml（色号：S101 Light/Fair）
403515	Skin Veil - S106L Tan, 30ml	裸肤柔纱粉底液，30ml（色号：S106L Tan）
