pid	English	Chinese
973060	White Marble Bright Face Powder Mask x4	汉白玉亮颜粉状面膜（4 袋装）
973059	Firmarine Lift Face Mask x 4	超肌弹紧肤面膜（4 片装）
847852	Detoxifying Cleansing Oil, 195ml	超肌净洁颜油，195ml
906559	Detoxifying Double Cleanse Travel Set	净颜双星旅行套装
847853	The Jetsetter kit	旅行套装
829917	Detoxifying Hydrogel Mask x 4	超肌净竹炭果冻面膜（4 片装）
829915	Hydrogel Mask x 3	超肌能果冻面膜（3 片装）
829918	Firmarine™ Hydrogel Mask x 4	Firmarine™ 超肌弹海藻果冻面膜（4 片装）
829916	Sensitive Hydrogel Mask x 4	超肌润玫瑰果冻面膜（4 片装）
418114	Hydra-Therapy Skin Vitality Mask, 4 x 37ml, 4 x 5.5g	水疗冰白面膜，4 x 37ml，4 x 5.5g
719471	White Marble Sheet Masks x 6	汉白玉透白面膜（ 6 片装）
719472	White Marble Translucence Cream, 50ml	汉白玉肌透光白乳霜，50ml
671150	Transphuse Rapid Renewal Cell Protocol, 15ml	逆时光密集璀璨精华素，15ml
560127	Transphuse Rapid Renewal Cell Protocol, 4 x 15ml	逆时光密集璀璨精华素套装，4 x 15ml
477461	Phelityl Cleansing Bar, 150g	活力润泽洁面皂，150g
560126	Phelityl Day Lotion SPF15, 90ml	 PH 平衡水柔防护乳，SPF15，90ml
583423	Hydra-Therapy Memory Sleep Mask, 40ml	水疗记忆睡眠面膜，40ml
671149	Hydra-Therapy Refresh Infusion, 30ml	水疗保湿修复精华，30ml
391194	Phormula 3-9 Repair Cream, 50ml	奢华巨星完美修护赋活霜，50ml

671148	Luminous Dual Phase Vitamin C Peel	维 C 焕肤套装
418116	Sea Mud Deep Cleansing Bar, 100g	逆龄奇迹死海矿泥皂，100g

477460	Phormula 3-9 Eye Repair, 15ml	奢华巨星完美修护眼霜，15ml
391192	Phormula 3-9 Balm, 50ml	奢华巨星完美修护全能乳霜，50ml

560129	White Marble Radiance Emulsion, 30ml	汉白玉亮采焕肤乳, 30ml
560125	Hydraphel Skin Supplement, 200ml	极效保湿精粹露，200ml
560124	Light Controlling Lotion, 200ml	全效轻柔爽肤水，200ml
585426	Ritual Starter Kit	新起点活肌护肤套装
418115	Phelityl Pre-Cleansing Oil, 171g	PH 平衡前导洁颜精露，171g

391193	Phormula 3-9 Repair Serum, 30ml	奢华巨星完美修护赋活精华，30ml

