pid	English	Chinese
949644	Molecule 04 - Javanol, 30ml	Molecule 04 香水，30ml（香调：Javanol）
949643	Escentric 04 - Javanol, Orris & Polysantol, 30ml	Escentric 04 香水，30ml（香调：爪哇檀香、鸢尾草、聚檀香醇）
645757	Molecule 01 - Iso E Super, 100ml	Molecule 01 香水，100ml（香调：Iso E Super）
645758	Escentric 01 - Iso E Super & Pink Pepper, 100ml	Escentric 01 香氛，100ml（香调： 龙涎酮、红胡椒）
578284	Molecule 03 - Vetiveryl Acetate, 30ml	Molecule 03 香水，30ml
578285	Escentric 01 Body Wash, 200ml	Escentric 01 沐浴露，200ml
578280	Molecule 01 - Iso E Super, 30ml	Molecule 01 香氛，30ml
578283	Escentric 03 - Vetiveryl Acetate, Mexican Lime & Ginger, 30ml	Escentric 03 香水，30ml （香调：乙酸香根酯、墨西哥酸橙和生姜）
578279	Escentric 01 - Iso E Super & Pink Pepper, 30ml	Escentric 01 香氛，30ml
686757	Molecule 03 - Vetiveryl Acetate, 100ml	Molecule 03 淡香水，100ml（香调：Vetiveryl Acetate）
686756	Escentric 02 - Ambroxan, Orris & Hedione, 100ml	Escentric 02 香氛，100ml（香调：龙涎香醚、鸢尾草和希蒂莺）
686755	Molecule 02 - Ambroxan, 100ml 	Molecule 02 香水，100ml（香调：降龙涎香醚）
578282	Molecule 02 - Ambroxan, 30ml	Molecule 02 香水，30ml
578287	Escentric 03 Body Wash, 200ml	Escentric 03 沐浴露，200ml
686758	Escentric 03 - Vetiveryl Acetate, Mexican Lime & Ginger, 100ml	Escentric 03 香水，100ml （香调：乙酸岩兰草酯、墨西哥酸橙和生姜）
578286	Escentric 02 Body Wash, 200ml	Escentric 02 沐浴露，200ml
578281	Escentric 02 - Ambroxan, Orris & Hedione, 30ml	Escentric 02 香氛，30ml
