pid	English	Chinese
891562	Time Retreat Hand Treatment, 50ml	岁月无痕护手霜，50ml
905729	SPF50 Daily Protection, 50ml	防晒霜 SPF50，50ml
891561	Time Retreat Eye Treatment, 15ml	时光逆转眼部护理霜，15ml
448840	Kiss Mix, 7ml	护唇膏，7ml
853716	Brightening Mask, 4 x 26g	亮白面膜，4 x 26g
891560	Time Retreat Face Treatment, 50ml	时光逆转面部护理霜，50ml
671659	Set of three muslin cloths	玛姿林棉布（三片装）
424623	Cleanser, 200ml	洁面霜，200ml
424620	Rescue Mask, 50ml	急救面膜，50ml
722134	Cleanser, 50ml 	经典洁颜霜，50ml
424622	Cleanser, 100ml	经典洁面霜，100ml
448843	Morning Time Cleanser, 125ml	晨间洁面乳，125ml
722132	Advanced Brightening Serum, 30ml	赋活亮肤精华，30ml
780427	Rescue Oil Free Moisturizer, 50ml	油光克星急救保湿乳，50ml
448841	Dynaspot Treatment, 10ml	茶树暗疮膏，10ml
671657	Eye Cream, 20ml	眼霜，20ml
671658	Intense Hydration Serum, 30ml	全能保湿修护精华，30ml
424621	TLC Cream, 50ml	全效修护面霜，50ml
606221	Brightening Cream, 50ml	亮白乳霜，50ml
