pid	English	Chinese
579676	Nail Polish - Ariel	指甲油（色号：Maggie）
579675	CC Base Coat 	“CC
579662	Nail Polish - Berry Naughty	指甲油（色号：Berry Naughty）
579671	Anti-Age Nail Polish	抗衰老指甲油
579667	Nail Polish - Gigi Roux	指甲油（色号：Gigi Roux）
789117	The Perfect Mani-Pedi Set	至臻美甲套装
579668	Nail Polish - Bella Vita	指甲油（色号：Bella Vita）
579661	Nail Polish - Kiss Me Quick	指甲油（色号：Kiss Me Quick）
579660	Nail Polish - Nouveau Riche	指甲油（色号：Nouveau Riche）
579669	Nail Polish - Skyler	指甲油（色号：Skyler）
650267	Nail Polish - Sahara	指甲油（色号：Sahara）
579659	Nail Polish - Nudist	指甲油（色号：Nudist）
579663	Nail Polish - Life's A Peach	指甲油（色号：Life's A Peach）
650265	Aqua Nail Exfoliation Scrub, 20ml	清润指甲磨砂膏，20ml
