pid	English	Chinese
820520	Mini Eye Wardrobe	睫毛膏迷你套装
820516	+ David Downton Set	x David Downton 眼妆组合
893809	Lash Alert Mascara	长睫警报睫毛膏
903564	Black Magic Mascara - Midnight Blue	炫黑魔法睫毛膏（色号：Midnight Blue）
885372	Mascara Off Eye Makeup Remover Wipes x 10	眼部卸妆湿巾（10 片装）
459588	+ Alexa Chung Eye Do Mascara - Carbon Black	+ Alexa Chung 合作系列魅眸睫毛膏（色号：Carbon Black）
710381	Brow Magic Brow Boost - Dark	神奇魔法浓密眉膏（色号：Dark）
600125	Skinny Liquid Eyeliner - Black	纤巧液体眼线笔（色号：Black）
676828	+ Alexa Chung Me and My Shadow Liner - Quartz	x Alexa Chung 合作系列眼影眼线笔（色号：Quartz）
493292	Tinted Brow Gel	润色眉胶
600124	Rock Out & Lash Out Mascara - Beatnik Black	摇滚炫魅睫毛膏，色号：(Beatnik Black)
459589	+ Alexa Chung Eye Do Liquid Eyeliner - Carbon Black	x Alexa Chung 魅眸眼线液（色号：Carbon Black）
676829	+ Alexa Chung Me and My Shadow Liner - Topaz	x Alexa Chung 合作系列眼影眼线笔（色号：Topaz）
600127	Fat Liquid Eyeliner - Black	粗头液体眼线笔（色号：Black）
459585	Black Magic Mascara - Black	炫黑魔法睫毛膏（色号：Black）
676827	Sport Waterproof Eyeliner - Black	运动防水眼线笔（色号：Black）
477573	Black Velvet Eyelash Curler	黑色天鹅绒睫毛夹
600123	Fat Brush Mascara - Black	浓密刷头睫毛膏（色号：Black）
723035	Eyeko Brow Liner - Medium to Dark	液体眉笔（色号：Medium to Dark）
723036	Black Magic Liquid Eyeliner	炫黑魔法液体眼线笔
676830	+ Alexa Chung Me and My Shadow Liner - Chocolate	x Alexa Chung 眼影眼线笔（色号：Chocolate）
508848	+ Alexa Chung Me and My Shadow Liner - Taupe	+ Alexa Chung 眼影眼线笔（色号：Taupe）
676831	+ Alexa Chung Me and My Shadow Liner - Bronze	x Alexa Chung 合作系列眼影眼线笔（色号：Bronze）
508850	Sport Waterproof Mascara - Black	运动防水睫毛膏（色号：Black）
723034	Eyeko Brow Liner - Light to Medium	液体眉笔（色号：Light to Medium）
459584	Skinny Brush Mascara - Black	纤巧刷头睫毛膏（色号：Black）
676826	Black Magic Lash Boost Brush-On Extensions	炫黑魔法睫毛丰盈纤长膏
