pid	English	Chinese
760428	IRIS™ Eye Massager - Magenta	IRIS™ 艾丽丝™ 眼部按摩仪（色号：Magenta）
827419	LUNA Mini 2 - Sunflower Yellow	LUNA 露娜 Mini 2 净透洁面仪（色号：Sunflower Yellow）
827417	LUNA™ 2 Cleansing System for Sensitive Skin - Lavender	LUNA™ 露娜™ 2 敏感性肌肤洁面仪（色号：Lavender）
958193	LUNA Play - Fuchsia	LUNA Play 玩趣洁面仪 - 玫粉色
958191	Luna 2 Cleansing System for Normal Skin - Pink	Luna 2 中性肌肤洁面仪（色号：Pink）
827418	LUNA™ 2 Cleansing System for Combination Skin - Light-Blue	LUNA™ 露娜™ 2 混合性肌肤洁面仪（色号：Light-Blue）
839959	Foreo Cleansing Discovery Must-Haves set	清洁必备探索套装
691863	Day Cleanser, 100ml	日用洁面乳，100ml
691864	Night Cleanser, 100ml	夜用洁面啫喱，100ml
691867	ISSA™ Hybrid Electric Toothbrush - Mint	ISSA™ 逸萨™ 混合型智能电动硅胶牙刷（色号：Mint）
691866	ISSA™ Hybrid Electric Toothbrush - Lavender 	ISSA™ 逸萨™ 混合型智能电动硅胶牙刷（色号：Lavender）
662871	ISSA™ Replacement Brush Head - Mint	ISSA™ 逸萨™ 电动牙刷替换刷头（色号：Mint）
662873	ISSA™ Replacement Brush Head - Cool Black	ISSA™ 逸萨™ 电动牙刷替换刷头（色号：Cool Black）
662870	ISSA™ Replacement Brush Head - Lavender	ISSA™ 逸萨™ 电动牙刷替换刷头（色号：Lavender）
691861	ISSA™ Mini Hybrid Replacement Brush Head - Mango Tango	ISSA™ 逸萨™ 迷你混合型电动牙刷替换刷头（色号：Mango Tango）
691855	ISSA™ Hybrid Replacement Brush Head - Mint	ISSA™ 逸萨™ 混合型电动牙刷替换刷头（色号：Mint）
691857	ISSA™ Hybrid Replacement Brush Head - Cool Black	ISSA™ 逸萨™ 混合型电动牙刷替换刷头（色号：Cool Black）
839961	Pamper Yourself Beauty Essentials	宠爱自己美妆必备套装
839960	Foreo Cleansing Discovery Must-Haves set	清洁必备探索套装
760429	LUNA™ Mini 2 - Midnight	LUNA™ 二代迷你净透洁面仪（色号：Midnight）
