pid	English	Chinese
931103	Foglie scented candle, 300g	Foglie 香薰蜡烛, 300g
931102	Fior Di Lina scented candle, 300g	Fior Di Lina 香薰蜡烛，300g
831904	Ordine Architettonico set of three candles, 3 x 300g	Ordine Architettonico 香薰蜡烛三件套，3 x 300g
831898	Armatura scented candle, 300g	Armatura 香薰蜡烛，300g
831902	L'Eclaireuse scented candle, 300g	L'Eclaireuse 香薰蜡烛，300g
483402	Scimmie scented candle, 300g	Scimmie 香薰蜡烛，300g
818240	Silenzio thyme, lavender and orris scented candle	Silenzio 百里香、薰衣草和鸢尾花香薰蜡烛
818236	Flora scented candle, 300g	Flora 香薰蜡烛，300g
759688	Flora Diffusing Sphere Refill 	Flora 香氛球补充装
477364	Ortensia scented candle, 300g	Ortensia 香薰蜡烛，300g
831900	Golden Burlesque scented candle, 300g	Golden Burlesque 香薰蜡烛，300g
818242	Ortensia scented candle, 1.9kg	绣球玫瑰香薰蜡烛，1.9kg
551660	Burlesque scented candle, 300g	Burlesque 香薰蜡烛，300g
759687	Ortensia Incense Tray	Ortensia 焚香盘
664796	R.I.P scented candle, 300g	R.I.P 香薰蜡烛，300g
818238	Sol di Capri scented candle, 300g	Sol di Capri 香薰蜡烛，300g
590955	Fior Di Bacio scented candle, 300g	Fior Di Bacio 香薰蜡烛，300g
664795	Architettura Thyme, Lavender and Cedarwood scented candle, 300g	Architettura 百里香、薰衣草和雪松香薰蜡烛, 300g
759692	Sardine Rosso Diffusing Sphere	Sardine Rosso 香氛球
722993	Flora scented candle, 300g	Flora 香薰蜡烛，300g
759690	Otto Diffusing Sphere Refill	Otto 香氛球补充装
664792	Flora Diffusing Sphere	Flora 香氛球
664794	Labbra scented candle, 300g	Labbra 百里香、薰衣草、鸢尾花和雪松香薰蜡烛，300g
664793	Bacio scented candle, 300g	Bacio 香薰蜡烛，300g
634470	Losanghe scented candle, 300g	Losanghe 香薰蜡烛，300g

664791	La Chiave Nero Diffusing Sphere	La Chiave Nero 香氛球
634471	La Femme Aux Moustaches scented candle, 300g	La Femme Aux Moustaches 香薰蜡烛，300g
551659	L'Ape scented candle, 300g	L'Ape 香薰蜡烛，300g
664789	Scimmie Thyme, Lavender and Cedarwood scented candle, 1.9kg	Scimmie 百里香、薰衣草、雪松香薰蜡烛，1.9kg
664790	Burlesque scented candle, 1.9kg	Burlesque 百里香、薰衣草和雪松香薰蜡烛
551661	Sun and Moon scented candle, 300g	Sun and Moon 香薰蜡烛，300g
634469	Sardine scented candle, 300g	Sardine 香薰蜡烛，300g
590954	Malachite scented candle, 300g	Malachite 香薰蜡烛，300g
