pid	English	Chinese
949660	Carnal Flower Hair Mist, 100ml	欲望之花秀发喷雾，100ml
857666	Cafe Society scented candle, 220g	Cafe Society 香薰蜡烛, 220g
857667	Jurassic Flower scented candle, 220g	Jurassic Flower 香薰蜡烛, 220g
767360	Travel Spray Case - Black	旅行香水盒（黑色）
857668	Portrait of a Lady Shower Cream, 200ml	Portrait of a Lady 沐浴乳，200ml
767356	Magnolia Eau de Toilette - Magnolia Grandiflora & Haitian Vetiver, 10ml	Magnolia 淡香水，10ml（香调：荷花玉兰、海地岩兰草）
857669	Portrait of a Lady Hair and Body Oil, 200ml	Portrait of a Lady 护发美肤精油，200ml
857665	1er Mai scented candle, 220g	1er Mai 香薰蜡烛，220g
767354	Magnolia Eau de Toilette - Magnolia Grandiflora & Haitian Vetiver, 50ml	Magnollia 淡香水，50ml（香调：荷花玉兰、海地岩兰草）
767355	Magnolia Eau de Toilette - Magnolia Grandiflora & Haitian Vetiver, 100ml	Eau de Magnolia 淡香水，100ml（木兰蔷薇、海地香根草）
767340	Iris Poudre Eau de Parfum - Iris & Sandalwood, 100ml	Iris Poudre 香水，100ml（香调：鸢尾花、檀香）
767350	Carnal Flower Eau de Parfum - Green Notes & Tuberose Absolute, 10ml	Carnal Flower 香水，10ml（香调：草木香、晚香玉原精）
857661	Bigarade Concentrée Body Milk, 200ml	Bigarade Concentrée 身体乳，200ml
767352	Portrait of a Lady Eau de Parfum - Turkish Rose & Patchouli, 100ml	Portrait of a Lady 香水，100ml（香调：土耳其玫瑰 & 广藿香）
767349	Carnal Flower Eau de Parfum - Green Notes & Tuberose Absolute, 100ml	Carnal Flower 香水，100ml（香调：草木香、晚香玉原精）
857662	L'eau d'Hiver Body Milk, 200ml	L'eau d'Hiver 身体乳液，200ml
767339	Iris Poudre Eau de Parfum - Iris & Sandalwood, 50ml	Iris Poudre 香水，50ml（香调：鸢尾花、檀香木）
767343	Bigarade Concentree Eau de Parfum - Bitter Orange & Cedar, 100ml	Bigarade Concentree 香水, 100ml（香调：酸橙、雪松）
767346	L'eau d'Hiver Eau de Toilette - White Heliotrope & Iris, 100ml	L'eau d'Hiver 淡香水，100ml（香调：白天芥、鸢尾花）
767353	Portrait of a Lady Eau de Parfum - Turkish Rose & Patchouli, 10ml	Portrait of a Lady 香水，10ml（香调：土耳其玫瑰、广藿香）
767345	L'eau d'Hiver Eau de Toilette - White Heliotrope & Iris, 50ml	L'eau d'Hiver 淡香水, 50ml（香调：白天芥、鸢尾花）
767344	Bigarade Concentree Eau de Parfum - Bitter Orange & Cedar, 10ml	Bigarade Concentree 香水，10ml（香调：苦橙、雪松）
767334	Musc Ravageur Eau de Parfum - Musk & Amber, 100ml	Musc Ravageur 香水，100ml（香调：麝香、琥珀）
767347	L'eau d'Hiver Eau de Toilette - White Heliotrope & Iris, 10ml	L'eau d'Hiver 淡香水，10ml（香调：白天芥、鸢尾花）
767337	En Passant Eau de Parfum - Cucumber & White Lilac, 100ml	En Passant 香水，100ml（香调：黄瓜、白丁香）
767359	Cologne Indélébile Eau de Parfum - Orange Blossom Absolute & White Musk, 10ml	Cologne Indélébile 香水，10ml（香调：橙花原精、白麝香）
767342	Bigarade Concentree Eau de Parfum - Bitter Orange & Cedar, 50ml 	Bigarade Concentree 香水，50ml（香调：酸橙、雪松）
767351	Portrait of a Lady Eau de Parfum - Turkish Rose & Patchouli, 50ml	Portrait of a Lady 香水，50ml（香调：土耳其玫瑰、广藿香）
767333	Musc Ravageur Eau de Parfum - Musk & Amber, 50ml	Musc Ravageur 香水，50ml（香调：麝香、琥珀）
767336	En Passant Eau de Parfum - Cucumber & White Lilac, 50ml	En Passant 香水，50ml（香调：黄瓜、白丁香）
767348	Carnal Flower Eau de Parfum - Green Notes & Tuberose Absolute, 50ml	Carnal Flower 香水，50ml（香调：草木香、晚香玉原精）
767357	Cologne Indélébile Eau de Parfum - Orange Blossom Absolute & White Musk, 50ml	Cologne Indélébile 香水，50ml（香调：橙花原精、白麝香）
767361	Travel Spray Case - Red	旅行香水盒（红色）
767341	Iris Poudre Eau de Parfum - Iris & Sandalwood, 10ml	Iris Poudre 香水，10ml（香调：鸢尾花、檀香）
767338	En Passant Eau de Parfum - Cucumber & White Lilac, 10ml	En Passant 香水，10ml（香调：黄瓜、白色丁香花）
767358	Cologne Indélébile Eau de Parfum - Orange Blossom Absolute & White Musk, 100ml	Cologne Indélébile 香水，100ml（香调：橙花原精、白麝香）
767335	Musc Ravageur Eau de Parfum - Musk & Amber, 10ml	Musc Ravageur 香水，10ml（香调：麝香、琥珀）
