pid	English	Chinese
962663	Air Diffuser	散风嘴
962661	Gold Professional 2.0-Inch Flat Iron	Gold Professional 直板夹（2.0 英寸）
962662	Gold Professional 0.5-Inch Flat Iron	Gold Professional 直板夹（0.5 英寸）
771004	Ceramic Vented Radial Brush - Size 2	陶瓷通风圆筒发刷（规格：2号）
672131	Straight & Tame Cream, 120ml	顺直护发乳，120ml
771008	Advanced Split End Therapy, 100ml	分叉克星护发素，100ml
672132	Detangling Comb	顺滑发梳
633597	Classic Curl Iron - US 2-pin plug	经典造型卷发棒（美国标准双脚插头）
845529	Ultimate Style Gift Set	至臻级礼品套装
771005	Natural Bristle Radial Brush - Size 3	天然猪鬃圆筒发刷（规格：3 号）
524613	Paddle Brush	平板发刷
664411	Heat Protect Spray, 120ml	抗热保护定型喷雾，120ml
672135	Smooth & Finish Serum, 30ml	光柔亮彩精华，30ml
771003	Natural Bristle Radial Brush - Size 2	天然鬃毛圆筒发刷（规格：2 号）
524603	Curve Soft Curl Iron - US 2-pin plug	柔和造型卷发棒（美国标准两脚插头）
397815	Ceramic Vented Radial Brush - Size 3	陶瓷通风圆筒发刷（规格：3号）
397816	Ceramic Vented Radial Brush - Size 4	陶瓷通风圆筒发刷（规格：4号）
633596	Classic Wave Wand - US 2-pin plug	经典卷发棒（配美标两脚插头）
397820	Air Hair Dryer - US 2-pin plug	Air 吹风机 （美国标准二脚插头）
524604	Creative Curl Wand - US 2-pin plug	创意卷发棒（美国标准两脚插头）
524612	Oval Dressing Brush 	椭圆形发刷
