pid	English	Chinese
955189	Le Rouge Intense Color Lipstick -  Framboise Velours 315 	香榭高定天鹅绒唇膏（色号：Framboise Velours 315）
955180	Noir Couture Mascara and Rouge Interdit Vinyl Lipstick Set	高级定制睫毛膏+禁忌之吻莹亮唇膏套装
781225	Le Rouge Perfecto Lip Balm – Perfect Pink 01	红唇诱惑绝美唇膏（色号：Perfect Pink 01）
901090	Rouge Interdit Satin Lipstick - Street Rose No. 04	禁忌之吻缎面唇膏（色号：Street Rose No. 04）
901089	Rouge Interdit Satin Lipstick - Urban Nude No. 03	禁忌之吻缎面唇膏（色号：Urban Nude No. 03）
901088	Rouge Interdit Satin Lipstick - Serial Nude No. 02	禁忌之吻缎面唇膏（色号：Serial Nude No. 02）
901107	Rouge Interdit Satin Lipstick - Rose Neon No. 21	禁忌之吻缎面唇膏（色号：Rose Neon No. 21） 
901092	Rouge Interdit Satin Lipstick - Rose Nocturne No. 06	禁忌之吻缎面唇膏（色号：Rose Nocturne No. 06）
901109	Rouge Interdit Satin Lipstick - Fuchsia-In-The-Know No. 23	禁忌之吻缎面唇膏（色号：Fuchsia-In-The-Know No. 23）
901095	Rouge Interdit Satin Lipstick - Rose Alibi No. 09	禁忌之吻缎面唇膏（色号：Rose Alibi No. 09）
901103	Rouge Interdit Satin Lipstick - Flash Coral No. 17	禁忌之吻缎面唇膏（色号：Flash Coral No. 17）
901099	Rouge Interdit Satin Lipstick - Rouge Interdit No. 13	禁忌之吻缎面唇膏（色号：Rouge Interdit No. 13）
901093	Rouge Interdit Satin Lipstick - Purple Fiction No. 07	禁忌之吻缎面唇膏（色号：Purple Fiction No. 07）
901108	Rouge Interdit Satin Lipstick - Infrarose No. 22	禁忌之吻缎面唇膏（色号：Infrarose No. 22）
901110	Rouge Interdit Satin Lipstick - Ultravioline No. 24	禁忌之吻缎面唇膏（色号：Ultravioline No. 24）
901106	Rouge Interdit Satin Lipstick - Wild Rose No. 20	禁忌之吻缎面唇膏（色号：Wild Rose No. 20） 
901096	Rouge Interdit Satin Lipstick - Boyish Rose No.10	禁忌之吻缎面唇膏（色号：No. 08 Framboise Obscur） 
901104	Rouge Interdit Satin Lipstick - Addicted To Rose No. 18	禁忌之吻缎面唇膏（色号：Addicted To Rose No. 18） 
901094	Rouge Interdit Satin Lipstick - Framboise Obscur No. 08	禁忌之吻缎面唇膏（色号：No. 08 Framboise Obscur） 
901102	Rouge Interdit Satin Lipstick - Wanted Coral No. 16	禁忌之吻缎面唇膏（色号：No. 16 Wanted Coral） 
901101	Rouge Interdit Satin Lipstick - Orange Adrenaline No. 15	禁忌之吻缎面唇膏（色号：Orange Adrenaline No. 15） 
901100	Rouge Interdit Satin Lipstick - Redlight No. 14	禁忌之吻缎面唇膏（色号：Redlight No. 14） 
901098	Rouge Interdit Satin Lipstick - Rouge Insomnie No. 12	禁忌之吻缎面唇膏（色号：Rouge Insomnie No. 12）
901122	Crayon Lèvres Lip Liner - Universel Transparent No.11	魅彩唇线笔（色号：Universel Transparent No.11）
901097	Rouge Interdit Satin Lipstick - Orange Underground No. 11	禁忌之吻缎面唇膏（色号：Orange Underground No. 11）
901114	Crayon Lèvres Lip Liner - Rose Taffetas No.3	魅彩唇线笔（色号：Rosa Taffetas No.3）
901116	Crayon Lèvres Lip Liner - Corail Décolleté No.5	魅彩唇线笔（色号：Corail Décolleté No.5）
901121	Crayon Lèvres Lip Liner - Beige Mousseline No.10	魅彩唇线笔（色号：Beige Mousseline No.10）
901115	Crayon Lèvres Lip Liner - Fuchsia Irrésistible No.4	 魅彩唇线笔（色号：Fuchsia Irrésistible No.4）
901118	Crayon Lèvres Lip Liner - Framboise Velours No.7	魅彩唇线笔（色号：Framboise Velours No.7）
901117	Crayon Lèvres Lip Liner - Carmin Escarpin No.6	魅彩唇线笔（色号：Carmin Escarpin No.6）
901119	Crayon Lèvres Lip Liner - Parme Silhouette No.8	魅彩唇线笔（色号：Parme Silhouette No.8）
955184	Le Prisme Blush - Rite No.4 	幻影四宫格腮红（色号：4 Rite）
901120	Crayon Lèvres Lip Liner - Moka Renversant No.9	魅彩唇线笔（色号：No.9 Moka Renversant）
955183	Le Prisme Blush - Spice No.3 	幻影四宫格腮红（色号：Spice No.3)
955185	Le Prisme Blush - Spirit No.5 	幻影四宫格腮红（色号：5 Spirit）
955187	Le Prisme Blush - Wild No.7 	幻影四宫格腮红（色号：Wild No.7)
955186	Le Prisme Blush - Romantica No.6 	幻影四宫格腮红（色号：6 Romantica）
495884	Le Prisme Blush - It-Girl Purple No. 24	幻影四宫格腮红（色号：24 It-Girl Purple）
955188	Le Prisme Blush - Tender No.8 	幻影四宫格腮红（色号：8 Tender）
495885	Le Prisme Blush - In-Vogue Orange No. 25	幻影四宫格腮红（色号：25 In-Vogue Orange）
824119	Noir Couture Volume Set	高级定制彩妆组
723356	Le Prisme Blush - Lune Rosée No. 41	幻影四宫格腮红（色号：41 Lune Rosée）
803611	My Makeup Accessories Set	美妆双星套装
901086	Nudes Nacres Eyeshadow Palette	珠光裸色眼影盘
662442	Hydra Sparkling Magic Lip & Cheek Balm	水漾美肌魔力唇颊膏
781237	Le Prisme Superstellar, 3.5g	幻影璀灿星辰眼影，3.5g
583366	Prisme Quatuor Intense & Radiant Eyeshadow - Frisson	幻变浓色亮采四色眼影（色号：Frisson）
583368	Prisme Quatuor Intense & Radiant Eye Shadow - Delicate	幻变浓色亮采四色眼影（色号：Delicate）
583367	Prisme Quatuor Intense & Radiant Eyeshadow - Braise	幻变浓色亮采四色眼影（色号：Braise）
781235	Le Rouge Intense Color Lipstick - Heroic Pink 212	香榭高定天鹅绒唇膏（色号：212 Heroic Pink）
583365	Prisme Quatuor Intense & Radiant Eye Shadow - Inattendue	幻变浓色亮采四色眼影（色号：Inattendue）
781236	Le Rouge Intense Color Lipstick - Heroic Red 321	香榭高定天鹅绒唇膏（色号：321 Heroic Red) 
495925	Le Rouge Intense Color Lipstick - Nude Guipure 106	香榭高定天鹅绒唇膏（色号：106 Nude Guipure）
495927	Le Rouge Intense Color Lipstick - Corail Décolleté 303	香榭高定天鹅绒唇膏（色号：303 Corail Decollete）
495924	Le Rouge Intense Color Lipstick - Beige Caraco 107	香榭高定天鹅绒唇膏（色号：107 Beige Caraco）
811768	Le Rouge Intense Color Lipstick - Rose Boudoir 204	香榭高定天鹅绒唇膏（色号：204 Rose Boudoir）
495930	Le Rouge Intense Color Lipstick - Rose Perfecto 209	香榭高定天鹅绒唇膏（色号：209 Rose Perfecto）
495929	Le Rouge Intense Color Lipstick - Rose Dahlia 210	香榭高定天鹅绒唇膏（色号：210 Rose Dahlia）
495928	Le Rouge Intense Color Lipstick - Rouge Égerié 305	香榭高定天鹅绒唇膏（色号：305 Rouge Egerie）
495931	Le Rouge Intense Color Lipstick - Fuchsia Irrésistible 205	香榭高定天鹅绒唇膏（色号：205 Fuchsia Irresistible）
495932	Le Rouge Intense Color Lipstick - Carmin Escarpin 306 	香榭高定天鹅绒唇膏（色号：306 Carmin Escarpin）
955335	Gypsophila Les Saisons Healthy Glow Powder - 02 Douce Saison	花颜浮雕健康光泽粉饼（色号：02 Douce Saison）
626378	Le Rouge-À-Porter Lipstick - Beige Mousseline 102	红唇诱惑光感唇膏（色号：102 Beige Mousseline）
588819	Prisme Libre - Organza Caramel 3	轻盈无痕明星四色散粉（色号：3 Organza Caramel）
955190	Prisme Libre - Mousseline Pastel 1	轻盈无痕明星四色散粉（色号：1 Mousseline Pastel）
803608	Prisme Libre - Voile Audacieux	轻盈无痕明星四色散粉（色号：Voile Audacieux）
955181	Prisme Powder Blush Duo -  Passion 01	幻影四宫格腮红（色号：Passion 01)
723368	Teint Couture Cushion - Fresh Beige No. 04	高定恒颜气垫液态粉饼（色号：04 Fresh Beige）
955182	Prisme Powder Blush Duo - Love 02	幻影四宫格腮红（色号：Love 02)
723370	Teint Couture Cushion - Fresh Gold No. 06	高定恒颜气垫液体粉饼（色号：06 Fresh Gold）
723369	Teint Couture Cushion - Fresh Honey No. 05	高定恒颜气垫液体粉饼（色号：05 Fresh Honey）
723367	Teint Couture Cushion - Fresh Sand No. 03	高定恒颜气垫液体粉饼（色号：03 Fresh Sand）
781227	Prisme Visage - Satin Ivoire No.2	幻影四宫格粉饼（色号：2 Satin Ivoire）
781228	Prisme Visage - Popeline Rose No.3	幻影四宫格粉饼（色号：3 Popeline Rose）
781229	Prisme Visage - Dentelle Beige No.4	幻影四宫格粉饼（色号：4 Dentelle Beige ）
781230	Prisme Visage - Soie Abricot No.5	幻影四宫格粉饼（色号：5 Soie Abricot ）
770889	Healthy Glow Powder - 00 Moonlight Saison	健康光泽粉饼（色号：00 Moonlight Saison）
781226	Prisme Visage - Mousseline Pastel No.1	幻影四宫格粉饼（色号：1 Mousseline Pastel ）
770890	Healthy Glow Powder - 01 Première Saison	健康光泽粉饼（色号：1 Premiére Saison）
770893	Healthy Glow Powder - 04  Extrême Saison	健康光泽粉饼（色号：04 Extrême Saison）
770892	Healthy Glow Powder - 03 Ambre Saison	健康光泽粉饼（色号：03 Ambre Saison）
827245	Cushion Kiss - Berry 02	轻吻飞扬气垫唇彩（色号：02 Berry）
770891	Healthy Glow Powder - 02 Douce Croisière	健康光泽粉饼（色号：02 Douce Croisière）
827242	Cushion Kiss - Coral 01	轻吻飞扬气垫唇彩（色号：01 Coral）
827243	Mister Radiant Primer, 30ml	星光亮采妆前乳，30ml
827244	Mister Radiant Blush, 20ml	星光亮采腮红，20ml
588815	Ombre Couture - Rose Illusion No. 10	魅彩眼影膏（色号：10 Rose Illusion）
588814	Ombre Couture - Nude Plumetis No. 14 	魅彩眼影膏（色号：14 Nude Plumetis）
723359	Ombre Couture - Jaune Contemplation No. 16	魅彩眼影膏（色号：16 Jaune Contemplation）
664600	Teint Couture Concealer - Mousseline Halee No. 03	高定恒颜遮瑕修颜笔（色号：Mousseline Halee No. 03）
560041	Ombre Couture - Black No. 13	魅彩眼影膏（色号：13 Black）
664599	Teint Couture Concealer - Dentelle Beige No. 02	高定恒颜遮瑕修颜笔（色号：Dentelle Beige No. 02）
628740	Kabuki bronzer brush	古铜粉蘑菇刷
495912	Mister Light Stylo Correction Lumiere - Mister Cinnamon 6	亮妍遮瑕笔（色号： 6 Mister Cinnamon）
495914	Phenomen'Eyes Mascara - Phenomen'Brown 2	广角炫翘睫毛膏（色号：2 Phenomen'Brown）
664604	Mascara Top Coat - Intense Black 1	黑大衣睫毛膏（色号：1 Intense Black）
781234	Liner Vinyl - Heroic Silver	莹彩眼线液（色号：Heroic Silver）
781233	Liner Vinyl - Heroic Blue	莹彩眼线液（色号：Heroic Blue）
901091	Rouge Interdit Satin Lipstick - Nude In The Dark No. 05	禁忌之吻缎面唇膏（色号：05 Nude In The Dark）
723361	Liner Couture Precision Felt Tip Eyeliner - Brown 2 	高级定制系列精度毛毡笔头眼线液（色号：2 Brown）
781245	Eyebrow Couture Definer - Brunette 01	高定塑形眉笔（色号：01 Brunette）
664597	Parad’Eyes Fluid Eye Liner - Black Vinyl 	魅彩眼线液（色号：Black Vinyl）
781242	Eyebrow Pencil - Blonde 02	魅采眉笔（色号：02 Blonde）
781241	Eyebrow Pencil - Brunette 01	魅采眉笔（色号：1 Brunette）
781243	Eyebrow Pencil - Dark Brunette 03	魅采眉笔（色号：03 Dark Brunette）
781240	Mister Brow Filler - Granite 03	持色染眉膏（色号：03 Granite）
781239	Mister Brow Filler - Blonde 02	持色染眉膏（色号：02 Blonde）
770899	Khôl Couture Waterproof Eyeliner - Turquoise 03	高定浓彩防水眼线笔（色号：03 Turquoise）
770901	Khôl Couture Waterproof Eyeliner - Jade 05	高定浓彩防水眼线笔（色号：05 Jade）
770902	Khôl Couture Waterproof Eyeliner - Lilac 06	高定浓彩防水眼线笔（色号：06 Lilac）
770897	Khôl Couture Waterproof Eyeliner - Black 0	高定浓彩防水眼线笔（色号：0 Black）
770900	Khôl Couture Waterproof Eyeliner - Cobalt 04	高定浓彩防水眼线笔（色号：04 Cobalt）
770898	Khôl Couture Waterproof Eyeliner - Chestnut 02	高定浓彩防水眼线笔（色号：02 Chestnut）
723355	Rouge Interdit Vinyl Lipstick - Noir Revelateur No. 16	禁忌之吻莹亮唇膏（色号：16 Noir Revelateur）
723349	Rouge Interdit Vinyl Lipstick - Rose Mutin No. 03	禁忌之吻莹亮唇膏（色号：03 Rose Mutin）
723348	Rouge Interdit Vinyl Lipstick - Nude Ravageur No. 01	禁忌之吻莹亮唇膏（色号：01 Nude Ravageur）
811770	Rouge Interdit Vinyl Lipstick - Corail Redoutable No. 09	禁忌之吻莹亮唇膏（色号：09 Corail Redoutable）
811769	Rouge Interdit Vinyl Lipstick - Fuchsia No. 07	禁忌之吻莹亮唇膏（色号：07 Fuchsia）
811771	Rouge Interdit Vinyl Lipstick - Violine Troublant No. 14	禁忌之吻莹亮唇膏（色号：14 Violine Troublant）
723352	Rouge Interdit Vinyl Lipstick - Rouge Rebelle No. 11	禁忌之吻莹亮唇膏（色号：11 Rouge Rebelle）
723350	Rouge Interdit Vinyl Lipstick - Rose Tentateur No. 04	禁忌之吻莹亮唇膏（色号：Rose Tentateur No. 04）
723354	Rouge Interdit Vinyl Lipstick - Rose Désirable No. 13	禁忌之吻莹亮唇膏（色号：Rose Désirable No. 13）
723353	Rouge Interdit Vinyl Lipstick - Grenat Envoûtant No. 12	禁忌之吻莹亮唇膏（色号：12 Grenat Envoûtant）
495922	Lip Liner - Lip Rouge 5	唇线笔（色号：5 Lip Rouge）
723351	Rouge Interdit Vinyl Lipstick - Rose Sulfureux No. 06 	禁忌之吻莹亮唇膏（色号：6  Rose Sulfureux）
901113	Lip Liner - Brun Createur 2	唇线笔（色号：Brun Createur 2）
