pid	English	Chinese
949536	Intensive Body Exfoliant, 200ml	强效身体磨砂膏，200ml
949535	Hydra+ Body Cleanser: Glyceryl-Oleate, Rosemary, Sandalwood, 500ml	深层补水沐浴液，500ml（香型：甘油油酸脂、迷迭香、檀香）
762134	Age-Repair Hand Cream, 40ml	活肤再生护手霜，40ml
567716	Watermelon & Vanilla Lip Balm, 12ml	西瓜香草唇膏，12ml
681412	Vanilla & Orange Peel Hand Cream, 65ml	香草橙皮护手霜，65ml
567715	Antioxidant Treatment Serum, 20ml	抗氧化护理精华，20ml
681418	Body Treatment Oil, 100ml	身体护理油，100ml
681419	Intensive Body Cream, 120ml	深层滋润身体霜，120ml
762133	Deep Cleansing Masque - Wheatgerm, Ginkgo & Cranberry, 75ml	小麦胚芽、银杏、蔓越莓深层清洁面膜，75ml
813328	Hydra-Repair Cream-Masque: Olive-Polyphenol & Babassu, 40ml	橄榄多酚巴巴苏棕榈水润修护乳液面膜，40ml
762135	Balancing Toner - Rose, Ginseng & Chamomile, 200ml	玫瑰、人参、甘菊平衡爽肤水，200ml
567714	Hydra-Repair Day Cream, 65ml	水润修护日霜，65ml
813330	Tinted Hydra-Repair Day Cream: Camellia & Geranium Blossom, 45ml	山茶花、天竺葵饰色水润修护日霜，45ml
681417	Purifying Body Exfoliant, 170ml	净透身体去角质胶，170ml
813329	Intensive Hydra-Repair Eye Balm: Helianthus Seed Extract & Tocopherol, 15ml	强效保湿修复眼霜，15ml
681415	Hand Wash & Hand Cream Twin Set, 2 x 500ml	二合一手部护理套装，2 x 500ml
567713	Polishing Facial Exfoliant, 75ml	焕颜去角质霜，75ml
693100	Amenity Kit	愉悦肌肤套装
567712	Gentle Gel Facial Cleanser, 200ml	柔肤洁面凝胶，200ml
