pid	English	Chinese
349141	SPF8 Continuous Mist Sunscreen with Bronzer	SPF8 持续防晒古铜喷雾
340563	SPF4 Oil, 118ml	SPF4 日晒美黑油，118ml
340565	SPF15 Gel, 118ml	SPF15 日晒美黑啫喱，118ml
340567	Hydrating Aloe Continuous Mist, 5oz	芦荟持续保湿喷雾，5oz
609308	Airbrush Bronzing Mist, 130ml	仿晒古铜喷雾，130ml
340568	SPF55 Continuous Mist Sunscreen	SPF55 持续防晒喷雾
340971	Sunless Tanning Gel, 130ml	仿晒美黑啫喱，130ml
609307	Sunless Tanning Mist, 130ml	仿晒美黑喷雾，130ml
549607	SPF30 Lotion, 118ml	SPF30 乳液，118ml
340569	SPF35 Continuous Mist Sunscreen	SPF35 持续防晒喷雾
340564	SPF8 Gel, 118ml	SPF8 日晒美黑啫喱，118ml
340570	SPF15 Continuous Mist Sunscreen	SPF 15 Continuous Mist 持续防晒喷雾
381738	SPF15 Super Hydrating Face Cream, 50ml	SPF15 超保湿面霜，50ml
755743	Bronze Shimmer Cooling Spray, 30ml	古铜光泽冰爽喷雾，30ml
