pid	English	Chinese
895753	Crepe culottes	绉纱裙裤
895761	Striped jersey track pants	条纹平纹针织休闲裤
895762	Cropped cotton-blend wide-leg pants	棉质混纺九分阔腿裤
895767	Cutout ribbed cotton, wool and cashmere-blend sweater	挖剪罗纹棉质羊毛羊绒混纺毛衣
895759	Stretch-jersey slim-leg stirrup pants	弹力平纹针织窄腿马镫裤
895752	Satin midi dress	缎布中长连衣裙
895760	Checked wool blazer	格纹羊毛西装式外套
895768	Checked wool mini skirt	格纹羊毛迷你半身裙
895764	Satin midi dress	缎布中长连衣裙
895754	Modal and Pima cotton-blend top	莫代尔比马棉混纺上衣
895755	Cropped off-the-shoulder stretch-jersey top	露肩弹力平纹针织短款上衣
895757	Henley ribbed cotton-jersey top	Henley 罗纹纯棉平纹针织上衣
895766	Cropped ruffle-trimmed wool and cashmere-blend sweater	褶饰羊毛羊绒混纺短款毛衣
895751	Off-the-shoulder stretch-jersey top	露肩弹力平纹针织上衣
895756	Cropped off-the-shoulder stretch-jersey top	露肩弹力平纹针织短款上衣
895763	Cutout ribbed stretch-knit dress	挖剪罗纹弹力针织连衣裙
895765	Cotton-jersey T-shirt	纯棉平纹针织 T 恤
895758	Off-the-shoulder stretch-jersey top	露肩弹力平纹针织上衣
895769	Cutout ribbed stretch-jersey tank	挖剪罗纹弹力平纹针织坦克背心 
895749	Stretch-leather leggings	弹力皮革打底裤
903682	Stretch-scuba leggings	弹力潜水服面料打底裤
903683	Stretch-leather leggings	弹力皮革打底裤
815690	Cropped stretch-jersey halterneck top	短款弹力平纹针织面料挂脖上衣
846419	Stretch-jersey bra top	弹力平纹针织文胸式上衣
846418	Stretch-jersey bra top	弹力平纹针织文胸式上衣
561886	Eau de Cologne - Lavender, Rosemary & Artemisia, 100 ml	古龙水，100 ml（香调：薰衣草、迷迭香、香艾）
681874	Trio Sampler, 3 x 10ml	香水体验套装，3 x 10ml
561887	Eau de Parfum - Lavender, Rosemary & Artemisia, 100ml	香水, 100ml（薰衣草、迷迭香、香艾）
681877	Eau de Parfum - Lavender, Rosemary & Artemisia, 3 x 10ml	香水，3 x 10ml（香调：薰衣草、迷迭香、香艾）
681875	Cuiron Eau de Cologne - Italian Bergamot, Italian Mandarin Oil & Pink Peppercorn, 3 x 10ml	Cuiron 古龙水, 3 x 10ml（香调：意大利佛手柑、意大利香柑油、红胡椒）
681876	Eau de Cologne - Lavender, Rosemary & Artemisia, 3 x 10ml 	古龙水，3 x 10ml（香调：薰衣草、迷迭香、香艾）
815687	One-shoulder stretch-jersey top	单肩弹力平纹针织上衣
561888	Cuiron Eau de Cologne - Italian Bergamot, Italian Mandarin Oil & Pink Peppercorn, 100ml	Cuiron 古龙水，100ml（香调：意大利佛手柑、意大利香柑油、红胡椒）
