pid	English	Chinese
903176	Essential Shadow Palette - Prima	精选眼影盘（色号：Prima）
903177	Essential Shadow Palette - Luna	精选眼影盘（色号：Luna）
903178	Natural Brightening Eye Primer - On & On	自然提亮眼部打底霜（色号：On & On）
955365	Cucumber Water Stick	黄瓜水润爽肤棒
955366	Tinted Lip Conditioner SPF15 - Darlin'	润色护唇膏 SPF15（色号：Darlin'）
955367	Tinted Lip Conditioner SPF15 - Kamikaze	润色护唇膏 SPF15（色号：Kamikaze）
753706	Radiant Translucent Powder SPF 20 - Moondance	焕彩蜜粉 SPF 20（色号：Moondance）
831099	Soft Focus Finishing Powder - Fade Into You	柔焦蜜粉（色号：Fade Into You）
831102	Finishing Powder Brush	定妆散粉刷 
831100	Defining Lip Brush	精绘唇刷
831101	Perfecting Buff Brush	完美晕染化妆刷
869108	+ Baggu Gift Set	x Baggu 礼品套装
831097	Lipstick - The Brides	唇膏（色号：The Brides）
831098	Lipstick - Madam Mina	唇膏（色号：Madam Mina）
567724	Lipstick Crayon - Karma Chameleon	蜡笔唇膏（色号：Karma Chameleon）
348647	Lip Exfoliator - Balmy Nights	唇部磨砂膏
831096	Lipstick - Lucy's Party	唇膏（色号：Lucy's Party）
693119	Multi-stick - I Put A Spell On You	多用彩妆棒（色号：I Put A Spell On You）
567722	Lipstick Crayon - Call Me	蜡笔唇膏（色号：Call Me）
567723	Lipstick Crayon - Dress You Up	蜡笔唇膏（色号：Dress You Up）
348640	Tinted Lip Conditioner - Nobody's Baby	润色护唇膏（色号：Nobody's Baby）
693121	Multi-stick - At Last 	多用彩妆棒（色号：At Last）
348641	Tinted Lip Conditioner - Blossom Lady	润色护唇膏（色号：Blossom Lady）
348643	Lipstick  - In My Room	唇膏（色号：In My Room）
468748	Translucent Powder - Fade Into You	蜜粉（色号：Fade Into You）
567735	Vivid Concealer - Ginseng C4	亮肤遮瑕液（色号：Ginseng C4）
348646	Lip Conditioner - Balmy Days	护唇膏 （色号：Balmy Days）
693122	Multi-stick - A Fine Romance	多用彩妆棒（色号：A Fine Romance）
567720	Lip Gloss - The Butterfly and I	唇彩（色号：The Butterfly and I）
753707	Lip Conditioner SPF 15 - Balmy Rays	护唇膏 SPF 15（色号：Balmy Rays）
693124	Illuminator - Cosmic Dancer	高光棒（色号：Cosmic Dancer）
693123	Illuminator - Sway	高光棒（色号：Sway）
567725	Lipstick - Funnel of Love	唇膏（色号：Funnel of Love）
393225	Tinted Lip Conditioner - Crimson & Clover	润色护唇膏（色号：Crimson & Clover）
567732	Vivid Concealer - Cassava C1	活肤遮瑕液（色号：Cassava C1）
421618	Multi-stick - All Of Me	多用彩妆棒（色号：All Of Me）
348642	Tinted Lip Conditioner - Bang Bang	润色护唇膏（色号：Bang Bang）
348648	Illuminator - Polka Dots and Moonbeams	高光棒（色号：Polka Dots and Moonbeams）
567733	Vivid Concealer - Maca C2	活肤遮瑕液（色号：Maca C2）
567721	Lip Gloss – White Rabbit	唇彩（色号：White Rabbit）
567736	Vivid Concealer - Licorice C5 	亮肤遮瑕液（色号：Licorice C5）
567737	Vivid Concealer - Clove C6 	亮肤遮瑕液（色号：Clove C6）
