pid	English	Chinese
954975	Powder Eye Shadow - Invoke	眼影粉（色号：Invoke）
954974	Powder Eye Shadow - Ritual	眼影粉（色号：Ritual）
954976	Powder Eye Shadow - Maiden	眼影粉（色号：Maiden）
954977	Antimatter Lipstick - Binary	反物质唇膏（色号：Binary）
954978	Antimatter Lipstick - Charge	反物质唇膏（色号：Charge）
954972	Pure Pigment - Muse	至臻美色眼影粉（色号：Muse）
954973	Beyond Powder - Deity	超凡高光粉（色号：Deity）
871732	Antimatter Lipstick - Physical	反物质唇膏（色号：Physical）
795396	Vanitas Matte Lipstick - Resist	虚空画派哑光唇膏（色号：Resist）
647548	Lip Slick Stick - Adorn	顺滑防水唇线笔（色号：Adorn）
635233	Precision Brow Gel - Awe, 6ml 	精描细画眉胶，6ml（色号：Awe）
647547	Lip Slick Stick - Flush	顺滑防水唇线笔（色号：Flush）
795395	Vanitas Matte Lipstick - Wanton	虚空画派哑光唇膏（色号：Wanton）
795398	Vanitas Matte Lipstick - Moth	虚空画派哑光唇膏（色号：Moth）
903531	Antimatter Lipstick - BTCH	反物质唇膏（色号：BTCH）
903530	Antimatter Lipstick - Energy	反物质唇膏（色号：Energy）
647546	Lip Slick Stick - True	顺滑防水唇线笔（色号：True）
903532	Antimatter Lipstick - Mars	反物质唇膏（色号：Mars）
871729	Antimatter Lipstick - Quartz	反物质唇膏（色号：Quartz）
647545	Eye Slick Stick - Alloy	顺滑防水眼线笔（色号：Alloy）
871728	Antimatter Lipstick - Cosmic	反物质唇膏（色号：Cosmic）
575591	Glamore Lipstick - Glissade	美艳唇膏（色号：Glissade）
795397	Vanitas Matte Lipstick - Born	虚空画派哑光唇膏（色号：Born）
647543	Eye Slick Stick - Mass	顺滑防水眼线笔（色号：Mass）
650025	Eye Slick Stick - Iron	顺滑防水眼线笔（色号：Iron）
871731	Antimatter Lipstick - Nebula	反物质唇膏（色号：Nebula）
871727	Antimatter Lipstick - Midnight	反物质唇膏（色号：Midnight）
871730	Antimatter Lipstick - Lyra	反物质唇膏（色号：Lyra）
571968	Mascara - Raven	睫毛膏（色号：Raven）
783299	Lip Lure - Rose	魅惑唇釉（色号：Rose）
635231	Precision Brow Gel - Strike, 6ml	精描细画眉胶，6ml（色号：Strike）
783300	Lip Lure - Dusk	魅惑唇釉（色号：Dusk）
686747	Glamore Lipstick - Vega	美艳唇膏（色号：Vega）
783303	Extinct - Lip Slay	Extinct 唇妆礼盒（色号：Lip Slay）
635235	Glamore Lipstick - Virgin 	美艳唇膏（色号：Virgin）
737965	Brow Build - Thrive, 6ml	塑形染眉膏，6ml（色号：Thrive）
571973	Eye Coloring Pencil - S.O.P.H.I.E.	炫彩眼线笔（色号：S.O.P.H.I.E.）
674242	Radiance Veil, 30ml	亮采妆前乳，30ml
737966	Brow Build - Flow, 6ml	塑形染眉膏，6ml（色号：Flow）
783298	Lip Lure - Bloom	魅惑唇釉（色号：Bloom）
783305	Extinct - Chisel And Glow	Extinct 修容礼盒（色号：Chisel And Glow）
737964	Brow Build - Amplify, 6ml 	塑形染眉膏，6ml（色号：Amplify）
647544	Eye Slick Stick - Igneous	顺滑防水眼线笔（色号：Igneous）
608600	Gel Color - Charm 	凝胶唇颊两用膏（色号：Charm）
737967	Brow Build - Rise, 6ml	塑形染眉膏，6ml（色号：Rise）
635232	Precision Brow Gel - Glimpse, 6ml 	精描细画眉胶，6ml（色号：Glimpse）
647549	Illustrator Pen - Truest Black	精描细画眼线液笔（色号：Truest Black）
650024	Glamore Lipstick - Kin	美艳唇膏（色号：Kin）
737968	Mascara Gain - Black	丰盈色彩睫毛膏（色号：Black）
571967	Blusher Brush	腮红刷
783302	Extinct - Go Nude	Extinct 唇妆礼盒（色号：Go Nude）
571981	Sheer Lipgloss - Lily Rose	透亮唇彩（色号：Lily Rose）
571965	Powder Blusher - S.O.P.H.I.E.	花颜炫彩腮红（色号：S.O.P.H.I.E.）
686745	Set of Five Makeup Brushes	化妆刷（五支装）
783301	Lava Lips Marbled Lipstick - Activist 	绘彩纹颜唇膏（色号：Activist）
571982	Sheer Lipgloss - Artifice	轻透晶亮唇彩（色号：Artifice）
635234	Precision Brow Gel - Stare, 6ml	精描细画眉胶，6ml（色号：Stare）
575587	Contour Brush	修容刷
608599	Gel Colour - Fluster	凝胶唇颊两用膏（色号：Fluster）
608601	Gel Sculpt - Silhouette	凝胶唇颊两用膏（色号：Silhouette）
575586	Sculpting Powder Duo - Heliopolis & Lumos	双色修容蜜粉(色号：Heliopolis & Lumos）
571977	Lipstick - Shard	唇膏（色号：Shard）
635236	Glamore Lipstick - Rosepout	美艳唇膏（色号：Rosepout）
571975	Lip Pencil - Woo	唇线笔（色号：Woo）
575588	Lipstick - Box	唇膏（色号：Box）
571972	Lip Brush With Cover	带盖唇刷
571976	Lipstick - Bare	唇膏（色号：Bare）
575592	Angled Brush	斜角刷
575585	Matte Veil, 30ml	柔纱哑光妆前乳，30ml
571974	Lipstick - Climax	唇膏（色号：Climax）
575590	Precision Gel Liner	精准眼线胶
571980	Intense Lipgloss - Move	浓蜜高亮唇彩（色号：Move）
571964	Powder Blusher - Naked Rose	花颜炫彩腮红（色号：Naked Rose）
571966	Gleam - Aurora	璀璨莹亮高光粉（色号：Aurora）
571983	Precision Ink - Abyss	精准郁黑眼线笔（色号：Abyss）
575584	Hydra Veil, 30ml	保湿妆前乳，30ml
