pid	English	Chinese
892170	+ Chris Riggs Graffiti Art Nail Polish Collection - Peace, 10ml	x Chris Riggs 涂鸦艺术指甲油，10ml（色号：Peace）
892169	+ Chris Riggs Graffiti Art Nail Polish Collection - Love, 10ml	x Chris Riggs 涂鸦艺术指甲油，10ml（色号：Love）
892171	+ Chris Riggs Graffiti Art Nail Polish Collection - Hope, 10ml	x Chris Riggs 涂鸦艺术指甲油，10ml（色号：Hope）
892172	+ Chris Riggs Graffiti Art Nail Polish Collection - Grace, 10ml	x Chris Riggs 涂鸦艺术指甲油，10ml（色号：Grace）
810375	Nail Polish - Beau	指甲油（色号：Beau）
770621	Nail Polish - Crush	指甲油（色号：Crush）
810378	Nail Polish - Toff	指甲油（色号：Toff）
652337	Nail Polish - Soirée 	指甲油（色号：Soirée）
721105	Nail Polish - Keppel	指甲油（色号：Keppel）
770620	Nail Polish - Blush	指甲油（色号：Blush）
652339	Nail Polish - Chinoiserie Chic Holiday Collection	中国风时尚假日指甲油套装
721106	Nail Polish - Aero	指甲油（色号：Aero）
632437	Nail Polish - Verismo	指甲油（色号：Verismo）
652336	Nail Polish - Fête 	指甲油（色号：Fête）
721108	Nail Polish - Sinopia	指甲油（色号：Sinopia）
532189	Nail Polish - Tout Ensemble Collection	全臻指甲油套装
632439	Nail Polish - Soubrette	指甲油（色号：Soubrette）
632440	Nail Polish - Cantata	指甲油（色号：Cantata）
652333	Nail Polish - Metaphor	指甲油（色号：Metaphor）
652334	Nail Polish - Tea Rose	指甲油（色号：Tea Rose）
532190	Nail Polish - Epidote	指甲油（色号：Epidote）
