pid	English	Chinese
937836	Fool Proof Bronzing Mousse - Face & Body, 100ml	瞬效古铜美肌慕斯，100ml
937835	H2O Illuminating Tan Mist, 200ml	H2O 亮采美黑喷雾，200ml
937837	Get The Glow Discovery Kit	容光焕发探索套装
764295	Tantour Sculpting Duo	美黑塑颜双色粉饼
764293	Sleep Mask Tan Go Darker Body, 200ml	深度睡眠美黑体膜，200ml
608343	Sleep Mask Tan Face, 50ml	睡眠美黑面膜，50ml
608337	Tan Perfecting Enzyme Peel Mask, 75ml	活性酶美黑剥离式面膜，75ml
832300	Tan Edit Face Kit	精选面部美黑套装
608344	Tan Extending Sleep Serum, 50ml	睡眠美黑精华液，50ml
608335	Tanning Mitt	美黑专用手套
608351	Liquid Bronzer, 250ml	液体美黑露，250ml
764296	H20 Tan Mist, 100ml	水能美黑喷雾，100ml
764294	Sleep Mask Tan Go Darker Face, 50ml	深度睡眠美黑面膜，50ml
608342	Sleep Mask Tan - Body, 200ml	睡眠美黑体膜，200ml
608350	Express Glow Mask Face, 50ml	速效亮颜美黑面乳，50ml
608345	Bronzing Mousse, 200ml	古铜慕斯，200ml
608346	Instant Bronzing Mist, 200ml	瞬时美黑喷雾，200ml
608336	Wash Off Tan for Body, 150ml	可冲洗式身体美黑乳，150ml
608340	Day Tan Body, 200ml	日用美黑身体乳，200ml
608349	Express Glow Mask Body, 200ml	快速亮肤身体乳，200ml
347971	Liquid Tan - Medium, 250ml	美黑乳液，250ml （色号：Medium）
608341	Day Tan Face SPF15, 50ml 	SPF15 日用面部美黑乳，50ml
608347	Clear Bronzing Mist, 200ml	清莹古铜喷雾，200ml
608348	Express Bronzing Mousse, 200ml	快速美黑慕斯，200ml
