pid	English	Chinese
774278	Red Truffle 21 scented candle, 185g	Red Truffle 21 香薰蜡烛，185g
774272	White Rose & Lemon Leaves scented candle, 185g	White Rose & Lemon Leaves 香薰蜡烛，185g
774292	Christmas Tree scented candle, 185g	Christmas Tree 香氛蜡烛，185g
908048	Smoked Plum & Leather scented candle, 185g	Smoked Plum & Leather 香薰蜡烛，185g
908047	Smoked Plum & Leather, 50ml	Smoked Plum & Leather 淡香水，50ml（香调：乌梅、皮革）
774291	Salted Caramel scented candle, 185g	Salted Caramel 香薰蜡烛，185g
774287	Lemongrass scented candle, 185g 	柠檬草香氛蜡烛，185g
774286	Bath Cologne Gift Set, 3 x 14ml	沐浴古龙水礼品套装，3 x 14ml
774274	Red Truffle 21 - Truffle, Black Pepper & Fig, 100ml	Red Truffle 21 淡香水，100ml（香调：松露、黑花椒、无花果）
774282	Green Orange & Coriander Hand & Body Cleanser, 200ml	Green Orange & Coriander 手部和身体清洁露，200ml
774273	Red Truffle 21 - Truffle, Black Pepper & Fig, 50ml	Red Truffle 21 淡香水（前调：松露、黑胡椒和无花果），50ml
774280	Green Orange & Coriander - Bitter Green Orange & Black Pepper, 50ml	Green Orange & Coriander 淡香水，50ml（香调：绿色苦橙、黑胡椒）
774289	Log Fires scented candle, 185g 	Log Fires 香薰蜡烛，185g
774268	White Rose & Lemon Leaves, 100ml   	White Rose & Lemon Leaves 淡香水，100ml
774267	White Rose & Lemon Leaves, 50ml	White Rose & Lemon Leaves 淡香水，50ml
774275	Red Truffle 21 Hand & Body Cleanser, 200ml	Red Truffle 21 手部和身体清洁露，200ml
774281	Green Orange & Coriander - Bitter Green Orange & Black Pepper, 100ml	淡香水，100ml（香调：酸青橙、黑胡椒）
774276	Red Truffle Hand & Body Lotion, 200ml 	Red Truffle 手部和身体乳液，200ml
774283	Green Orange & Coriander Hand & Body Lotion, 200ml 	手部和身体乳液，200ml（香型：青橙和胡荽）
774269	White Rose & Lemon Leaves Hand & Body Cleanser, 200ml 	White Rose & Lemon Leaves 手部和身体清洁露，200ml
774264	Pomelo Hand & Body Cleanser, 200ml	Pomelo 手部和身体清洁露，200ml
774270	White Rose & Lemon Leaves Hand & Body Lotion, 200ml 	White Rose & Lemon Leaves 手部和身体乳液，200ml
774265	Pomelo Hand & Body Lotion, 200ml 	Pomelo 手部和身体乳液，200ml
774263	Pomelo - Pink Pomelo & Rose Vetiver, 100ml	Pomelo 淡香水，100ml（香调：葡萄柚、粉色香根草）
774262	Pomelo - Pink Pomelo & Rose Vetiver, 50ml 	Pomelo 淡香水，50ml（香调：葡萄柚、粉色香根草）
