pid	English	Chinese
966263	Affumicata scented candle, 260g	Affumicata 香薰蜡烛，260g
348539	Composition No. 1 Roll-On Parfum - Italian Mandarin, Brazilian Orange & Fresh Quince, 10ml	Composition No. 1 滚珠香精，10ml（香调：意大利香柑、巴西甜橙、清新温柏）
612924	+ Calico L'Absinthe scented candle, 185g	x Calico “L'Absinthe” 香薰蜡烛，185g
612923	+ Snarkitecture Secret Souvenir scented candle	x Snarkitecture “Secret Souvenir” 香薰蜡烛
612925	+ Calico Seul Au Monde scented candle, 185g	x Calico “Seul Au Monde” 香薰蜡烛，185g
612926	+ Calico Outrenoir scented candle, 185g	x Calico “Outrenoir” 香薰蜡烛，185g
529313	FoxGlove Parfum - Blood Orange & Salt Meadow Grass, 75ml	FoxGlove 香精，75ml（香调：血橙、盐土草）
612921	Foxglove scented candle, 260g	Foxglove 香薰蜡烛，260g
612920	Âmes Sœurs scented candle, 260g	Âmes Sœurs 香薰蜡烛，260g
612918	Composition No.1 scented candle, 260g	Composition No.1 香薰蜡烛，260g
612919	Composition No.6 scented candle, 260g	Composition No.6 香薰蜡烛，260g
480687	Composition No. 1 Soap & Tray	Composition No. 1 香皂和托盘套装
348543	Âmes Sœurs Roll-On Parfum - Tamarind, Grapefruit & Cypress, 10ml	Âmes Sœurs 滚珠香精，10ml（香调：罗望子、葡萄柚、丝柏）
529312	FoxGlove Roll-On Parfum - Blood Orange & Salt Meadow Grass, 10ml	FoxGlove 滚珠香精，10ml（香调：血橙、盐土草）
348541	Composition No. 6 Roll-On Parfum - Fujian Cypress, Juniper Berries & Tangy Yuzu, 10ml	Composition No. 6 滚珠香精，10ml（香调：福建柏、杜松子、香柚）
612922	+ Oliver Ruuger In Girum scented candle, 350g	x Oliver Ruuger “In Girum” 香熏蜡烛，350g
348540	Composition No. 6 Parfum - Fujian Cypress, Juniper Berries & Tangy Yuzu, 75ml	Composition No. 6 香精，75ml（香调：福建柏、杜松子、香柚）
348538	Composition No. 1 Parfum - Italian Mandarin, Brazilian Orange & Fresh Quince, 75ml	Composition No. 1 香精，75ml（香调：意大利香柑、巴西甜橙、清新温柏）
