pid	English	Chinese
777323	Miranda's Deep Double Cleanse Kit - Oily/Combination	超模深层双倍洁净套装（油性/混合性肌肤）
489137	Foaming Cleanser, 90ml	泡沫洁面乳，90ml
421189	Vitamin Enhanced Lip Balm, 6.5ml	维他命增强型润唇膏，6.5ml
391554	Enriched Body Lotion, 175ml	柔润身体乳，175ml
777325	Heart Chakra Essence, 10ml	心轮滚珠精华，10ml
421186	Luxurious Rosehip Face Oil, 15ml	奢华玫瑰果面油，15ml
398446	Hydrating Mask, 75ml	保湿面膜，100ml
672948	Age-Defying Phytox™ Oil, 15ml	Phytox™ 抗老化焕肤精华油，15ml
672949	Age Defying AHA Facial Exfoliator, 75ml	抗老化果酸面部去角质霜，75ml
489143	Balancing Rose Mist, 100ml	玫瑰衡肤喷雾，100ml
391555	Energizing Citrus Mist, 100ml	活力柑橘喷雾，100ml
489140	Hydrating Day and Night Cream, 50ml	补水滋润早晚霜，50ml
489139	Soothing Day and Night Cream, 50ml	舒缓滋润早晚霜，50ml
489138	Cream Cleanser, 90ml	洁面乳，90ml
398447	Clay Purifying Mask, 75ml	陶土净化面膜，100ml
489142	Purifying Day and Night Cream, 50ml	净颜焕肤早晚霜，50ml
489141	Daily Hand Cream, 100ml 	日常护手霜，100ml
391553	Exfoliating Cream, 100ml	去角质霜，100ml
391556	Luxurious Rosehip Body Oil, 80ml	奢华玫瑰果身体油，80ml
421188	Tinted Day Cream, 50ml	润色日霜，50ml
421187	Recovery Eye Gel Cream, 10ml	眼部修复啫喱霜，10ml
