pid	English	Chinese
935519	Neroli Beldi Soap, 250g	天然橙花油啫喱皂，250g
888105	Moisture Mask, 50ml	滋养面膜，50ml
844947	Prickly Pear Seed Oil Roller Ball, 5ml	仙人掌果果籽滚珠式精油，5ml
779616	Moroccan Rose Beldi Soap, 250g		摩洛哥浴专用玫瑰啫喱皂，250g
736640	Moroccan Beldi Soap, 250g 	摩洛哥浴专用啫喱皂，250g
766076	Argan Oil, 30ml	摩洛哥坚果油，30ml
623444	Prickly Pear Seed Oil, 50ml	仙人掌果果籽精油，50ml
623443	Essaouira Body Serum, 200ml	索维拉身体精华，200ml
598111	Lip & Face Balm, 11g	唇部和面部护理膏，11g
437352	Argan Oil, 100ml	摩洛哥坚果油，100ml
437354	Fez Body Serum, 200ml	美体精华液，200ml
468140	Antioxidant Mask, 50ml	抗氧化面膜，50ml
468139	Brightening Serum, 30ml	亮白精华液，30ml
778100	Kessa Mitt - Black	Kessa 去角质手套（色号：Black）
