pid	English	Chinese
968500	Ocean Mineral Gel Cleanser, 130ml	海洋矿物质洁面啫喱，130ml
968508	PH+ Enzyme Essence, 100ml	焕肤精华液，100ml
968499	Vitamin C Nourishing Cleansing Balm, 60ml	维他命 C 滋养洁面膏，60ml
968497	Vitamin C Intensive Face Cream, 50ml	维他命 C 强效面霜，50ml
968496	Power Trio Radiance Oil, 30ml	三重动力焕肤精油，30ml
968493	Complete B Eye Crème Complex, 15ml	复合维他命 B 族眼霜, 15ml
968492	Complete B Illume Brightening Serum, 30ml	复合维他命B 族亮颜精华，30ml
968501	Rose Hip Revitalizing Serum, 30ml	野玫瑰果活肤精华露，30ml
968504	Restorative Dual Acid Peel, 60ml	修复焕颜双效酸性去角质霜，60ml
968502	Form Control Marine Collagen Gel, 30ml	海洋胶原蛋白凝胶，30ml
968503	Rose Hip Intense Recovery Eye Serum, 15ml	野玫瑰果强效眼部修护精华，15ml
