pid	English	Chinese
954634	The Neo Setting Powder - Matte to Glow	渐变定妆散粉（色号：Matte to Glow）
938723	The Molten Lip Color - Rose Gold	流光溢彩唇蜜（色号：Rose Gold）
903275	The Neo-Powder Brush	斜角弧形粉刷
938725	The Molten Lip Color - Titanium	流光溢彩唇蜜（色号：Titanium）
903272	The Neo-Highlighter - Sahara	渐变高光粉（色号：Sahara）
938728	The Molten Lip Color - Carbon	流光溢彩唇蜜（色号：Carbon）
938724	The Molten Lip Color - Copper	流光溢彩唇蜜（色号：Copper）
938727	The Molten Lip Color - Bronze	流光溢彩唇蜜（色号：Bronze）
938726	The Molten Lip Color - Gold	流光溢彩唇蜜（色号：Gold）
938730	The Molten Lip Color Topcoat - Cyber Sky	金属感表层唇蜜（色号：Cyber Sky）
938729	The Molten Lip Color Topcoat - Cyber Opal	金属感表层唇蜜（色号：Cyber Opal）
903273	The Neo-Limelight - Ibiza	渐变高光粉饼（色号：Ibiza）
903277	The Expert Lip Color - Thelmadora	专业唇膏（色号：Thelmadora）
903278	The Expert Lip Color - Sireedan	专业唇膏（色号：Sireedan）
903274	The Essential Eyeshadow Set - The Defining Navy Palette	必备眼影套装（色号：The Defining Navy Palette）
831243	The Expert Lip Color - Bloodroses Noir	专业唇膏（色号：Bloodroses Noir）
903271	The Sensual Skin Primer, 30ml	无暇美肌打底霜，30ml
831246	The Expert Lip Color - Black Dahlia	专业唇膏（色号：Black Dahlia）
831247	The Exotique Diamond Eye Gloss - Moonlight	晶钻水漾啫喱眼影（色号：Moonlight）
482693	The Volume Mascara - Rich Pitch Black	丰盈睫毛膏（色号：Rich Pitch Black）
848436	The Expert Lip Kit: The Femme Fatale	专业唇妆套装（色号：The Femme Fatale）
831249	The Essential Eyeshadow Set - Bloodroses	必备眼影套装（色号：Bloodroses）
848434	The Art of Makeup Essential Face & Eye Palette	明眸亮颜艺术感彩妆盘
831242	The Expert Lip Color - Twilight Lotus	专业唇膏（色号：Twilight Lotus）
831244	The Expert Lip Color - Poisonberry	专业唇膏（色号：Poisonberry）
831248	The Expert Mascara - Bloodroses	专业睫毛膏（色号：Bloodroses）
831245	The Expert Lip Color - Wild Orchid	专业唇膏（色号：Wild Orchid）
656599	The Precision Brow Pencil - Brunette	精准眉型眉笔（色号：Brunette）
416388	The Essential Mascara - Rich Pitch Black	经典睫毛膏（色号：Rich Pitch Black）
719803	The Loose Shimmer Shadow - Topaz	散粉状闪光眼影（色号：Topaz）
482694	The Curling Mascara - Rich Pitch Black	卷翘睫毛膏（色号：Rich Pitch Black）
350268	The Precision Liquid Liner - Black	精准眼线液（色号：Black）
777520	The Neo Bronzer - Siena	渐变修容粉饼（色号：Siena）
762116	The Expert Mascara	专业睫毛膏
780087	The Sensual Skin Enhancer - SX03	诱惑焕颜霜（色号：SX03）
780090	The Sensual Skin Enhancer - SX06	诱惑焕颜霜（色号：SX06）
720229	The Featherlights Eyeshadow Palette	轻透若羽眼影彩妆盘
656597	The Eyelash Curler	睫毛夹
350266	The Expert Lip Color - Bloodroses	专业唇膏（色号：Bloodroses）
650452	The Expert Brush Collection Travel Set	专业化妆刷旅行套装
720230	The Celestial Skin Liquid Lighting - Starlight, 30ml	天使晶彩高光液，30ml（色号：Starlight）
597518	The Matte Lip Color - Uninterrupted	哑光唇膏（色号：Uninterrupted）
903276	The Angled Foundation Brush	斜角粉底刷
777519	The Neo Bronzer - Capri	渐变修容粉饼（色号：Capri）
780092	The Sensual Skin Enhancer - SX08	诱惑焕颜霜（色号：SX08）
719804	The Loose Shimmer Shadow - Candlelight	散粉状闪光眼影（色号：Candlelight）
650454	The Legacy Palette	假日睛彩美妆盘
780085	The Sensual Skin Enhancer - SX01	诱惑焕颜霜（色号：SX01）
720231	The Guardian Angel Cream Highlighter	守护天使霜状高光
720233	The Lip Gloss - Starlight	亮泽唇蜜（色号：Starlight）
350264	The Celestial Bronzing Veil - Tropical Days	天使晶采古铜粉饼（色号：Tropical Days）
780089	The Sensual Skin Enhancer - SX05	诱惑焕颜霜（色号：SX05）
645871	The Silicone Eye Pigment Brush	胶眼影膏专用刷
719802	The Loose Shimmer Shadow - Rose Quartz	散粉状闪光眼影（色号：Rose Quartz）
780086	The Sensual Skin Enhancer - SX02	诱惑焕颜霜（色号：SX02）
780088	The Sensual Skin Enhancer - SX04	诱惑焕颜霜（色号：SX04）
714798	The Gossamer Loose Powder - Diaphanous	霓裳羽衣散粉（色号：Diaphanous）
650460	The Matte Eyeshadow Single - Coffee Bean No. 106 	单色哑光眼影（色号：106 Coffee Bean）
650466	The Essential Eyeshadow Set – Palette.1 	必备眼影套装（色号：1 Palette）
780091	The Sensual Skin Enhancer - SX07	诱惑焕颜霜（色号：SX07）
780093	The Sensual Skin Enhancer - SX09	诱惑焕颜霜（色号：SX09）
720228	The Sculpting Powder - Deep	修容蜜粉（色号：Deep）
720232	The Lip Gloss - Candlelight	亮泽唇蜜（色号：Candlelight）
350260	The Creamy Glow - Tresbelle	绚彩飞扬霜状腮红（色号：Tresbelle）
645870	The Loose Powder Brush	松粉刷
714799	The Gossamer Loose Powder - Radiant Diaphanous	霓裳羽衣散粉（色号：Radiant Diaphanous）
650453	The Perfect Lip Kit	完美唇妆组合
656598	The Precision Brow Pencil - Warm Blonde	精准眉笔（色号：Warm Blonde）
597519	The Matte Lip Color - Resilient	哑光唇膏（色号：Resilient）
650465	The Eyeshadow Duo - Cool Tan/ Ruddy Earth No. 215	双色眼影（色号：215 Cool Tan/ Ruddy Earth）
482697	The Sculpting Powder - Medium	修容蜜粉（色号：Medium）
597521	The Matte Lip Color - Bloodroses	哑光唇膏（色号：Bloodroses）
650455	The Lip Gloss - Tulapina	亮泽唇蜜（色号：Tulapina）
379155	The Contour Brush	轮廓刷
645872	The Shadow Liner Brush	眼影眼线刷
549016	Look Book Palette	节日靓妆彩妆盘
413704	The Large Fan Brush	大号扇形刷
650463	The Eyeshadow Duo - Fog/ Cool Smoke No. 203 	双色眼影（色号：203 Fog/ Cool Smoke）
650464	The Eyeshadow Duo - Soft Gold Lamé/ Smoky Brown No. 207	双色眼影（色号：207 Soft Gold Lamé/ Smoky Brown）
650456	The Lip Gloss - Lilium 	唇彩（色号：Lilium）
719806	The Loose Shimmer Shadow - Selenite	散粉状闪光眼影（色号：Selenite）
645867	The Precision Eye Definer - Vanta	精准眼线笔（色号：Vanta）
482699	The Expert Lip Color - Jorjia	专业唇膏（色号：Jorjia）
482690	The Primed Skin Developer - Normal to Dry, 30ml	护肤妆前乳，30ml（中性至干性肤质）
597526	The Pure Powder Glow - Helena	亮彩腮红（色号：Helena）
645866	The Brow Gel Pencil - Sheer Dark Brunette	眉胶笔（色号：Sheer Dark Brunette）
462427	The Lip Gloss - Bloodroses	亮泽唇蜜（色号：Bloodroses）
650457	The Lip Gloss - Pasiflora	亮泽唇蜜（色号：Pasiflora）
645868	The Precision Eye Definer - Kobicha	精准眼线笔（色号：Kobicha）
615840	The Matte Bronzing Veil - Desert Days	哑光古铜粉饼 （色号：Desert Days）
615841	The Matte Bronzing Veil - Desert Nights	哑光古铜粉饼 （色号：Desert Nights）
549158	The Celestial Powder - Starlight	天使晶采高光粉饼（色号：Starlight）
650461	The Matte Eyeshadow Single - Faded Heather No. 108	单色哑光眼影（色号：Faded Heather No. 108）
482692	The Celestial Skin Liquid Lighting, 30ml	天使晶彩高光液，30ml
549018	The Eyeshadow Duo - Pink Shell/ Deep Taupe No. 211	双色眼影（色号：No. 211 Pink Shell/ Deep Taupe）
549021	The Pure Powder Glow - Natura	亮彩腮红（色号：Natura）
462433	The Creamy Glow Duo - Candlelight/ Sculpting	柔滑亮彩双色彩妆盘（色号：Candlelight/ Sculpting）
482703	The Lip Gloss - Neottiana	亮泽唇蜜（色号：Neottiana）
650458	The Matte Lip Color - Eternal	哑光唇膏（色号：Eternal）
549017	The Eyeshadow Duo - Silvered Lilac/ Bloodroses No. 216	双色眼影（色号：No. 216 Silvered Lilac/ Bloodroses）
398445	The Matte Lip Color - Persistence	哑光唇膏（色号：Persistence）
482705	The Flesh Tone Lip Pencil - Peche	亮彩唇线笔（色号：Peche）
482706	The Flesh Tone Lip Pencil - Hyacinth	亮彩唇线笔（色号：Hyacinth）
434481	The Celestial Powder - Candlelight	天使晶采高光粉饼（色号：Candlelight）
645869	The Precision Eye Definer - Stealth	精准眼线笔（色号：Stealth）
438517	The Matte Eye Shadow Single - Soft Clay No. 104	单色哑光眼影（色号：104 Soft Clay）
645863	The Brow Gel Pencil - Sheer Ash Blonde	眉胶笔（色号：Sheer Ash Blonde）
413707	The Foundation Brush	粉底刷
462430	The Flesh Tone Lip Pencil - Bloodroses	亮彩唇线笔（色号：Bloodroses）
350270	The Large Powder/Blush Brush	The Large 胭脂和蜜粉两用刷
350256	The Creamy Glow - Pravella	绚彩飞扬霜状腮红（色号：Pravella）
438515	The Eyeshadow Duo - Sugared Peach/ Rust Brown Shimmer No. 210	双色眼影（色号：210 Sugared Peach/ Rust Brown Shimmer）
418982	The Essential Brush Collection	必备化妆刷套装
482698	The Expert Lip Color - Eliarice	专业唇膏（色号：Eliarice）
413705	The Eyeliner/Smudger Brush	眼线刷/晕染刷

482707	The Flesh Tone Lip Pencil - Blossom	亮彩唇线笔（色号：Blossom）
350261	The Creamy Glow - Isadore	绚彩飞扬霜状腮红（色号：Isadore）
438518	The Matte Eyeshadow Single - Taupey Gray No. 105	单色哑光眼影（色号：105 Taupey Gray）
645865	The Brow Gel Pencil - Sheer Brunette	眉胶笔（色号：Sheer Brunette）
413703	The Base/Shadow Brush	打底刷/眼影刷
650462	The Eyeshadow Duo - Vellum Shimmer/ Shimmering Wheat No. 202 	双色眼影（色号：202 Vellum Shimmer/ Shimmering Wheat）
350269	The Eye Pencil Primatif - Basic Black	必备眼线笔（色号：Basic Black）
482696	The Pure Powder Glow - Shadore	亮彩腮红（色号：Shadore）
549154	The Eye Pigment Primatif - Midnight	眼影膏（色号：Midnight）
