pid	English	Chinese
966132	Lip Tint - Romance 	润色护唇膏（色号：Romance）
966135	Eye Shadow - Transcend	眼影（色号：Transcend）
966133	Lip Tint - Dream State	润色护唇膏（色号：Dream State）
966129	Highlighter - Ravishing	高光粉（色号：Ravishing）
966128	Bronzer - Lustrous	古铜粉（色号：Lustrous）
966130	Lipstick - Affection	唇膏（色号：Affection）
966131	Cream Foundation - Subtlety	粉底霜（色号：Subtlety）
639778	Dazzling Bronzer	闪亮古铜粉

856021	The Beautiful Oil, 65ml	美颜精油，65ml
535802	Lip Tint - Rapture	润色护唇膏（色号：Rapture）
552976	The Essential Trio Set	必备彩妆三件套
803615	Lipstick - Empower	唇膏（色号：Empower）
803616	Lipstick - Honor	唇膏（色号：Honor）
535803	Lip Tint - Amazed	润色护唇膏（色号：Amazed）
719133	KW Cadeau leather cosmestics case	KW Cadeau 皮革化妆包
804120	Cream Blush - Above and Beyond	炫色腮红霜（色号：Above and Beyond）
803613	Lipstick - Adore	唇膏（色号：Adore）
803614	Lipstick - Believe	唇膏（色号：Believe）
535804	Lip Tint - Beloved	润色护唇膏（色号：Beloved）
842441	Lipstick a Cinq Set	唇膏套装（五支装）
804122	Lip Tint - Captivate	润色护唇膏（色号：Captivate）
476249	Eye Shadow - Blue Wonder	眼影（色号：Blue Wonder）
804119	Eye Shadow - Angelic	眼影（色号：Angelic）
803617	Lipstick - Love	唇膏（色号：Love）
521540	Highlighter - Radiance	高光粉（色号：Radiance）
476243	Mascara - Black	睫毛膏（色号：Black）
639781	Angle Brush	斜角刷
639786	Soft Brush	软毛刷
804123	Cream Foundation - Lightness	粉底霜（色号：Lightness）
804121	Lip Tint - Goddess	润色护唇膏（色号：Goddess）
639782	Blush Brush	腮红刷
609277	Eye Shadow - Wisdom	眼影（色号：Wisdom）
532068	Lip Tint - Lover's Choice	润色护唇膏（色号：Lover's Choice）
639784	Foundation Brush	粉底刷
532067	Cream Blush - Embrace	炫色腮红霜（色号：Embrace）
476248	Eye Shadow - Pretty Purple	眼影（色号：Pretty Purple）
639783	Definition Brush	眼影刷
639785	Lip Brush	唇刷
532069	Eye Shadow - Green Depth	眼影（色号：Green Depth）
639779	Cream Blush - Happy	炫色腮红霜（色号：Happy）
476244	Cream Blush - Desired Glow	炫色腮红霜（色号：Desired Glow）
639791	Cream Foundation - Illusion	粉底霜（色号：Illusion）
476246	Lip Tint - Dream State	润色护唇膏（色号：Dream State）
476247	Lip Tint - Sweetness	润色护唇膏（色号：Sweetness）
639790	Cream Foundation - Just Sheer	粉底霜（色号：Just Sheer）
609278	Eye Shadow - Magnetic	眼影（色号：Magnetic）
639788	Cream Foundation - Silken	粉底霜（色号：Silken）
609276	Eye Shadow - Charmed	眼影（色号：Charmed）
476245	Cream Blush - Blossoming	炫色腮红霜（色号：Blossoming）
639787	Cream Foundation - Like Porcelain	粉底霜（色号：Like Porcelain）
639789	Cream Foundation - Paper Thin	粉底霜（色号：Paper Thin）
