pid	English	Chinese
455815	Soothing and Relaxing Eye Patches x 7	轻松舒缓眼贴 （七对装）
842477	Leave-In Spray With Flax Fiber, 125ml	亚麻纤维免洗造型喷雾，125ml
553504	Clarify and Shine Rinse with Chamomile, 200ml	洋甘菊净化闪亮发乳，200ml
341703	Dry Shampoo with Oat Milk, 50ml	温和燕麦牛奶头发干洗喷雾，50ml
766087	Makeup Remover Biodegradable Wipes with Soothing Cornflower x 25	舒缓矢车菊可降解卸妆湿巾（25 片装）
770543	Sun Lightening Spray with Chamomile and Honey, 125ml	洋甘菊蜂蜜灿光亮发喷雾，125ml
842478	Shampoo With Flax Fiber, 400ml	亚麻纤维洗发露，400ml
842479	Conditioner With Flax Fiber, 200ml	亚麻纤维护发素，200ml
341701	Dry Shampoo with Oat Milk, 150ml	燕麦奶温和头发干洗喷雾，150ml
784602	BB Eye Cream with Soothing Cornflower, 15ml	舒缓矢车菊 BB 眼霜，15ml
776639	Blond Highlights Conditioner with Chamomile, 200ml	洋甘菊金发染后修护护发素，200ml
770542	Dry Shampoo with Oat Milk, 3 x 50ml 	燕麦牛奶头发干洗喷雾，3 x 50ml
779627	Waterproof Eye Makeup Remover with Soothing Cornflower, 100ml	舒缓矢车菊防水眼妆卸妆液, 100ml
553506	Shampoo with Mango Butter, 400ml	芒果油洗发露，400ml
391987	Soothing Makeup Remover with Cornflower, 400ml	矢车菊舒缓卸妆水，400ml
553503	Shampoo with Chamomile, 400ml	洋甘菊洗发露，400ml
553509	Dry Shampoo with Oat Milk - Natural Tint, 150ml	燕麦浆头发干洗喷雾，150ml（色号：Natural Tint）
553507	Shampoo with Citrus Pulp, 400ml	柑橘皮洗发露，400ml
553505	Klorane Floral Gel Eye Make-up Remover with Soothing Cornflower, 100ml	花漾舒缓矢车菊眼部卸妆啫喱，100ml
455813	Dry Shampoo with Nettle, 150ml	荨麻头发干洗喷雾，150ml
341702	Dry Shampoo with Oat Milk Non-Aerosol, 50g	温和燕麦牛奶头发干洗喷雾，50g（非气溶胶）
553510	Conditioning Balm with Mango Butter, 150ml	芒果油护发乳霜，150ml
