pid	English	Chinese
875833	Opal Amaryllis scented candle, 450g	Opal Amaryllis 香薰蜡烛，450g
621592	Rosemary Eucalyptus Body Cream, 360ml	迷迭香桉树身体乳，360ml
875832	Golden Chestnut scented candle, 450g	Golden Chestnut 香薰蜡烛，450g
821487	Mint Tisane scented candle, 454g	Mint Tisane 香薰蜡烛，454g
821488	Mint Tisane True Liquid Soap, 445ml	薄荷草药精纯液体香皂，445ml
487709	Champagne True Liquid Soap, 445ml	香槟精纯液体香皂，445ml
821490	Sea & Dune scented candle, 454g	Sea & Dune 香薰蜡烛，454g
821492	White Grapefruit scented candle, 454g	白柚香薰蜡烛，454g
621591	Chamomile Lavender Body Cream, 360ml	洋甘菊薰衣草身体乳，360ml
821489	Marine scented candle, 454g	海洋香薰蜡烛，454g
821491	French Lilac scented candle, 454g	French Lilac 香薰蜡烛，454g
487710	Champagne scented candle	香槟香薰蜡烛
487707	Chamomile Lavender True Liquid Soap, 445ml	洋甘菊薰衣草精纯液体香皂，445ml
626674	Rosemary Bath Soap, 240g	迷迭香沐浴皂，240g
621593	Champagne Body Cream, 360ml	香槟身体乳，360ml
621586	Duchess Peony True Liquid Body Soap, 360ml	女爵牡丹精纯液体沐浴皂，360ml
621585	Duchess Peony Reparative Hand Cream, 445ml	女爵牡丹修护润手乳，445ml
621587	Duchess Peony Nourishing Body Cream, 360ml	女爵牡丹滋养身体乳，360ml
621581	Powder Room scented candle	Powder Room 香薰蜡烛
487708	Champagne Reparative Hand Cream, 445ml	香槟修护润手乳，445ml
621589	Champagne True Liquid Body Soap, 360ml	香槟精纯液体沐浴皂，360ml
487706	Chamomile Lavender Reparative Hand Cream, 445ml	洋甘菊薰衣草修护润手乳，445ml
