pid	English	Chinese
957725	The Broad Spectrum SPF50 UV Protecting Fluid, 50ml	广谱防晒隔离乳 SPF50，50ml
957724	Soleil de La Mer - The After Sun Enhancer, 200ml	骄阳亮肤晒后加强啫喱，200ml
957723	Soleil de La Mer - The Face & Body Gradual Tan, 200ml   	骄阳亮肤面部身体渐进式美黑乳，200ml
957722	The Reparative Body Sun Lotion SPF30, 200ml	修复身体防晒乳 SPF30，200ml
658868	The Treatment Lotion, 150ml	修护精萃液，150ml
658864	The Concentrate, 30ml	浓缩修护精华露，30ml
658869	The Reparative Face Sun Lotion SPF30, 50ml	修护面部防晒乳 SPF30，50ml
658874	The Lip Balm, 9g	修护唇霜，9g
658855	Crème de la Mer, 60ml	精华面霜，60ml
658858	The Moisturizing Soft Cream, 30ml	精华乳霜，30ml
658856	Crème de la Mer, 30ml	精华面霜，30ml
658866	The Hand Treatment, 100ml	护手霜，100ml
771009	The Lifting Eye Serum, 15ml	眼部提拉精华，15ml
658857	The Moisturizing Soft Cream, 60ml	精华乳霜，60ml
658870	The Lifting and Firming Mask, 50ml	提升紧致精华面膜, 50ml
658865	The Lifting Contour Serum, 30ml	提升塑颜精华露，30ml
658859	The Moisturizing Gel Cream, 60ml	精华凝霜，60ml
658862	The Illuminating Eye Gel, 15ml	赋活提亮眼部凝露，15ml
658872	The Hydrating Facial x 6	保湿修护面膜（六片装）
658875	The Renewal Oil, 30ml	再生活肤精华油，30ml
658860	The Eye Concentrate, 15ml	浓缩修护眼部精华霜，15ml
658861	The Eye Balm Intense, 15ml	紧致焕采眼霜，15ml
658867	The Cleansing Foam, 125ml	净透洁面泡沫，125ml
658871	The Intensive Revitalizing Mask, 75ml	密集赋活精华面膜，75ml
