pid	English	Chinese
959458	Studio Light Flawless Eye Concealer - Light	轻薄眼部遮瑕霜（色号：Light）
959459	Studio Light Flawless Eye Concealer - Medium	轻薄眼部遮瑕霜（色号：Medium）
959460	The Method: Nourish, 100ml	独门护肤秘法滋养霜，100ml
874864	Radiance Awakening Mask Intense, 50ml	容采焕发强效面膜，50ml
763462	The Method: Body Nourish, 325ml	独门护肤秘法身体滋养霜，325ml
582880	The Method: Polish, 120g	独门护肤秘法磨砂膏，120g
618955	Sheer Fluid Sun Shield SPF30, 60ml	轻薄防晒露 SPF30，60ml
839867	Lash Serum Intense, 1.5ml	密集睫毛精华液, 1.5ml
781204	Lift & Plump Sheet Mask x 4	提拉丰盈面膜（四片装）
582881	The Method: Cleanse, 120ml	独门护肤秘法洁面乳，120ml
763460	The Method: Body Polish, 250g	独门护肤秘法身体磨砂膏，250g
582882	The Method: Nourish, 50ml	独门护肤秘法滋养霜，50ml
839866	Younger Revealing Mask Intense, 4 x 13g	焕颜精华面膜，4 x 13g
763461	The Method: Body Cleanse, 250ml	独门护肤秘法沐浴乳，250ml
724100	Dani Glowing Skin Perfector, 30ml	焕颜亮肤乳，30ml
618953	Volume Enhancing Lip Serum, 15ml	水盈丰润唇部精华,15ml
618954	Advanced C Radiance Cream, 50ml	激活焕生维 C 面霜，50ml
674336	Contour Décolleté Firming Concentrate, 50ml	前胸提拉紧致精华，50ml
674337	Irresistible Lancer Lips Set	极致诱惑护唇套装
618952	Intensive Night Treatment, 50ml	强效修复晚霜，50ml
582884	Younger: Pure Youth Serum, 29.5ml	年轻态：纯美青春精华液，29.5ml
583828	Retexturing Treatment Cream: Glycolic Acid, 50ml	果酸焕肤修护乳，50ml
582883	Eye Contour Lifting Cream, 15ml	眼周提拉紧致眼霜，15ml
583827	Lift Serum Intense: Stem Cell Recovery Complex, 30ml	 干细胞修护复方提拉紧致特效精华，30ml
